state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Massachusetts,1991,NA,NA,100,NA,NA,22,NA,NA,362,NA,NA,484
Massachusetts,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322
Massachusetts,1993,NA,NA,89,NA,NA,121,NA,NA,184,79,315,394
Massachusetts,1994,NA,NA,103,NA,NA,109,NA,NA,176,85,303,388
Massachusetts,1995,NA,NA,94,NA,NA,160,NA,NA,155,69,340,409
Massachusetts,1996,NA,NA,79,NA,NA,166,NA,NA,148,66,327,393
Massachusetts,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392
Massachusetts,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395
Massachusetts,1999,NA,NA,17,NA,NA,138,NA,NA,191,44,302,346
Massachusetts,2e3,6,22,28,8,122,130,16,139,155,30,283,313
Massachusetts,2001,8,25,33,16,103,119,16,139,155,40,267,307
Massachusetts,2002,10,23,33,14,99,113,17,127,144,41,249,290
Massachusetts,2003,13,139,152,6,72,78,0,0,0,19,211,230
Massachusetts,2004,4,15,19,10,73,83,17,96,113,31,184,215
Massachusetts,2005,7,11,18,12,89,101,7,95,102,26,195,221
Massachusetts,2006,6,11,17,19,123,142,12,97,109,37,231,268
Massachusetts,2007,2,7,9,7,99,106,8,96,104,17,202,219
Massachusetts,2008,4,16,20,11,84,95,7,142,149,22,242,264
Massachusetts,2009,0,10,10,10,101,111,7,119,126,17,230,247
Massachusetts,2010,0,4,4,11,121,132,3,67,70,14,192,206
Massachusetts,2011,1,6,7,7,122,129,5,67,72,13,195,208
Massachusetts,2012,0,47,47,6,126,132,0,7,7,6,180,186
Massachusetts,2013,1,11,12,8,114,122,1,39,40,10,164,174
Massachusetts,2014,0,1,1,7,105,112,1,51,52,8,157,165
Massachusetts,2015,0,0,0,8,104,112,2,36,38,10,140,150
Massachusetts,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
