state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
New Jersey,2016,6962122,5682758,8944469,4575789,4368680,3607261,3354861,2870624,2812134,25,1254,1279,0,3,3
New Jersey,2015,6960879,5715537,8958013,4581199,4376814,3605135,3355744,2888521,2827016,24,1246,1270,0,5,5
New Jersey,2014,6926870,5713070,8938175,4568381,4369794,3591661,3335209,2889520,2823550,28,1307,1335,0,7,7
New Jersey,2013,6879591,5686255,8899339,4559251,4340088,3569159,3310432,2874162,2812093,26,1365,1391,0,8,8
New Jersey,2012,6838531,5691193,8864590,4548369,4316221,3556346,3282185,2887219,2803974,31,1435,1466,1,6,7
New Jersey,2011,6780274,5656091,8821155,4522404,4298751,3527273,3253001,2866666,2789425,37,1483,1520,1,6,7
New Jersey,2010,6739909,5623488,8801624,4519141,4282483,3509380,3230529,2853408,2770080,0,0,0,0,18,18
New Jersey,2009,6662880,5575807,8707740,4440517,4267223,3442797,3220083,2801694,2774113,NA,NA,NA,0,21,21
New Jersey,2008,6635601,5574997,8682661,4430714,4251947,3426778,3208823,2799079,2775918,NA,NA,NA,0,19,19
New Jersey,2007,6634776,5577116,8685920,4436132,4249788,3440254,3194522,2813043,2764073,NA,NA,NA,0,21,21
New Jersey,2006,6632707,5581945,8724560,4465756,4258804,3435497,3197210,2812620,2769325,NA,NA,NA,0,17,17
New Jersey,2005,6364651,5349459,8524868,4375857,4149011,3330969,3033682,2735143,2614316,NA,NA,NA,1,27,28
New Jersey,2004,6352672,5344939,8503294,4393227,4110067,3332843,3019829,2740855,2604084,NA,NA,NA,1,20,21
New Jersey,2003,6320351,5325514,8444076,4354803,4089273,3319461,3000890,2730543,2594971,NA,NA,NA,0,11,11
New Jersey,2002,6275385,5282513,8395357,4327542,4067815,3296695,2978690,2710532,2571981,NA,NA,NA,0,18,18
New Jersey,2001,6357318,5375232,8289599,4295870,3993729,3345181,3012137,2755563,2619669,NA,NA,NA,0,28,28
New Jersey,2000,6091506,5119380,8206336,4209681,3996655,3208416,2883090,2631332,2488048,NA,NA,NA,1,19,20
