state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Illinois,1991,NA,NA,216,NA,NA,17,NA,NA,66,NA,NA,299
Illinois,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403
Illinois,1993,NA,NA,384,NA,NA,154,NA,NA,53,53,538,591
Illinois,1994,NA,NA,364,NA,NA,171,NA,NA,65,51,549,600
Illinois,1995,NA,NA,351,NA,NA,177,NA,NA,55,55,528,583
Illinois,1996,NA,NA,394,NA,NA,198,NA,NA,42,51,583,634
Illinois,1997,NA,NA,418,NA,NA,201,NA,NA,36,64,591,655
Illinois,1998,44,386,430,16,214,230,2,32,34,62,632,694
Illinois,1999,29,316,345,11,124,135,18,137,155,58,577,635
Illinois,2e3,46,489,535,3,81,84,0,0,0,49,570,619
Illinois,2001,17,313,330,11,148,159,15,89,104,43,550,593
Illinois,2002,22,300,322,8,141,149,20,79,99,50,520,570
Illinois,2003,37,339,376,9,67,76,17,82,99,63,488,551
Illinois,2004,16,91,107,14,153,167,20,194,214,50,438,488
Illinois,2005,18,94,112,9,87,96,17,249,266,44,430,474
Illinois,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2008,1,17,18,2,62,64,35,340,375,38,419,457
Illinois,2009,9,22,31,8,66,74,32,323,355,49,411,460
Illinois,2010,5,29,34,8,77,85,35,333,368,48,439,487
Illinois,2011,3,25,28,4,100,104,32,293,325,39,418,457
Illinois,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2013,51,504,555,5,45,50,NA,NA,NA,56,549,605
Illinois,2014,49,550,599,11,71,82,NA,NA,NA,60,621,681
Illinois,2015,53,562,615,7,64,71,0,0,0,60,626,686
Illinois,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
