state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Utah,2016,2130119,1834043,3051217,1511732,1539485,1066e3,1064119,905760,928283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2015,2084167,1799650,2995919,1484834,1511085,1045462,1038705,892624,907026,4,26,30,3,11,14,0,0,0,7,37,44
Utah,2014,2037753,1767048,2942902,1464140,1478762,1024043,1013710,876070,890978,2,7,9,1,11,12,1,6,7,4,24,28
Utah,2013,2003461,1744933,2900872,1438422,1462450,1005827,997634,866879,878054,0,0,0,3,21,24,0,0,0,3,21,24
Utah,2012,1969769,1721756,2855287,1415657,1439630,988836,980933,854875,866881,0,0,0,2,19,21,1,2,3,3,21,24
Utah,2011,1935858,1695679,2817222,1399754,1417468,971560,964298,839405,856274,0,2,2,1,17,18,2,2,4,3,21,24
Utah,2010,1904618,1672289,2776469,1379892,1396577,957896,946722,830960,841329,1,2,3,2,25,27,2,3,5,5,30,35
Utah,2009,1917297,1686022,2784572,1376770,1407802,959375,957922,831255,854767,0,0,0,4,25,29,2,7,9,6,32,38
Utah,2008,1891024,1662116,2736424,1356509,1379915,952e3,939024,824682,837434,1,1,2,4,20,24,3,7,10,8,28,36
Utah,2007,1830635,1617817,2645330,1310877,1334453,913263,917372,795655,822162,1,8,9,2,22,24,0,0,0,3,30,33
Utah,2006,1755313,1546663,2550063,1268177,1281886,886357,868956,768783,777880,0,0,0,3,24,27,3,14,17,6,38,44
Utah,2005,1695033,1506312,2452149,1223684,1228465,861112,833921,757088,749224,0,2,2,1,21,22,5,9,14,6,32,38
Utah,2004,1613371,1428245,2349472,1172858,1176614,817048,796323,712289,715956,6,10,16,3,8,11,1,11,12,10,29,39
Utah,2003,1571441,1385523,2309555,1150949,1158606,792758,778683,689369,696154,4,7,11,1,10,11,3,12,15,8,29,37
Utah,2002,1567874,1389095,2275861,1138389,1137472,794727,773147,694977,694118,5,12,17,2,18,20,3,18,21,10,48,58
Utah,2001,1512997,1336964,2229295,1114311,1114984,767560,745437,670252,666712,2,10,12,1,6,7,1,14,15,4,30,34
Utah,2000,1501387,1328761,2207325,1115833,1091492,758777,742610,661058,667703,2,18,20,1,16,17,0,0,0,3,34,37
Utah,1999,1460693.9,1291403.6,2158775.3,1090653.6,1068121.7,738973.1,721720.8,643059.7,648343.9,0,2,2,0,17,17,3,12,15,3,31,34
Utah,1998,1420000.8,1254046.2,2110225.6,1065474.2,1044751.4,719169.2,700831.6,625061.4,628984.8,0,6,6,0,13,13,1,12,13,1,31,32
Utah,1997,1379307.7,1216688.8,2061675.9,1040294.8,1021381.1,699365.3,679942.4,607063.1,609625.7,NA,NA,10,NA,NA,16,NA,NA,34,3,57,60
Utah,1996,1338614.6,1179331.4,2013126.2,1015115.4,998010.8,679561.4,659053.2,589064.8,590266.6,NA,NA,17,NA,NA,14,NA,NA,0,3,28,31
Utah,1995,1297921.5,1141974,1964576.5,989936,974640.5,659757.5,638164,571066.5,570907.5,NA,NA,21,NA,NA,6,NA,NA,4,2,29,31
Utah,1994,1257228.4,1104616.6,1916026.8,964756.6,951270.2,639953.6,617274.8,553068.2,551548.4,NA,NA,17,NA,NA,15,NA,NA,16,4,44,48
Utah,1993,1216535.3,1067259.2,1867477.1,939577.2,927899.9,620149.7,596385.6,535069.9,532189.3,NA,NA,7,NA,NA,19,NA,NA,NA,3,23,26
Utah,1992,1175842.2,1029901.8,1818927.4,914397.8,904529.6,600345.8,575496.4,517071.6,512830.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
Utah,1991,1135149.1,992544.4,1770377.7,889218.4,881159.3,580541.9,554607.2,499073.3,493471.1,NA,NA,0,NA,NA,30,NA,NA,5,NA,NA,35
