state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Mississippi,2016,2266009,1854304,2988726,1548961,1439765,1190833,1075176,955778,898526,0,18,18,0,24,24
Mississippi,2015,2263210,1854997,2992333,1545520,1446813,1184452,1078758,950440,904557,0,23,23,0,27,27
Mississippi,2014,2262018,1866896,2994079,1535297,1458782,1181829,1080189,954836,912060,8,29,37,0,19,19
Mississippi,2013,2255085,1874672,2991207,1540005,1451202,1179436,1075649,959433,915239,0,17,17,0,8,8
Mississippi,2012,2237499,1872898,2984926,1543407,1441519,1174754,1062745,964306,908592,0,14,14,0,8,8
Mississippi,2011,2226732,1866434,2978512,1529416,1449096,1163599,1063133,955544,910890,1,19,20,0,23,23
Mississippi,2010,2216967,1859102,2970036,1529348,1440688,1159524,1057443,950830,908272,0,0,0,1,24,25
Mississippi,2009,2187529,1837819,2951996,1516807,1435189,1146501,1041028,937377,900442,NA,NA,NA,1,27,28
Mississippi,2008,2176235,1834136,2938618,1510775,1427843,1143846,1032389,939889,894247,NA,NA,NA,1,38,39
Mississippi,2007,2158909,1822318,2918785,1504875,1413910,1134121,1024788,930963,891355,NA,NA,NA,1,71,72
Mississippi,2006,2143688,1803877,2910540,1498459,1412081,1126318,1017370,923351,880526,NA,NA,NA,1,37,38
Mississippi,2005,2083984,1769966,2830388,1471475,1358913,1102491,981493,919106,850860,NA,NA,NA,0,55,55
Mississippi,2004,2062992,1756059,2807064,1460216,1346848,1090578,972414,912136,843923,NA,NA,NA,4,70,74
Mississippi,2003,2028803,1719007,2783594,1446938,1336656,1076018,952785,893285,825722,NA,NA,NA,2,80,82
Mississippi,2002,2020645,1718803,2774882,1445722,1329160,1072096,948549,892839,825964,NA,NA,NA,3,104,107
Mississippi,2001,1989223,1684403,2765210,1439855,1325355,1061710,927513,878368,806035,NA,NA,NA,4,86,90
Mississippi,2000,1963690,1673954,2714473,1437874,1276599,1047001,916689,869550,804404,NA,NA,NA,3,135,138
