state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Texas,2016,20575820,17479567,27862596,14030277,13832319,10468399,10107421,8746275,8733292,198,8133,8331,5,40,45
Texas,2015,20266702,17290729,27469114,13838345,13630769,10317227,9949475,8651462,8639267,208,8240,8448,7,41,48
Texas,2014,19848130,16995961,26956958,13577055,13379903,10100730,9747400,8502271,8493690,259,8423,8682,3,66,69
Texas,2013,19411995,16690924,26448193,13301940,13146253,9869633,9542362,8342191,8348733,210,8593,8803,2,67,69
Texas,2012,19085346,16489296,26059203,13116525,12942678,9705362,9379984,8239103,8250193,216,8592,8808,5,81,86
Texas,2011,18718067,16214248,25674681,12936916,12737765,9535376,9182691,8119279,8094969,229,9068,9297,7,97,104
Texas,2010,18367869,15939112,25257114,12732957,12524157,9364638,9003231,7986618,7952494,225,8917,9142,6,144,150
Texas,2009,17894570,15543713,24782302,12417800,12364502,9052687,8841883,7699361,7844352,247,9371,9618,4,152,156
Texas,2008,17594727,15296927,24326974,12179722,12147252,8899048,8695679,7569452,7727475,240,9700,9940,6,151,157
Texas,2007,17305966,15069784,23904380,11988007,11916373,8756157,8549809,7462962,7606822,237,9185,9422,9,141,150
Texas,2006,17007346,14831195,23507783,11802478,11705305,8629501,8377845,7363234,7467961,202,9025,9227,6,156,162
Texas,2005,15951322,13968799,22250152,11282675,10967477,8195556,7755766,7062657,6906142,205,9141,9346,12,155,167
Texas,2004,15673529,13723603,21890579,11088092,10802487,8051240,7622289,6935409,6788194,198,8850,9048,9,201,210
Texas,2003,15332952,13426631,21575409,10909366,10666043,7861600,7471352,6780666,6645965,187,8376,8563,9,209,218
Texas,2002,15181549,13281594,21288789,10780768,10508021,7811541,7370008,6713321,6568273,180,7822,8002,10,220,230
Texas,2001,14697368,12836797,20773439,10577771,10195668,7579766,7117602,6508686,6328111,154,7178,7332,5,203,208
Texas,2000,14475893,12674756,20433842,10407035,10026807,7469667,7006226,6423919,6250837,134,5993,6127,10,253,263
