state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
State Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,88944,1139880,5953,88211,94164,82991,1051669,1134660,1417,11387,12804,83375,1064268,1147643
State Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,89107,1154413,5999,85339,91338,83108,1069074,1152182,1443,10932,12375,83602,1078763,1162365
State Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,90190,1169969,5593,86113,91706,84597,1083856,1168453,1489,11381,12870,85066,1095388,1180454
State Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,88903,1185812,5205,86999,92204,83698,1098813,1182511,1483,11130,12613,83782,1100800,1184582
State Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,86394,1180604,6447,90327,96774,79947,1090277,1170224,1475,10915,12390,79994,1090884,1170878
State Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,89116,1201096,6297,86129,92426,82819,1114967,1197786,1418,10728,12146,82916,1115597,1198513
State Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,91521,1222924,6820,87295,94115,84701,1135629,1220330,1380,11041,12421,85218,1137490,1222708
State Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,92066,1227497,7258,87988,95246,84808,1139509,1224317,1408,11112,12520,85377,1144395,1229772
State Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,93949,1230590,7544,88776,96320,86405,1141814,1228219,1534,11741,13275,86942,1153442,1240384
State Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,93597,1222508,7265,85575,92840,86332,1136933,1223265,1722,12764,14486,86897,1148794,1235691
State Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,92094,1205442,6708,79263,85971,85386,1126179,1211565,1988,13610,15598,85863,1137956,1223819
State Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,88258,1172813,7004,73383,80387,81254,1099430,1180684,1849,12535,14384,83260,1115445,1198705
State Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,86132,1158084,5652,68208,73860,80480,1089876,1170356,1675,12002,13677,82153,1103980,1186133
State Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,82688,1143283,5420,68422,73842,77268,1074861,1152129,1581,11355,12936,78950,1088915,1167865
State Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,80144,1129001,5966,67672,73638,74178,1061329,1135507,1434,10897,12331,75620,1078362,1153982
State Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,75764,1104190,5970,67715,73685,69794,1036475,1106269,1409,11117,12526,71335,1054622,1125957
State Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,76961,1100279,7351,68704,76055,69610,1031575,1101185,1450,11638,13088,71745,1049581,1121326
State Prison Total,1999,199841353.79999998,169008280.3,271079171.3,138745496.7,132333674.60000001,104067422.6,95773931.2,86046434.9,82961845.4,74025,1081853,5519,59613,65132,68506,1022240,1090746,1441,10956,12397,70704,1041355,1112059
State Prison Total,1998,198157800.6,167535786.6,268526777.6,137464026.4,131062751.2,103206016.2,94951784.4,85249808.8,82285977.8,NA,NA,NA,NA,NA,NA,NA,NA,1464,10110,11574,69937,1041990,1111927
State Prison Total,1997,196474247.4,166063292.9,265974383.9,136182556.1,129791827.8,102344609.8,94129637.6,84453182.7,81610110.2,NA,NA,NA,NA,NA,NA,NA,NA,1495,10525,12020,66522,1008287,1074809
State Prison Total,1996,194790694.20000002,164590799.2,263421990.2,134901085.8,128520904.39999999,101483203.4,93307490.8,83656556.6,80934242.6,NA,NA,NA,NA,NA,NA,NA,NA,1504,10417,11921,63460,969216,1032676
State Prison Total,1995,193107141,163118305.5,260869596.5,133619615.5,127249981,100621797,92485344,82859930.5,80258375,NA,NA,NA,NA,NA,NA,NA,NA,1525,10717,12242,57830,931174,989004
State Prison Total,1994,191423587.79999998,161645811.8,258317202.8,132338145.2,125979057.60000001,99760390.6,91663197.2,82063304.4,79582507.4,NA,NA,NA,NA,NA,NA,NA,NA,1559,10424,11983,50988,853659,904647
State Prison Total,1993,189740034.6,160173318.1,255764809.1,131056674.9,124708134.2,98898984.2,90841050.4,81266678.3,78906639.8,NA,NA,NA,NA,NA,NA,NA,NA,1432,9412,10844,45466,783100,828566
State Prison Total,1992,188056481.4,158700824.4,253212415.4,129775204.6,123437210.8,98037577.8,90018903.6,80470052.2,78230772.2,NA,NA,NA,NA,NA,NA,NA,NA,1501,9629,11130,41546,736949,778495
State Prison Total,1991,186372928.20000002,157228330.7,250660021.7,128493734.3,122166287.39999999,97176171.4,89196756.8,79673426.1,77554904.6,NA,NA,NA,NA,NA,NA,NA,NA,1280,9089,10369,39928,688677,728605
State Prison Total,1990,184689375,155755837,248107628,127212264,120895364,96314765,88374610,78876800,76879037,NA,NA,NA,NA,NA,NA,NA,NA,1312,8747,10059,37135,647409,684544
State Prison Total,1989,182464019.5,154062039.3,245983105.20000002,126180925.6,119802179.6,95222236.5,87241783,78107908,75954131.3,NA,NA,NA,NA,NA,NA,NA,NA,1293,8743,10036,34561,595434,629995
State Prison Total,1988,180238664,152368241.6,243858582.4,125149587.2,118708995.2,94129708,86108956,77339016,75029225.6,NA,NA,NA,NA,NA,NA,NA,NA,1147,8296,9443,28270,534335,562605
State Prison Total,1987,178013308.5,150674443.9,241734059.6,124118248.8,117615810.8,93037179.5,84976129,76570124,74104319.9,NA,NA,NA,NA,NA,NA,NA,NA,895,7008,7903,25141,495195,520336
State Prison Total,1986,175787953,148980646.2,239609536.79999998,123086910.4,116522626.4,91944651,83843302,75801232,73179414.2,NA,NA,NA,NA,NA,NA,NA,NA,779,5563,6342,19968,476866,496834
State Prison Total,1985,173562597.5,147286848.5,237485014,122055572,115429442,90852122.5,82710475,75032340,72254508.5,NA,NA,NA,NA,NA,NA,NA,NA,779,5606,6385,19968,431844,451812
State Prison Total,1984,171337242,145593050.8,235360491.20000002,121024233.6,114336257.6,89759594,81577648,74263448,71329602.8,NA,NA,NA,NA,NA,NA,NA,NA,544,4193,4737,18086,399303,417389
State Prison Total,1983,169111886.5,143899253.1,233235968.4,119992895.2,113243073.2,88667065.5,80444821,73494556,70404697.1,NA,NA,NA,NA,NA,NA,NA,NA,553,3877,4430,16677,378276,394953
State Prison Total,1982,166886531,142205455.4,231111445.6,118961556.8,112149888.8,87574537,79311994,72725664,69479791.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456,NA,NA,375603
State Prison Total,1981,164661175.5,140511657.7,228986922.79999998,117930218.4,111056704.4,86482008.5,78179167,71956772,68554885.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4796,NA,NA,333251
State Prison Total,1980,162435820,138817860,226862400,116898880,109963520,85389480,77046340,71187880,67629980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4180,NA,NA,295819
