state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Hawaii,2016,1121758,896686,1428557,709046,719511,561907,559851,436865,459821,6,122,128,0,0,0
Hawaii,2015,1119532,900769,1431603,709902,721701,554442,565090,433594,467175,5,79,84,0,0,0
Hawaii,2014,1112169,902764,1419561,703657,715904,553477,558692,433942,468822,5,140,145,0,0,0
Hawaii,2013,1097385,893685,1404054,694578,709476,546085,551300,432692,460993,38,293,331,0,0,0
Hawaii,2012,1090738,895103,1392313,687795,704518,543414,547324,434717,460386,18,269,287,0,0,0
Hawaii,2011,1070445,881517,1374810,687674,687136,538404,532041,432737,448780,19,243,262,0,0,0
Hawaii,2010,1061148,877239,1363621,680003,683618,533142,528006,430732,446507,9,90,99,0,0,0
Hawaii,2009,1007001,831136,1295178,637932,657246,500861,506140,399645,431491,7,115,122,0,2,2
Hawaii,2008,1002360,824737,1288198,638663,649535,500434,501926,399032,425705,7,92,99,0,0,0
Hawaii,2007,1003521,833325,1283388,637636,645752,502493,501028,406056,427269,5,94,99,0,1,1
Hawaii,2006,986139,816614,1285498,641788,643710,499935,486204,402829,413785,8,95,103,0,1,1
Hawaii,2005,948756,785155,1258528,639622,618906,490860,457896,394120,391035,8,93,101,0,1,1
Hawaii,2004,930178,767908,1227008,620276,606732,477513,452665,382957,384951,7,85,92,0,0,0
Hawaii,2003,926971,772541,1221885,614713,607172,471135,455836,384857,387684,7,75,82,0,1,1
Hawaii,2002,915388,762887,1208537,609679,598858,466965,448423,381232,381655,6,70,76,0,3,3
Hawaii,2001,886445,737459,1188615,597621,590994,450505,435940,367137,370322,8,64,72,0,3,3
Hawaii,2000,890920,746577,1198101,590966,607135,449071,441849,369583,376994,2,43,45,0,1,1
