state,year,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
New Jersey,1978,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,NA,NA,NA,0,3,3,NA,NA,NA
New Jersey,1979,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,NA,NA,0,3,3,NA,NA,NA
New Jersey,1980,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,NA,NA,NA,0,1,1,NA,NA,NA
New Jersey,1981,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,NA,NA,NA,0,1,1,NA,NA,NA
New Jersey,1982,0,3,3,0,2,2,NA,NA,NA,0,0,0,NA,NA,NA,0,4,4,NA,NA,NA,0,1,1,NA,NA,NA
New Jersey,1983,0,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,11,12,NA,NA,NA,0,1,1,NA,NA,NA
New Jersey,1984,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,24,24,NA,NA,NA,0,1,1,NA,NA,NA
New Jersey,1985,0,0,0,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,4,54,58,NA,NA,NA,0,2,2,NA,NA,NA
New Jersey,1986,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,54,54,NA,NA,NA,0,2,2,NA,NA,NA
New Jersey,1987,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,71,71,NA,NA,NA,0,0,0,NA,NA,NA
New Jersey,1988,0,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,3,69,72,NA,NA,NA,0,3,3,NA,NA,NA
New Jersey,1989,0,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,2,87,89,NA,NA,NA,0,3,3,NA,NA,NA
New Jersey,1990,0,1,1,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,57,57,NA,NA,NA,0,2,2,NA,NA,NA
New Jersey,1991,0,0,0,0,0,0,0,66,66,0,0,0,NA,NA,NA,2,27,29,NA,NA,NA,0,1,1,NA,NA,NA
