state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Hawaii,1991,NA,NA,17,NA,NA,1,NA,NA,1,NA,NA,19
Hawaii,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
Hawaii,1993,NA,NA,17,NA,NA,2,NA,NA,2,2,19,21
Hawaii,1994,NA,NA,10,NA,NA,1,NA,NA,3,0,14,14
Hawaii,1995,NA,NA,11,NA,NA,1,NA,NA,0,0,12,12
Hawaii,1996,NA,NA,17,NA,NA,2,NA,NA,4,0,23,23
Hawaii,1997,NA,NA,3,NA,NA,4,NA,NA,9,0,16,16
Hawaii,1998,1,17,18,0,2,2,0,0,0,1,19,20
Hawaii,1999,0,21,21,0,7,7,0,2,2,0,30,30
Hawaii,2e3,0,17,17,0,1,1,0,1,1,0,19,19
Hawaii,2001,0,13,13,0,0,0,0,0,0,0,13,13
Hawaii,2002,0,16,16,1,0,1,0,5,5,1,21,22
Hawaii,2003,3,7,10,0,4,4,0,13,13,3,24,27
Hawaii,2004,3,4,7,0,2,2,0,6,6,3,12,15
Hawaii,2005,0,0,0,0,2,2,0,21,21,0,23,23
Hawaii,2006,0,0,0,0,2,2,3,10,13,3,12,15
Hawaii,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,26
Hawaii,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,23
Hawaii,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,24
Hawaii,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,18
Hawaii,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,21
Hawaii,2012,1,12,13,NA,NA,NA,NA,NA,NA,1,12,13
Hawaii,2013,NA,NA,NA,NA,NA,NA,1,15,16,1,15,16
Hawaii,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,14
Hawaii,2015,2,6,8,NA,NA,NA,3,7,10,5,13,18
Hawaii,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
