state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Missouri,1998,18,289,307,NA,NA,NA
Missouri,1999,23,300,323,NA,NA,NA
Missouri,2e3,18,320,338,4,75,79
Missouri,2001,14,341,355,1,49,50
Missouri,2002,21,372,393,3,53,56
Missouri,2003,21,363,384,1,34,35
Missouri,2004,23,375,398,2,34,36
Missouri,2005,22,386,408,1,20,21
Missouri,2006,24,385,409,1,37,38
Missouri,2007,24,423,447,4,17,21
Missouri,2008,29,411,440,1,25,26
Missouri,2009,24,428,452,1,30,31
Missouri,2010,22,423,445,1,21,22
Missouri,2011,46,605,651,0,19,19
Missouri,2012,34,499,533,0,8,8
Missouri,2013,29,487,516,0,13,13
Missouri,2014,35,475,510,1,11,12
Missouri,2015,26,448,474,0,10,10
Missouri,2016,42,456,498,0,7,7
