state,year,population,population_adult,population_adult_aged_18_65,population_american_indian,population_asian,population_black,population_hispanic,population_other_or_unknown,population_white,population_adult_american_indian,population_adult_asian,population_adult_black,population_adult_hispanic,population_adult_other_or_unknown,population_adult_white,population_aged_18_65_american_indian,population_aged_18_65_asian,population_aged_18_65_black,population_aged_18_65_hispanic,population_aged_18_65_other_or_unknown,population_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Federal Prison Total,2016,323127515,249576134,203914570,2116655,17806080,39808784,57389751,8519550,197486695,1554563,14272570,29890104,39091193,4768364,159999340,1348874,12310903,25881798,35483336,4341165,124548494,350,3190,3540,249,2301,2550,2973,67046,70019,3961,57249,61210,0,0,0,5164,46709,51873
Federal Prison Total,2015,321418821,247876467,203658037,2065003,17500206,39650251,56476777,8172629,197553955,1525381,14002244,29654620,38380691,4547692,159765839,1329737,12158076,25836183,34962384,4147303,125224354,333,3125,3458,282,2447,2729,3050,69807,72857,4004,60215,64219,0,0,0,5283,47908,53191
Federal Prison Total,2014,318857056,245365242,202656261,2084675,16916208,39302196,55250517,7862050,197441410,1521716,13484095,29276944,37371173,4327122,159384192,1338609,11771551,25635452,34158087,3945637,125806925,393,3295,3688,301,2625,2926,3294,74576,77870,4371,65288,69659,0,0,0,5640,50783,56423
Federal Prison Total,2013,316128839,242627222,201472079,2081234,16220790,38851242,53964235,7619580,197391758,1507559,12838265,28790820,36276429,4221402,158992747,1328628,11258383,25305257,33257265,3865362,126457184,347,2961,3308,290,2533,2823,2916,65053,67969,3926,64511,68437,0,0,0,5043,47286,52329
Federal Prison Total,2012,313914040,240281843,200704482,2096025,15809685,38535707,52932483,7264406,197275734,1527213,12463976,28398251,35387657,3994396,158510350,1361860,10987156,25062449,32529515,3658641,127104861,382,3176,3558,290,2533,2823,2916,65053,67969,3926,64511,68437,0,0,0,5043,47286,52329
Federal Prison Total,2011,311591919,237741224,199183795,2076934,15318031,38203e3,51927158,6968133,197098663,1495966,12016952,28001559,34540915,3770761,157915071,1335292,10630295,24753507,31842155,3452791,127169755,448,3557,4005,427,3130,3557,3560,77653,81213,0,0,0,0,0,0,9465,118122,127587
Federal Prison Total,2010,309349689,235217323,197483605,2075440,15019346,37936978,50729570,6656907,196931448,1500245,11712340,27532604,33548035,3629854,157294245,1347627,10403835,24394924,30965598,3316614,127055007,416,3344,3760,401,3119,3520,3715,77730,81445,0,0,0,0,0,0,9017,112029,121046
Federal Prison Total,2009,307006556,232534305,195670932,1967833,14022191,37178119,48348144,6163024,199327245,1427958,10877175,26959071,31653925,3336764,158279412,1282925,9627430,23912129,29158583,3059371,128630494,421,3331,3752,NA,NA,NA,3709,77225,80934,NA,NA,NA,NA,NA,NA,9064,110744,119808
Federal Prison Total,2008,304059728,230169098,194129070,2001987,13626258,36774337,46822476,5871011,198963659,1458882,10626465,26525609,30820211,3177101,157560830,1310780,9419546,23569076,28395750,2924300,128509618,366,3128,3494,NA,NA,NA,3756,75968,79724,NA,NA,NA,NA,NA,NA,8799,105909,114708
Federal Prison Total,2007,301621159,227708235,192389832,2021731,13505104,36624935,45378596,5496266,198594527,1463005,10514726,26059539,30046610,2985033,156639322,1316772,9366825,23161404,27749263,2750066,128045502,356,3154,3510,NA,NA,NA,3872,76316,80188,NA,NA,NA,NA,NA,NA,8749,103817,112566
Federal Prison Total,2006,299398485,225613367,190809190,2051510,13335040,36431992,44298975,5153906,198127062,1468270,10380504,25733718,29333930,2822269,155874676,1325061,9300223,22903666,27172458,2582552,127525230,306,3048,3354,NA,NA,NA,3914,73845,77759,NA,NA,NA,NA,NA,NA,8391,100334,108725
Federal Prison Total,2005,288398819,215251252,182729336,2036121,12677007,34410656,41926302,4821781,192526952,1452659,9771897,23802468,27486810,2574836,150162582,1310865,8769140,21176933,25473601,2357815,123640982,281,2968,3249,308,2779,3087,3967,71489,75456,0,0,0,NA,NA,NA,7866,97960,105826
Federal Prison Total,2004,285674993,212798888,180679298,1861771,12298846,34132250,40450920,4558646,192372560,1316567,9481736,23486413,26560513,2425892,149527767,1198960,8557716,20890376,24657136,2221046,123154064,281,2778,3059,273,2611,2884,4015,68339,72354,0,0,0,0,0,0,7595,94436,102031
Federal Prison Total,2003,283051379,210291625,178569728,1854706,11971899,33719409,39274045,4447014,191784306,1315460,9230643,23101410,25713281,2352744,148578087,1187479,8337197,20553104,23884185,2137276,122470487,239,2553,2792,259,2487,2746,3995,65929,69924,0,0,0,0,0,0,7142,90455,97597
Federal Prison Total,2002,280717370,208144701,176648656,1644917,11476291,33186892,37932668,5154239,191322363,1144389,8808181,22687737,24854414,2859450,147790530,1031626,7976403,20191700,23091607,2606636,121750684,214,2422,2636,234,2303,2537,3973,62531,66504,0,0,0,0,0,0,6813,85038,91851
Federal Prison Total,2001,277075792,204943608,173760985,1658812,10819286,32671449,36204014,5108182,190614049,1149929,8267894,22252538,23583264,2820104,146869879,1051131,7469440,19817493,21953757,2575214,120893950,179,2277,2456,199,2188,2387,3992,60285,64277,0,0,0,0,0,0,6603,81270,87873
Federal Prison Total,2000,273631565,201524907,170480774,1830623,10730394,31556836,34264765,4798056,190450891,1216248,8095115,21334060,22141011,2655585,146082888,1120919,7376704,18915471,20608478,2428719,120030483,160,2159,2319,183,2083,2266,3685,52058,55743,2773,39030,41803,0,0,0,6007,71966,77973
Federal Prison Total,1999,271079172,199841353.80000004,169008280.3,1832642.2,10355099.299999997,31319998.000000004,33021973.599999994,4342315.9,190207142.3,1217457.9000000001,7787211.699999999,21189598.9,21347352.700000003,2402300.2,145897432.4,1121323.2,7101710.7,18786299.6,19872752.400000002,2197145.1,119929049.3,142,2073,2215,NA,NA,NA,3769,49279,53048,2703,39824,42527,0,0,0,5817,71902,77719
Federal Prison Total,1998,268526778,198157800.60000002,167535786.6,1834661.4000000001,9979804.599999998,31083160.000000004,31779182.199999996,3886575.8000000003,189963393.60000002,1218667.8,7479308.399999999,21045137.799999997,20553694.400000002,2149015.4,145711976.79999998,1121727.4,6826717.4,18657128.2,19137026.8,1965571.2,119827615.60000001,121,1880,2001,NA,NA,NA,3496,44351,47847,2481,34842,37323,0,0,0,5400,65719,71119
