state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Georgia,2016,7798957,6546036,10310371,5295521,5014850,4068101,3730856,3356054,3189982,3788,44579,0,7973,7973,3788,36606,40394,0,0,0,3788,41672,45460
Georgia,2015,7712805,6517028,10214860,5237746,4977114,4017116,3695689,3335293,3181735,3613,43487,0,7953,7953,3613,35534,39147,0,0,0,3613,40436,44049
Georgia,2014,7607044,6460153,10097343,5173573,4923770,3961007,3646037,3306918,3153235,3511,44262,0,7901,7901,3511,36361,39872,0,0,0,3511,41307,44818
Georgia,2013,7504789,6410870,9992167,5113796,4878371,3898341,3606448,3273170,3137700,3559,50142,0,7900,7900,3559,42242,45801,0,0,0,3559,42242,45801
Georgia,2012,7429713,6396154,9919945,5068718,4851227,3851053,3578660,3256039,3140115,3589,51589,0,7900,7900,3589,43689,47278,0,0,0,3589,43689,47278
Georgia,2011,7327051,6333123,9815210,5008348,4806862,3798787,3528264,3224498,3108625,3653,49191,0,5615,5615,3653,43576,47229,0,0,0,3653,43576,47229
Georgia,2010,7219911,6267819,9712587,4969897,4742690,3755208,3464703,3201946,3065873,3578,49216,0,5233,5233,3578,43983,47561,0,0,0,3578,43983,47561
Georgia,2009,7246007,6312570,9829211,5000171,4829040,3740303,3505704,3189592,3122978,3806,49732,0,5129,5129,3806,44603,48409,NA,NA,NA,3806,44603,48409
Georgia,2008,7137004,6239554,9685744,4918070,4767674,3674362,3462642,3140753,3098801,3692,49027,0,5138,5138,3692,43889,47581,NA,NA,NA,3692,49027,52719
Georgia,2007,7015513,6149840,9544750,4846718,4698032,3620356,3395157,3101158,3048682,3545,50711,0,4974,4974,3545,45737,49282,NA,NA,NA,3545,50711,54256
Georgia,2006,6910518,6071969,9363941,4749676,4614265,3551372,3359146,3051233,3020736,3557,49235,0,5075,5075,3557,44160,47717,NA,NA,NA,3557,49235,52792
Georgia,2005,6468912,5720615,8811648,4484200,4327448,3342251,3126661,2906350,2814265,2893,45856,0,4778,4778,2893,41078,43971,0,0,0,2893,45856,48749
Georgia,2004,6279787,5555067,8580307,4370848,4209459,3236126,3043661,2818080,2736987,3436,47668,0,4693,4693,3436,42975,46411,0,0,0,3436,47668,51104
Georgia,2003,6155477,5434852,8438710,4300894,4137816,3189135,2966342,2760583,2674269,3145,44063,0,4589,4589,3145,39474,42619,0,0,0,3145,44063,47208
Georgia,2002,6068492,5359670,8328862,4273763,4055099,3163391,2905101,2741355,2618315,3129,44316,0,4573,4573,3129,39743,42872,NA,NA,NA,3129,44316,47445
Georgia,2001,5900735,5203896,8158938,4174762,3984176,3075813,2824922,2661873,2542023,2834,43103,0,4582,4582,2834,38521,41355,NA,NA,NA,2834,43103,45937
Georgia,2000,5778754,5047399,7951518,4087125,3864393,3031583,2747171,2599311,2448088,2758,41474,0,3746,3746,2758,37728,40486,NA,NA,NA,2758,41474,44232
