state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Michigan,2016,7742571,6254536,9928300,5047997,4880303,3978848,3763723,3147152,3107384,15,520,535,1,84,85
Michigan,2015,7716975,6259849,9922576,5047175,4875401,3974610,3742365,3156693,3103156,15,540,555,1,87,88
Michigan,2014,7691682,6280917,9909877,5040794,4869083,3961750,3729932,3167447,3113470,5,485,490,1,89,90
Michigan,2013,7653816,6286790,9895622,5038988,4856634,3948070,3705746,3181474,3105316,5,505,510,1,72,73
Michigan,2012,7619243,6295893,9883360,5031449,4851911,3930239,3689004,3176779,3119114,22,595,617,2,89,91
Michigan,2011,7588963,6295160,9876187,5031159,4845028,3915102,3673861,3175940,3119220,12,561,573,0,106,106
Michigan,2010,7544057,6269017,9877574,5030065,4847509,3895783,3648274,3167553,3101464,10,604,614,3,106,109
Michigan,2009,7622296,6373690,9969727,5067237,4902490,3920005,3702291,3202994,3170696,10,670,680,3,129,132
Michigan,2008,7608188,6407946,10003422,5084963,4918459,3917902,3690286,3221102,3186844,7,608,615,3,137,140
Michigan,2007,7623930,6426159,10071822,5112909,4958913,3920804,3703126,3218757,3207402,7,614,621,5,144,149
Michigan,2006,7618465,6438426,10095643,5127278,4968365,3911443,3707022,3225273,3213153,9,655,664,0,112,112
Michigan,2005,7369085,6245646,9857477,5022761,4834716,3804735,3564350,3155515,3090131,15,700,715,2,96,98
Michigan,2004,7335671,6224416,9858908,5051238,4807670,3812228,3523443,3168780,3055636,17,641,658,5,79,84
Michigan,2003,7299296,6200155,9825840,5037876,4787964,3790848,3508448,3154031,3046124,11,585,596,3,104,107
Michigan,2002,7234529,6138007,9797198,5016885,4780313,3761415,3473114,3120371,3017636,9,537,546,3,103,106
Michigan,2001,7289930,6203932,9740127,4987320,4752807,3792688,3497242,3159491,3044441,10,497,507,5,48,53
Michigan,2000,7125917,6032102,9669167,4905269,4763898,3716180,3409737,3080216,2951886,8,502,510,8,93,101
