state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Federal Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,1527,17944,19471,0,0,0
Federal Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,1680,19799,21479,0,0,0
Federal Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,1865,21667,23532,0,0,0
Federal Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,1971,23833,25804,0,0,0
Federal Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,2036,26923,28959,0,0,0
Federal Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,2062,28482,30544,0,0,0
Federal Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,2e3,28336,30336,0,0,0
Federal Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,2041,28404,30445,0,0,0
Federal Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,2087,26908,28995,0,0,0
Federal Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,2121,29348,31469,0,0,0
Federal Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,2145,31556,33701,0,0,0
Federal Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,2237,33048,35285,0,0,0
Federal Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,2241,32181,34422,0,0,0
Federal Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,2316,32140,34456,0,0,0
Federal Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,2248,31625,33873,0,0,0
Federal Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,2256,31630,33886,0,0,0
Federal Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,2166,33924,36090,0,0,0
