state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Maine,1991,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1
Maine,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
Maine,1993,NA,NA,6,NA,NA,2,NA,NA,NA,0,8,8
Maine,1994,NA,NA,6,NA,NA,2,NA,NA,NA,0,8,8
Maine,1995,NA,NA,0,NA,NA,4,NA,NA,0,0,4,4
Maine,1996,NA,NA,4,NA,NA,0,NA,NA,0,0,4,4
Maine,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,1998,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,11
Maine,1999,NA,NA,NA,NA,9,9,NA,NA,NA,NA,9,9
Maine,2e3,0,9,9,0,2,2,0,0,0,0,11,11
Maine,2001,0,9,9,0,6,6,0,0,0,0,15,15
Maine,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,2003,1,4,5,0,0,0,0,5,5,1,9,10
Maine,2004,1,10,11,0,0,0,0,0,0,1,10,11
Maine,2005,0,0,0,0,1,1,1,8,9,1,9,10
Maine,2006,2,11,13,0,0,0,0,0,0,2,11,13
Maine,2007,NA,NA,NA,0,0,0,0,10,10,0,10,10
Maine,2008,1,5,6,0,0,0,0,3,3,1,8,9
Maine,2009,0,7,7,0,0,0,0,1,1,0,8,8
Maine,2010,0,14,14,0,1,1,0,0,0,0,15,15
Maine,2011,0,0,0,0,0,0,0,3,3,0,3,3
Maine,2012,0,10,10,0,1,1,0,0,0,0,11,11
Maine,2013,1,7,8,0,1,1,0,4,4,1,12,13
Maine,2014,1,5,6,0,0,0,0,10,10,1,15,16
Maine,2015,1,5,6,0,0,0,0,10,10,1,15,16
Maine,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
