year,state,total_admissions,aggravated_or_simple_assault_total_total_admissions,burglary_total_total_admissions,drugs_total_total_admissions,fraud_total_total_admissions,motor_vehicle_theft_total_total_admissions,murder_total_total_admissions,negligent_manslaughter_total_total_admissions,other_property_offenses_total_total_admissions,other_unknown_total_total_admissions,other_violent_offenses_total_total_admissions,public_order_total_total_admissions,rape_or_sexual_assault_total_total_admissions,robbery_total_total_admissions,theft_total_total_admissions,aggravated_or_simple_assault_total_female_admissions,aggravated_or_simple_assault_total_male_admissions,burglary_total_female_admissions,burglary_total_male_admissions,drugs_total_female_admissions,drugs_total_male_admissions,fraud_total_female_admissions,fraud_total_male_admissions,motor_vehicle_theft_total_female_admissions,motor_vehicle_theft_total_male_admissions,murder_total_female_admissions,murder_total_male_admissions,negligent_manslaughter_total_female_admissions,negligent_manslaughter_total_male_admissions,other_property_offenses_total_female_admissions,other_property_offenses_total_male_admissions,other_unknown_total_female_admissions,other_unknown_total_male_admissions,other_violent_offenses_total_female_admissions,other_violent_offenses_total_male_admissions,public_order_total_female_admissions,public_order_total_male_admissions,rape_or_sexual_assault_total_female_admissions,rape_or_sexual_assault_total_male_admissions,robbery_total_female_admissions,robbery_total_male_admissions,theft_total_female_admissions,theft_total_male_admissions,aggravated_or_simple_assault_black_total_admissions,aggravated_or_simple_assault_hispanic_total_admissions,aggravated_or_simple_assault_other_or_unknown_total_admissions,aggravated_or_simple_assault_white_total_admissions,burglary_black_total_admissions,burglary_hispanic_total_admissions,burglary_other_or_unknown_total_admissions,burglary_white_total_admissions,drugs_black_total_admissions,drugs_hispanic_total_admissions,drugs_other_or_unknown_total_admissions,drugs_white_total_admissions,fraud_black_total_admissions,fraud_hispanic_total_admissions,fraud_other_or_unknown_total_admissions,fraud_white_total_admissions,motor_vehicle_theft_black_total_admissions,motor_vehicle_theft_hispanic_total_admissions,motor_vehicle_theft_other_or_unknown_total_admissions,motor_vehicle_theft_white_total_admissions,murder_black_total_admissions,murder_hispanic_total_admissions,murder_other_or_unknown_total_admissions,murder_white_total_admissions,negligent_manslaughter_black_total_admissions,negligent_manslaughter_hispanic_total_admissions,negligent_manslaughter_other_or_unknown_total_admissions,negligent_manslaughter_white_total_admissions,other_property_offenses_black_total_admissions,other_property_offenses_hispanic_total_admissions,other_property_offenses_other_or_unknown_total_admissions,other_property_offenses_white_total_admissions,other_unknown_black_total_admissions,other_unknown_hispanic_total_admissions,other_unknown_other_or_unknown_total_admissions,other_unknown_white_total_admissions,other_violent_offenses_black_total_admissions,other_violent_offenses_hispanic_total_admissions,other_violent_offenses_other_or_unknown_total_admissions,other_violent_offenses_white_total_admissions,public_order_black_total_admissions,public_order_hispanic_total_admissions,public_order_other_or_unknown_total_admissions,public_order_white_total_admissions,rape_or_sexual_assault_black_total_admissions,rape_or_sexual_assault_hispanic_total_admissions,rape_or_sexual_assault_other_or_unknown_total_admissions,rape_or_sexual_assault_white_total_admissions,robbery_black_total_admissions,robbery_hispanic_total_admissions,robbery_other_or_unknown_total_admissions,robbery_white_total_admissions,theft_black_total_admissions,theft_hispanic_total_admissions,theft_other_or_unknown_total_admissions,theft_white_total_admissions,aggravated_or_simple_assault_black_female_admissions,aggravated_or_simple_assault_black_male_admissions,aggravated_or_simple_assault_hispanic_female_admissions,aggravated_or_simple_assault_hispanic_male_admissions,aggravated_or_simple_assault_other_or_unknown_female_admissions,aggravated_or_simple_assault_other_or_unknown_male_admissions,aggravated_or_simple_assault_white_female_admissions,aggravated_or_simple_assault_white_male_admissions,burglary_black_female_admissions,burglary_black_male_admissions,burglary_hispanic_female_admissions,burglary_hispanic_male_admissions,burglary_other_or_unknown_female_admissions,burglary_other_or_unknown_male_admissions,burglary_white_female_admissions,burglary_white_male_admissions,drugs_black_female_admissions,drugs_black_male_admissions,drugs_hispanic_female_admissions,drugs_hispanic_male_admissions,drugs_other_or_unknown_female_admissions,drugs_other_or_unknown_male_admissions,drugs_white_female_admissions,drugs_white_male_admissions,fraud_black_female_admissions,fraud_black_male_admissions,fraud_hispanic_female_admissions,fraud_hispanic_male_admissions,fraud_other_or_unknown_female_admissions,fraud_other_or_unknown_male_admissions,fraud_white_female_admissions,fraud_white_male_admissions,motor_vehicle_theft_black_female_admissions,motor_vehicle_theft_black_male_admissions,motor_vehicle_theft_hispanic_female_admissions,motor_vehicle_theft_hispanic_male_admissions,motor_vehicle_theft_other_or_unknown_female_admissions,motor_vehicle_theft_other_or_unknown_male_admissions,motor_vehicle_theft_white_female_admissions,motor_vehicle_theft_white_male_admissions,murder_black_female_admissions,murder_black_male_admissions,murder_hispanic_female_admissions,murder_hispanic_male_admissions,murder_other_or_unknown_female_admissions,murder_other_or_unknown_male_admissions,murder_white_female_admissions,murder_white_male_admissions,negligent_manslaughter_black_female_admissions,negligent_manslaughter_black_male_admissions,negligent_manslaughter_hispanic_female_admissions,negligent_manslaughter_hispanic_male_admissions,negligent_manslaughter_other_or_unknown_female_admissions,negligent_manslaughter_other_or_unknown_male_admissions,negligent_manslaughter_white_female_admissions,negligent_manslaughter_white_male_admissions,other_property_offenses_black_female_admissions,other_property_offenses_black_male_admissions,other_property_offenses_hispanic_female_admissions,other_property_offenses_hispanic_male_admissions,other_property_offenses_other_or_unknown_female_admissions,other_property_offenses_other_or_unknown_male_admissions,other_property_offenses_white_female_admissions,other_property_offenses_white_male_admissions,other_unknown_black_female_admissions,other_unknown_black_male_admissions,other_unknown_hispanic_female_admissions,other_unknown_hispanic_male_admissions,other_unknown_other_or_unknown_female_admissions,other_unknown_other_or_unknown_male_admissions,other_unknown_white_female_admissions,other_unknown_white_male_admissions,other_violent_offenses_black_female_admissions,other_violent_offenses_black_male_admissions,other_violent_offenses_hispanic_female_admissions,other_violent_offenses_hispanic_male_admissions,other_violent_offenses_other_or_unknown_female_admissions,other_violent_offenses_other_or_unknown_male_admissions,other_violent_offenses_white_female_admissions,other_violent_offenses_white_male_admissions,public_order_black_female_admissions,public_order_black_male_admissions,public_order_hispanic_female_admissions,public_order_hispanic_male_admissions,public_order_other_or_unknown_female_admissions,public_order_other_or_unknown_male_admissions,public_order_white_female_admissions,public_order_white_male_admissions,rape_or_sexual_assault_black_female_admissions,rape_or_sexual_assault_black_male_admissions,rape_or_sexual_assault_hispanic_female_admissions,rape_or_sexual_assault_hispanic_male_admissions,rape_or_sexual_assault_other_or_unknown_female_admissions,rape_or_sexual_assault_other_or_unknown_male_admissions,rape_or_sexual_assault_white_female_admissions,rape_or_sexual_assault_white_male_admissions,robbery_black_female_admissions,robbery_black_male_admissions,robbery_hispanic_female_admissions,robbery_hispanic_male_admissions,robbery_other_or_unknown_female_admissions,robbery_other_or_unknown_male_admissions,robbery_white_female_admissions,robbery_white_male_admissions,theft_black_female_admissions,theft_black_male_admissions,theft_hispanic_female_admissions,theft_hispanic_male_admissions,theft_other_or_unknown_female_admissions,theft_other_or_unknown_male_admissions,theft_white_female_admissions,theft_white_male_admissions
1991,North Carolina,27006,2378,3848,4566,1805,639,365,250,1452,273,179,6035,624,1154,3438,134,2244,118,3730,541,4025,473,1332,22,617,23,342,31,219,110,1342,33,240,19,160,412,5623,9,615,55,1099,527,2911,NA,18,2360,NA,NA,15,3833,NA,NA,20,4546,NA,NA,2,1803,NA,NA,2,637,NA,NA,10,355,NA,NA,4,246,NA,NA,4,1448,NA,NA,2,271,NA,NA,NA,179,NA,NA,65,5970,NA,NA,9,615,NA,NA,6,1148,NA,NA,7,3431,NA,NA,NA,NA,18,134,2226,NA,NA,NA,NA,NA,15,118,3715,NA,NA,NA,NA,2,18,539,4007,NA,NA,NA,NA,NA,2,473,1330,NA,NA,NA,NA,NA,2,22,615,NA,NA,NA,NA,NA,10,23,332,NA,NA,NA,NA,NA,4,31,215,NA,NA,NA,NA,NA,4,110,1338,NA,NA,NA,NA,NA,2,33,238,NA,NA,NA,NA,NA,NA,19,160,NA,NA,NA,NA,NA,65,412,5558,NA,NA,NA,NA,NA,9,9,606,NA,NA,NA,NA,NA,6,55,1093,NA,NA,NA,NA,NA,7,527,2904,NA,NA
1992,North Carolina,29616,2464,4405,5781,1827,730,454,207,1648,251,180,6243,649,1368,3409,140,2324,115,4290,584,5197,494,1333,24,706,30,424,26,181,113,1535,29,222,14,166,356,5887,2,647,56,1312,545,2864,NA,NA,2464,NA,NA,NA,4405,NA,NA,NA,5781,NA,NA,NA,1827,NA,NA,NA,730,NA,NA,NA,454,NA,NA,NA,207,NA,NA,NA,1648,NA,NA,NA,251,NA,NA,NA,180,NA,NA,NA,6243,NA,NA,NA,649,NA,NA,NA,1368,NA,NA,NA,3409,NA,NA,NA,NA,NA,140,2324,NA,NA,NA,NA,NA,NA,115,4290,NA,NA,NA,NA,NA,NA,584,5197,NA,NA,NA,NA,NA,NA,494,1333,NA,NA,NA,NA,NA,NA,24,706,NA,NA,NA,NA,NA,NA,30,424,NA,NA,NA,NA,NA,NA,26,181,NA,NA,NA,NA,NA,NA,113,1535,NA,NA,NA,NA,NA,NA,29,222,NA,NA,NA,NA,NA,NA,14,166,NA,NA,NA,NA,NA,NA,356,5887,NA,NA,NA,NA,NA,NA,2,647,NA,NA,NA,NA,NA,NA,56,1312,NA,NA,NA,NA,NA,NA,545,2864,NA,NA
1993,North Carolina,29852,2507,4251,6143,1808,756,441,221,1602,250,182,6163,736,1483,3309,175,2332,134,4117,635,5508,536,1272,33,723,34,407,30,191,132,1470,30,220,15,167,430,5733,11,725,77,1406,599,2710,NA,NA,2507,NA,NA,NA,4251,NA,NA,NA,6143,NA,NA,NA,1808,NA,NA,NA,756,NA,NA,NA,441,NA,NA,NA,221,NA,NA,NA,1602,NA,NA,NA,250,NA,NA,NA,182,NA,NA,NA,6163,NA,NA,NA,736,NA,NA,NA,1483,NA,NA,NA,3309,NA,NA,NA,NA,NA,175,2332,NA,NA,NA,NA,NA,NA,134,4117,NA,NA,NA,NA,NA,NA,635,5508,NA,NA,NA,NA,NA,NA,536,1272,NA,NA,NA,NA,NA,NA,33,723,NA,NA,NA,NA,NA,NA,34,407,NA,NA,NA,NA,NA,NA,30,191,NA,NA,NA,NA,NA,NA,132,1470,NA,NA,NA,NA,NA,NA,30,220,NA,NA,NA,NA,NA,NA,15,167,NA,NA,NA,NA,NA,NA,430,5733,NA,NA,NA,NA,NA,NA,11,725,NA,NA,NA,NA,NA,NA,77,1406,NA,NA,NA,NA,NA,NA,599,2710,NA,NA
1994,North Carolina,27727,2274,3966,6221,1628,697,479,231,1448,256,161,5418,681,1355,2912,125,2149,141,3825,690,5531,491,1137,32,665,33,446,34,197,127,1321,34,222,13,148,448,4970,9,672,60,1295,549,2363,NA,NA,2274,NA,NA,NA,3966,NA,NA,NA,6221,NA,NA,NA,1628,NA,NA,NA,697,NA,NA,NA,479,NA,NA,NA,231,NA,NA,NA,1448,NA,NA,NA,256,NA,NA,NA,161,NA,NA,NA,5418,NA,NA,NA,681,NA,NA,NA,1355,NA,NA,NA,2912,NA,NA,NA,NA,NA,125,2149,NA,NA,NA,NA,NA,NA,141,3825,NA,NA,NA,NA,NA,NA,690,5531,NA,NA,NA,NA,NA,NA,491,1137,NA,NA,NA,NA,NA,NA,32,665,NA,NA,NA,NA,NA,NA,33,446,NA,NA,NA,NA,NA,NA,34,197,NA,NA,NA,NA,NA,NA,127,1321,NA,NA,NA,NA,NA,NA,34,222,NA,NA,NA,NA,NA,NA,13,148,NA,NA,NA,NA,NA,NA,448,4970,NA,NA,NA,NA,NA,NA,9,672,NA,NA,NA,NA,NA,NA,60,1295,NA,NA,NA,NA,NA,NA,549,2363,NA,NA
1995,North Carolina,24213,1788,3276,5664,1559,165,658,202,1206,186,270,4284,767,1397,2791,136,1652,148,3128,616,5048,493,1066,22,143,50,608,20,182,104,1102,54,132,39,231,340,3944,5,762,73,1324,401,2390,480,5,1067,236,663,16,2012,585,1792,6,3596,270,267,5,1040,247,58,NA,82,25,188,11,358,101,42,4,133,23,290,4,731,181,31,3,126,26,81,3,147,39,804,30,2572,878,152,6,429,180,459,3,853,82,691,8,1585,507,35,445,NA,5,96,971,5,231,13,650,NA,16,123,1889,12,573,74,1718,1,5,502,3094,39,231,72,195,NA,5,375,665,46,201,5,53,NA,NA,12,70,5,20,NA,188,NA,11,50,308,NA,101,1,41,NA,4,19,114,NA,23,15,275,NA,4,80,651,9,172,5,26,NA,3,45,81,4,22,11,70,NA,3,26,121,2,37,69,735,1,29,188,2384,82,796,1,151,NA,6,4,425,NA,180,8,451,NA,3,63,790,2,80,128,563,NA,8,224,1361,49,458
1996,North Carolina,22115,1506,2865,5604,1424,129,358,166,1097,38,216,4177,688,1396,2451,108,1398,107,2758,655,4949,477,947,6,123,20,338,26,140,85,1012,5,33,29,187,333,3844,4,684,82,1314,310,2141,573,13,638,282,872,22,1197,774,2524,22,2683,375,366,4,753,301,53,NA,45,31,168,7,92,91,50,6,77,33,384,4,449,260,15,NA,10,13,68,NA,80,68,1094,65,1704,1314,220,8,168,292,773,10,473,140,846,14,949,642,35,538,NA,13,66,572,7,275,17,855,1,21,78,1119,11,763,132,2392,NA,22,471,2212,52,323,99,267,1,3,301,452,76,225,2,51,NA,NA,1,44,3,28,1,167,NA,7,19,73,NA,91,4,46,NA,6,22,55,NA,33,21,363,NA,4,52,397,12,248,NA,15,NA,NA,5,5,NA,13,7,61,NA,NA,18,62,4,64,113,981,3,62,72,1632,145,1169,1,219,NA,8,3,165,NA,292,6,767,NA,10,72,401,4,136,159,687,3,11,94,855,54,588
1997,North Carolina,23217,1593,2791,6099,1386,145,323,193,1074,38,282,4699,737,1448,2409,102,1491,120,2671,761,5338,454,932,11,134,19,304,29,164,85,989,5,33,23,259,375,4324,11,726,85,1363,271,2138,705,15,548,325,877,26,1014,874,3160,30,2344,565,399,5,635,347,74,1,32,38,192,9,44,78,61,2,78,52,405,16,366,287,10,NA,16,12,120,2,79,81,1453,93,1418,1735,252,15,183,287,907,8,317,216,941,15,738,715,42,663,NA,15,52,496,8,317,26,851,NA,26,70,944,24,850,230,2930,3,27,426,1918,102,463,123,276,2,3,234,401,95,252,3,71,NA,1,2,30,6,32,NA,192,NA,9,19,25,NA,78,4,57,1,1,21,57,3,49,26,379,NA,16,39,327,20,267,1,9,NA,NA,2,14,2,10,6,114,NA,2,13,66,4,77,128,1325,1,92,62,1356,184,1551,1,251,NA,15,8,175,2,285,14,893,1,7,59,258,11,205,127,814,2,13,89,649,53,662
1998,North Carolina,24193,1797,2664,6141,1598,178,343,167,1107,55,333,5054,831,1489,2436,147,1650,105,2559,739,5402,494,1104,16,162,36,307,26,141,81,1026,8,47,35,298,409,4645,9,822,73,1416,293,2143,895,22,467,413,816,24,828,996,3431,78,1977,655,463,6,615,514,89,2,47,40,178,13,37,115,58,6,61,42,463,7,325,312,21,1,6,27,123,1,96,113,1823,136,1172,1923,254,22,205,350,924,11,358,196,1052,18,592,774,94,801,NA,22,35,432,18,395,25,791,NA,24,36,792,44,952,363,3068,3,75,235,1742,138,517,159,304,1,5,164,451,170,344,5,84,NA,2,3,44,8,32,4,174,NA,13,22,15,10,105,7,51,NA,6,16,45,3,39,26,437,NA,7,30,295,25,287,1,20,NA,1,2,4,5,22,10,113,NA,1,18,78,7,106,143,1680,NA,136,42,1130,224,1699,2,252,NA,22,6,199,1,349,19,905,NA,11,30,328,24,172,159,893,1,17,47,545,86,688
1999,North Carolina,21702,1775,2023,5447,1291,152,330,177,1038,81,299,4917,852,1209,2111,105,1670,113,1910,658,4789,415,876,16,136,28,302,26,151,78,960,11,70,34,265,385,4532,21,831,68,1141,246,1865,1014,32,246,483,761,23,428,811,3331,104,1241,771,476,7,300,508,91,NA,22,39,208,9,19,94,78,12,41,46,494,9,215,320,36,3,9,33,141,5,58,95,2182,153,544,2038,262,31,162,397,788,9,198,214,969,22,355,765,66,948,NA,32,11,235,28,455,51,710,1,22,22,406,39,772,374,2957,9,95,103,1138,172,599,175,301,3,4,52,248,185,323,5,86,NA,NA,4,18,7,32,17,191,NA,9,5,14,6,88,10,68,1,11,6,35,9,37,30,464,1,8,11,204,36,284,2,34,NA,3,4,5,5,28,16,125,NA,5,8,50,10,85,137,2045,NA,153,26,518,222,1816,1,261,NA,31,4,158,16,381,35,753,NA,9,15,183,18,196,129,840,NA,22,23,332,94,671
2e3,North Carolina,22584,1944,2129,5519,1314,165,336,171,887,89,406,5240,851,1392,2141,112,1832,112,2017,656,4863,384,930,13,152,33,303,28,143,68,819,17,72,44,362,394,4846,17,834,63,1329,257,1884,1194,34,170,546,890,21,324,894,3772,175,754,818,577,8,161,568,106,1,11,47,178,19,21,118,78,8,21,64,501,9,108,269,39,2,10,38,211,9,50,136,2403,174,454,2209,318,32,101,400,955,24,156,257,1007,14,245,875,82,1112,NA,34,6,164,24,522,48,842,1,20,8,316,55,839,404,3368,12,163,24,730,216,602,195,382,3,5,6,155,180,388,5,101,NA,1,NA,11,8,39,10,168,NA,19,4,17,19,99,11,67,NA,8,2,19,15,49,35,466,NA,9,4,104,29,240,7,32,NA,2,4,6,6,32,30,181,2,7,1,49,11,125,130,2273,2,172,15,439,247,1962,6,312,NA,32,NA,101,11,389,37,918,NA,24,1,155,25,232,128,879,1,13,10,235,118,757
