state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Michigan,2016,7742571,6254536,9928300,5047997,4880303,3978848,3763723,3147152,3107384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,2015,7716975,6259849,9922576,5047175,4875401,3974610,3742365,3156693,3103156,11,228,239,2,39,41,14,46,60,27,313,340
Michigan,2014,7691682,6280917,9909877,5040794,4869083,3961750,3729932,3167447,3113470,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,313,340
Michigan,2013,7653816,6286790,9895622,5038988,4856634,3948070,3705746,3181474,3105316,29,335,364,NA,NA,NA,NA,NA,NA,29,335,364
Michigan,2012,7619243,6295893,9883360,5031449,4851911,3930239,3689004,3176779,3119114,7,47,54,NA,NA,NA,20,296,316,27,343,370
Michigan,2011,7588963,6295160,9876187,5031159,4845028,3915102,3673861,3175940,3119220,24,358,382,4,42,46,NA,NA,NA,28,400,428
Michigan,2010,7544057,6269017,9877574,5030065,4847509,3895783,3648274,3167553,3101464,0,199,199,2,32,34,NA,NA,NA,2,231,233
Michigan,2009,7622296,6373690,9969727,5067237,4902490,3920005,3702291,3202994,3170696,1,102,103,18,283,301,NA,NA,NA,19,385,404
Michigan,2008,7608188,6407946,10003422,5084963,4918459,3917902,3690286,3221102,3186844,11,152,163,4,174,178,NA,NA,NA,15,326,341
Michigan,2007,7623930,6426159,10071822,5112909,4958913,3920804,3703126,3218757,3207402,12,163,175,3,181,184,0,0,0,15,344,359
Michigan,2006,7618465,6438426,10095643,5127278,4968365,3911443,3707022,3225273,3213153,35,244,279,6,205,211,NA,NA,NA,41,449,490
Michigan,2005,7369085,6245646,9857477,5022761,4834716,3804735,3564350,3155515,3090131,32,270,302,6,217,223,NA,NA,NA,38,487,525
Michigan,2004,7335671,6224416,9858908,5051238,4807670,3812228,3523443,3168780,3055636,33,324,357,NA,NA,NA,8,210,218,41,534,575
Michigan,2003,7299296,6200155,9825840,5037876,4787964,3790848,3508448,3154031,3046124,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,543,579
Michigan,2002,7234529,6138007,9797198,5016885,4780313,3761415,3473114,3120371,3017636,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,544,591
Michigan,2001,7289930,6203932,9740127,4987320,4752807,3792688,3497242,3159491,3044441,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,541,584
Michigan,2000,7125917,6032102,9669167,4905269,4763898,3716180,3409737,3080216,2951886,22,383,405,NA,NA,NA,22,158,180,44,541,585
Michigan,1999,7095814.8,6008853.9,9630731.3,4892553.3,4738178,3702338.8,3393476,3068208.8,2940645.1,16,375,391,NA,NA,NA,27,160,187,43,535,578
Michigan,1998,7065712.6,5985605.8,9592295.6,4879837.6,4712458,3688497.6,3377215,3056201.6,2929404.2,12,332,344,28,174,202,NA,NA,NA,40,506,546
Michigan,1997,7035610.4,5962357.7,9553859.9,4867121.9,4686738,3674656.4,3360954,3044194.4,2918163.3,NA,NA,216,NA,NA,203,NA,NA,NA,21,398,419
Michigan,1996,7005508.2,5939109.6,9515424.2,4854406.2,4661018,3660815.2,3344693,3032187.2,2906922.4,NA,NA,255,NA,NA,273,NA,NA,NA,30,498,528
Michigan,1995,6975406,5915861.5,9476988.5,4841690.5,4635298,3646974,3328432,3020180,2895681.5,NA,NA,272,NA,NA,107,NA,NA,NA,15,364,379
Michigan,1994,6945303.8,5892613.4,9438552.8,4828974.8,4609578,3633132.8,3312171,3008172.8,2884440.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,368,384
Michigan,1993,6915201.6,5869365.3,9400117.1,4816259.1,4583858,3619291.6,3295910,2996165.6,2873199.7,NA,NA,171,NA,NA,35,NA,NA,228,21,413,434
Michigan,1992,6885099.4,5846117.2,9361681.4,4803543.4,4558138,3605450.4,3279649,2984158.4,2861958.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454
Michigan,1991,6854997.2,5822869.1,9323245.7,4790827.7,4532418,3591609.2,3263388,2972151.2,2850717.9,NA,NA,124,NA,NA,72,NA,NA,194,NA,NA,390
