state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Washington,1998,37,1477,1514,NA,NA,NA
Washington,1999,99,1418,1517,NA,NA,NA
Washington,2e3,16,1614,1630,4,78,82
Washington,2001,23,1347,1370,0,66,66
Washington,2002,28,1448,1476,2,54,56
Washington,2003,30,1232,1262,0,47,47
Washington,2004,16,1060,1076,1,15,16
Washington,2005,12,974,986,0,3,3
Washington,2006,13,938,951,0,0,0
Washington,2007,27,918,945,0,3,3
Washington,2008,46,1029,1075,0,3,3
Washington,2009,24,774,798,0,2,2
Washington,2010,27,877,904,0,1,1
Washington,2011,78,2314,2392,0,1,1
Washington,2012,26,890,916,0,24,24
Washington,2013,25,857,882,1,23,24
Washington,2014,15,760,775,0,1,1
Washington,2015,16,753,769,0,0,0
Washington,2016,16,753,769,0,0,0
