state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Oklahoma,2016,2961420,2413263,3923561,1978805,1944756,1513239,1448181,1205155,1208108,3,173,176,0,4,4
Oklahoma,2015,2952178,2419235,3911338,1973432,1937906,1506427,1445751,1207665,1211570,0,0,0,1,8,9
Oklahoma,2014,2928028,2405714,3878051,1961682,1916369,1497353,1430675,1205223,1200491,0,0,0,0,7,7
Oklahoma,2013,2903408,2398380,3850568,1946121,1904447,1485874,1417534,1204246,1194134,65,1131,1196,1,3,4
Oklahoma,2012,2878098,2385029,3814820,1925565,1889255,1468663,1409435,1190027,1195002,0,0,0,2,14,16
Oklahoma,2011,2857499,2372689,3791508,1911580,1879928,1460194,1397305,1185472,1187217,0,0,0,2,15,17
Oklahoma,2010,2828979,2356115,3761702,1907e3,1854702,1448681,1380298,1179363,1176752,9,350,359,1,16,17
Oklahoma,2009,2765355,2300136,3687050,1869124,1817926,1418798,1346557,1150743,1149393,9,331,340,2,17,19
Oklahoma,2008,2737608,2282061,3642361,1847435,1794926,1402723,1334885,1137949,1144112,15,348,363,0,7,7
Oklahoma,2007,2710383,2267547,3617316,1824714,1792602,1379464,1330919,1122804,1144743,13,326,339,0,6,6
Oklahoma,2006,2688345,2244041,3579212,1815993,1763219,1380090,1308255,1120728,1123313,12,271,283,1,4,5
Oklahoma,2005,2588639,2173577,3429974,1748462,1681512,1336395,1252244,1100475,1073102,4,92,96,0,10,10
Oklahoma,2004,2558940,2147155,3412202,1729868,1682334,1314751,1244189,1078834,1068321,2,79,81,2,2,4
Oklahoma,2003,2519290,2120092,3396794,1737919,1658875,1315134,1204156,1087133,1032959,3,85,88,1,11,12
Oklahoma,2002,2511143,2106111,3379515,1737877,1641638,1307960,1203183,1072390,1033721,6,127,133,1,9,10
Oklahoma,2001,2476237,2068748,3347660,1711024,1636636,1287589,1188648,1050754,1017994,5,139,144,0,9,9
Oklahoma,2000,2455010,2059902,3330738,1722543,1608195,1307876,1147134,1070827,989075,7,177,184,1,16,17
