state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Alabama,2016,3764841,3037574,4863300,2502802,2360498,1976894,1787947,1561951,1475623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2015,3751787,3041803,4858979,2508497,2350482,1966748,1785039,1559466,1482337,0,6,6,1,57,58,10,158,168,11,221,232
Alabama,2014,3743355,3051977,4849377,2498961,2350416,1961551,1781804,1568039,1483938,0,0,0,3,61,64,10,196,206,13,257,270
Alabama,2013,3723333,3058166,4833722,2492548,2341174,1946337,1776996,1562843,1495323,NA,NA,NA,1,13,14,12,240,252,13,253,266
Alabama,2012,3696370,3057134,4822023,2489964,2332059,1938393,1757977,1567915,1489219,9,183,192,1,71,72,1,1,2,11,255,266
Alabama,2011,3679096,3054392,4802740,2486530,2316210,1929412,1749684,1567729,1486663,NA,NA,NA,18,256,274,NA,NA,NA,18,256,274
Alabama,2010,3649882,3033805,4785298,2461913,2323385,1909749,1740133,1553525,1480280,15,166,181,1,70,71,0,0,0,16,236,252
Alabama,2009,3583043,2975424,4708708,2425474,2283234,1876818,1706225,1517971,1457453,6,50,56,1,91,92,8,119,127,15,260,275
Alabama,2008,3538230,2948913,4661900,2402969,2258931,1851861,1686369,1503825,1445088,6,50,56,1,91,92,8,119,127,15,260,275
Alabama,2007,3505909,2926834,4627851,2389504,2238347,1835152,1670757,1493340,1433494,16,189,205,1,86,87,0,0,0,17,275,292
Alabama,2006,3479514,2912653,4599030,2368281,2230749,1827557,1651957,1491481,1421172,12,194,206,13,78,91,NA,NA,NA,25,272,297
Alabama,2005,3366418,2826299,4448075,2300418,2147657,1776246,1590172,1460745,1365554,8,231,239,4,25,29,0,0,0,12,256,268
Alabama,2004,3325616,2803953,4414559,2292525,2122034,1753802,1571814,1445210,1358743,10,127,137,14,119,133,NA,NA,NA,24,246,270
Alabama,2003,3285012,2758898,4385446,2278215,2107231,1737882,1547130,1426140,1332758,NA,NA,137,NA,NA,133,NA,NA,NA,24,246,270
Alabama,2002,3266513,2747647,4370221,2262994,2107227,1732415,1534098,1422822,1324825,0,195,195,24,57,81,0,0,0,24,252,276
Alabama,2001,3223010,2716855,4349601,2254779,2094822,1706680,1516330,1403650,1313205,10,238,248,0,26,26,28,0,28,38,264,302
Alabama,2000,3191816,2658473,4346948,2268640,2078308,1698345,1493471,1386053,1272420,23,235,258,3,16,19,3,139,142,29,390,419
Alabama,1999,3170568.6,2641956.1,4315552.4,2250954.3,2064598.1,1686946.3,1483622.3,1376011.3,1265944.8,20,233,253,NA,NA,30,NA,NA,NA,20,233,283
Alabama,1998,3149321.2,2625439.2,4284156.8,2233268.6,2050888.2,1675547.6,1473773.6,1365969.6,1259469.6,5,200,205,20,48,68,NA,NA,NA,25,248,273
Alabama,1997,3128073.8,2608922.3,4252761.2,2215582.9,2037178.3,1664148.9,1463924.9,1355927.9,1252994.4,NA,NA,58,NA,NA,51,NA,NA,103,15,197,212
Alabama,1996,3106826.4,2592405.4,4221365.6,2197897.2,2023468.4,1652750.2,1454076.2,1345886.2,1246519.2,NA,NA,176,NA,NA,58,NA,NA,0,17,217,234
Alabama,1995,3085579,2575888.5,4189970,2180211.5,2009758.5,1641351.5,1444227.5,1335844.5,1240044,NA,NA,180,NA,NA,42,NA,NA,NA,13,209,222
Alabama,1994,3064331.6,2559371.6,4158574.4,2162525.8,1996048.6,1629952.8,1434378.8,1325802.8,1233568.8,NA,NA,171,NA,NA,39,NA,NA,NA,12,198,210
Alabama,1993,3043084.2,2542854.7,4127178.8,2144840.1,1982338.7,1618554.1,1424530.1,1315761.1,1227093.6,NA,NA,142,NA,NA,52,NA,NA,NA,15,179,194
Alabama,1992,3021836.8,2526337.8,4095783.2,2127154.4,1968628.8,1607155.4,1414681.4,1305719.4,1220618.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183
Alabama,1991,3000589.4,2509820.9,4064387.6,2109468.7,1954918.9,1595756.7,1404832.7,1295677.7,1214143.2,NA,NA,178,NA,NA,0,NA,NA,0,NA,NA,178
