state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Maryland,1991,NA,NA,324,NA,NA,19,NA,NA,135,NA,NA,478
Maryland,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666
Maryland,1993,NA,NA,496,NA,NA,165,NA,NA,108,57,712,769
Maryland,1994,NA,NA,513,NA,NA,211,NA,NA,50,61,713,774
Maryland,1995,NA,NA,362,NA,NA,258,NA,NA,104,59,665,724
Maryland,1996,NA,NA,521,NA,NA,274,NA,NA,37,69,763,832
Maryland,1997,NA,NA,272,NA,NA,274,NA,NA,220,84,682,766
Maryland,1998,50,379,429,16,188,204,15,38,53,81,605,686
Maryland,1999,65,426,491,19,300,319,2,8,10,86,734,820
Maryland,2e3,23,195,218,29,296,325,67,388,455,119,879,998
Maryland,2001,81,507,588,16,197,213,0,29,29,97,733,830
Maryland,2002,130,585,715,22,230,252,NA,NA,NA,152,815,967
Maryland,2003,111,624,735,25,228,253,NA,NA,NA,136,852,988
Maryland,2004,58,530,588,27,177,204,NA,NA,NA,85,707,792
Maryland,2005,42,221,263,32,376,408,NA,NA,NA,74,597,671
Maryland,2006,33,318,351,13,248,261,NA,NA,NA,46,566,612
Maryland,2007,80,389,469,38,129,167,0,0,0,118,518,636
Maryland,2008,35,423,458,9,121,130,NA,NA,NA,44,544,588
Maryland,2009,25,378,403,7,155,162,NA,NA,NA,32,533,565
Maryland,2010,51,510,561,13,148,161,NA,NA,NA,64,658,722
Maryland,2011,NA,NA,NA,15,30,45,45,482,527,60,512,572
Maryland,2012,30,339,369,13,103,116,NA,NA,NA,43,442,485
Maryland,2013,30,339,369,13,103,116,NA,NA,NA,43,442,485
Maryland,2014,25,328,353,7,79,86,NA,NA,NA,32,407,439
Maryland,2015,13,222,235,6,169,175,NA,NA,NA,19,391,410
Maryland,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
