state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Kentucky,2016,3425666,2792106,4436974,2257420,2179554,1763045,1662621,1410850,1381256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2015,3415817,2792936,4425092,2246706,2178386,1753718,1662099,1402011,1390925,6,48,54,0,7,7,1,4,5,7,59,66
Kentucky,2014,3399427,2801983,4413457,2233621,2179836,1745872,1653555,1409035,1392948,0,0,0,1,6,7,6,74,80,7,80,87
Kentucky,2013,3384076,2800393,4395295,2232200,2163095,1738344,1645732,1407381,1393012,6,68,74,0,4,4,0,0,0,6,72,78
Kentucky,2012,3364861,2803410,4380415,2225586,2154829,1731481,1633380,1409665,1393745,6,28,34,2,10,12,0,45,45,8,83,91
Kentucky,2011,3347482,2797635,4369356,2223648,2145708,1723771,1623711,1406533,1391102,2,14,16,2,8,10,1,35,36,5,57,62
Kentucky,2010,3328494,2787617,4346266,2207080,2139186,1715175,1613319,1403742,1383875,8,61,69,1,17,18,0,0,0,9,78,87
Kentucky,2009,3296134,2761750,4314113,2201670,2112443,1703275,1592859,1392226,1369524,9,75,84,0,6,6,0,0,0,9,81,90
Kentucky,2008,3264786,2743445,4269245,2182463,2086782,1687215,1577571,1386040,1357405,11,100,111,2,18,20,0,0,0,13,118,131
Kentucky,2007,3224873,2718786,4241474,2166059,2075415,1674750,1550123,1376157,1342629,9,79,88,0,15,15,NA,NA,NA,9,94,103
Kentucky,2006,3215998,2716606,4206074,2147910,2058164,1661794,1554204,1368264,1348342,NA,NA,NA,NA,NA,13,NA,NA,91,21,83,104
Kentucky,2005,3089485,2627495,4065635,2077708,1987927,1602611,1486874,1334689,1292806,NA,NA,NA,2,10,12,11,60,71,13,70,83
Kentucky,2004,3057341,2603381,4031134,2068573,1962561,1590904,1466437,1326755,1276626,NA,NA,21,NA,NA,53,NA,NA,NA,6,68,74
Kentucky,2003,3013737,2565499,4003036,2046711,1956325,1568461,1445276,1305839,1259660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2002,3049835,2606380,3978103,2043188,1934915,1594560,1455275,1335326,1271054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,2001,2956198,2509806,3950704,2029683,1921021,1542861,1413337,1281351,1228455,5,91,96,0,9,9,0,0,0,5,100,105
Kentucky,2000,2940381,2509732,3922149,2022654,1899495,1539550,1400831,1275233,1234499,NA,NA,92,NA,NA,11,NA,NA,21,13,111,124
Kentucky,1999,2918241.3,2487399.5,3896673.6,2008901.7,1887771.9,1528115,1390126.3,1264040.2,1223359.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122
Kentucky,1998,2896101.6,2465067,3871198.2,1995149.4,1876048.8,1516680,1379421.6,1252847.4,1212219.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
Kentucky,1997,2873961.9,2442734.5,3845722.8,1981397.1,1864325.7,1505245,1368716.9,1241654.6,1201079.9,NA,NA,27,NA,NA,11,NA,NA,17,5,50,55
Kentucky,1996,2851822.2,2420402,3820247.4,1967644.8,1852602.6,1493810,1358012.2,1230461.8,1189940.2,NA,NA,36,NA,NA,6,NA,NA,13,3,52,55
Kentucky,1995,2829682.5,2398069.5,3794772,1953892.5,1840879.5,1482375,1347307.5,1219269,1178800.5,NA,NA,29,NA,NA,12,NA,NA,0,1,40,41
Kentucky,1994,2807542.8,2375737,3769296.6,1940140.2,1829156.4,1470940,1336602.8,1208076.2,1167660.8,NA,NA,26,NA,NA,18,NA,NA,NA,1,43,44
Kentucky,1993,2785403.1,2353404.5,3743821.2,1926387.9,1817433.3,1459505,1325898.1,1196883.4,1156521.1,NA,NA,37,NA,NA,5,NA,NA,NA,2,40,42
Kentucky,1992,2763263.4,2331072,3718345.8,1912635.6,1805710.2,1448070,1315193.4,1185690.6,1145381.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
Kentucky,1991,2741123.7,2308739.5,3692870.4,1898883.3,1793987.1,1436635,1304488.7,1174497.8,1134241.7,NA,NA,25,NA,NA,2,NA,NA,0,NA,NA,27
