state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Minnesota,1998,NA,NA,NA,NA,NA,NA
Minnesota,1999,NA,NA,NA,NA,NA,NA
Minnesota,2e3,NA,NA,NA,8,16,24
Minnesota,2001,NA,NA,NA,1,13,14
Minnesota,2002,7,143,150,1,13,14
Minnesota,2003,8,216,224,2,18,20
Minnesota,2004,12,397,409,1,21,22
Minnesota,2005,7,331,338,0,16,16
Minnesota,2006,10,294,304,0,11,11
Minnesota,2007,9,275,284,0,10,10
Minnesota,2008,9,302,311,0,13,13
Minnesota,2009,17,452,469,2,11,13
Minnesota,2010,10,505,515,3,29,32
Minnesota,2011,11,551,562,0,5,5
Minnesota,2012,10,545,555,0,7,7
Minnesota,2013,14,517,531,0,13,13
Minnesota,2014,35,599,634,0,10,10
Minnesota,2015,14,458,472,0,10,10
Minnesota,2016,9,417,426,0,8,8
