state,year,population,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
State Prison Total,2016,323127515,1297,42320,43617,33,923,956
State Prison Total,2016,1292510060,1297,42320,43617,33,923,956
State Prison Total,2016,1292510060,1297,42320,43617,33,923,956
State Prison Total,2015,321418821,1265,42363,43628,33,960,993
State Prison Total,2015,1285675284,1265,42363,43628,33,960,993
State Prison Total,2015,1285675284,1265,42363,43628,33,960,993
State Prison Total,2014,318857056,1407,42898,44305,30,1005,1035
State Prison Total,2014,1275428224,1407,42898,44305,30,1005,1035
State Prison Total,2014,1275428224,1407,42898,44305,30,1005,1035
State Prison Total,2013,316128839,1468,46393,47861,48,1140,1188
State Prison Total,2013,1264515356,1468,46393,47861,48,1140,1188
State Prison Total,2013,1264515356,1468,46393,47861,48,1140,1188
State Prison Total,2012,313914040,1826,62107,63933,49,1276,1325
State Prison Total,2012,1255656160,1826,62107,63933,49,1276,1325
State Prison Total,2012,1255656160,1826,62107,63933,49,1276,1325
State Prison Total,2011,311591919,2276,69989,72265,68,1722,1790
State Prison Total,2011,1246367676,2276,69989,72265,68,1722,1790
State Prison Total,2011,1246367676,2276,69989,72265,68,1722,1790
State Prison Total,2010,309349689,1826,62768,64594,78,2217,2295
State Prison Total,2010,1237398756,1826,62768,64594,78,2217,2295
State Prison Total,2010,1237398756,1826,62768,64594,78,2217,2295
State Prison Total,2009,307006556,1882,62031,63913,98,2645,2743
State Prison Total,2009,1228026224,1882,62031,63913,98,2645,2743
State Prison Total,2009,1228026224,1882,62031,63913,98,2645,2743
State Prison Total,2008,304059728,1849,60063,61912,91,2626,2717
State Prison Total,2008,1216238912,1849,60063,61912,91,2626,2717
State Prison Total,2008,1216238912,1849,60063,61912,91,2626,2717
State Prison Total,2007,301621159,1448,54318,55766,91,2192,2283
State Prison Total,2007,1206484636,1448,54318,55766,91,2192,2283
State Prison Total,2007,1206484636,1448,54318,55766,91,2192,2283
State Prison Total,2006,299398485,1555,55797,57352,105,2259,2364
State Prison Total,2006,1197593940,1555,55797,57352,105,2259,2364
State Prison Total,2006,1197593940,1555,55797,57352,105,2259,2364
State Prison Total,2005,288398819,1409,54423,55832,90,2118,2208
State Prison Total,2005,1153595276,1409,54423,55832,90,2118,2208
State Prison Total,2005,1153595276,1409,54423,55832,90,2118,2208
State Prison Total,2004,285674993,1560,55807,57367,108,2369,2477
State Prison Total,2004,1142699972,1560,55807,57367,108,2369,2477
State Prison Total,2004,1142699972,1560,55807,57367,108,2369,2477
State Prison Total,2003,283051379,1501,54611,56112,113,2627,2740
State Prison Total,2003,1132205516,1501,54611,56112,113,2627,2740
State Prison Total,2003,1132205516,1501,54611,56112,113,2627,2740
State Prison Total,2002,280717370,1498,53306,54804,111,2927,3038
State Prison Total,2002,1122869480,1498,53306,54804,111,2927,3038
State Prison Total,2002,1122869480,1498,53306,54804,111,2927,3038
State Prison Total,2001,277075792,1465,52566,54031,137,2992,3129
State Prison Total,2001,1108303168,1465,52566,54031,137,2992,3129
State Prison Total,2001,1108303168,1465,52566,54031,137,2992,3129
State Prison Total,2e3,281421906,1380,52206,53586,175,3717,3892
State Prison Total,2e3,1125687624,1380,52206,53586,175,3717,3892
State Prison Total,2e3,1125687624,1380,52206,53586,175,3717,3892
State Prison Total,1999,278090478.2,1606,53440,55046,NA,NA,NA
State Prison Total,1999,1112361912.8,1606,53440,55046,NA,NA,NA
State Prison Total,1999,1112361912.8,1606,53440,55046,NA,NA,NA
State Prison Total,1998,274759050.4,1329,48088,49417,NA,NA,NA
State Prison Total,1998,1099036201.6,1329,48088,49417,NA,NA,NA
State Prison Total,1998,1099036201.6,1329,48088,49417,NA,NA,NA
