state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Oregon,2016,3227513,2595600,4093465,2060907,2032558,1645267,1582246,1298787,1296813,1253,13744,14997,NA,NA,NA,NA,NA,NA
Oregon,2015,3168517,2557992,4028977,2037692,1991285,1617428,1551089,1285380,1272612,1253,13744,14997,NA,NA,NA,NA,NA,NA
Oregon,2014,3111019,2525972,3970239,2008834,1961405,1590387,1520632,1270617,1255355,1253,13744,14997,NA,NA,NA,NA,NA,NA
Oregon,2013,3071614,2516056,3930065,1984979,1945086,1566023,1505591,1261178,1254878,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2012,3039087,2511144,3899353,1961714,1937639,1548910,1490177,1256387,1254757,1683,12679,14362,NA,NA,NA,NA,NA,NA
Oregon,2011,3011055,2498166,3871859,1956121,1915738,1536143,1474912,1251317,1246849,1683,12679,14362,NA,NA,NA,NA,NA,NA
Oregon,2010,2973400,2476140,3838957,1935332,1903625,1518512,1454888,1241550,1234590,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2009,2952353,2471936,3825657,1929037,1896620,1504114,1448239,1235774,1236162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2008,2915435,2452617,3790060,1905321,1884739,1479831,1435604,1220502,1232115,1132,13221,14353,1132,13221,14353,NA,NA,NA
Oregon,2007,2886599,2429736,3747455,1891125,1856330,1470548,1416051,1212421,1217315,992,12196,13188,992,12196,13188,NA,NA,NA
Oregon,2006,2842900,2399676,3700758,1866650,1834108,1449258,1393642,1197922,1201754,992,12196,13188,992,12196,13188,NA,NA,NA
Oregon,2005,2717351,2294969,3560922,1794779,1766143,1383677,1333674,1146315,1148654,831,11815,12646,831,11815,12646,NA,NA,NA
Oregon,2004,2665461,2246180,3506284,1757704,1748580,1355132,1310329,1116558,1129622,831,11415,12246,831,11415,12246,NA,NA,NA
Oregon,2003,2645505,2230439,3488398,1774041,1714357,1356856,1288649,1121244,1109195,831,11415,12246,831,11415,12246,NA,NA,NA
Oregon,2002,2582718,2187726,3434797,1730784,1704013,1320157,1262561,1095676,1092050,715,10841,11556,715,10841,11556,NA,NA,NA
Oregon,2001,2537863,2137881,3387279,1705949,1681330,1286254,1251609,1059543,1078338,687,10321,11008,687,10611,11298,NA,NA,NA
Oregon,2000,2501752,2106875,3355436,1719937,1635499,1293188,1208564,1056237,1050638,NA,NA,NA,581,9551,10132,NA,NA,NA
Oregon,1999,2462811.8,2071120.5,3303174.3,1692477.2,1610697.1,1272948.2,1189863.6,1038491.9,1032628.6,NA,NA,NA,581,8969,9550,NA,NA,NA
Oregon,1998,2423871.6,2035366,3250912.6,1665017.4,1585895.2,1252708.4,1171163.2,1020746.8,1014619.2,NA,NA,NA,NA,NA,8646,NA,NA,NA
Oregon,1997,2384931.4,1999611.5,3198650.9,1637557.6,1561093.3,1232468.6,1152462.8,1003001.7,996609.8,NA,NA,NA,NA,NA,7548,NA,NA,NA
Oregon,1996,2345991.2,1963857,3146389.2,1610097.8,1536291.4,1212228.8,1133762.4,985256.6,978600.4,NA,NA,NA,NA,NA,7202,NA,NA,NA
Oregon,1995,2307051,1928102.5,3094127.5,1582638,1511489.5,1191989,1115062,967511.5,960591,NA,NA,NA,NA,NA,7202,NA,NA,NA
Oregon,1994,2268110.8,1892348,3041865.8,1555178.2,1486687.6,1171749.2,1096361.6,949766.4,942581.6,NA,NA,NA,NA,NA,6517,NA,NA,NA
Oregon,1993,2229170.6,1856593.5,2989604.1,1527718.4,1461885.7,1151509.4,1077661.2,932021.3,924572.2,NA,NA,NA,NA,NA,6517,NA,NA,NA
Oregon,1992,2190230.4,1820839,2937342.4,1500258.6,1437083.8,1131269.6,1058960.8,914276.2,906562.8,NA,NA,NA,NA,NA,6557,NA,NA,NA
Oregon,1991,2151290.2,1785084.5,2885080.7,1472798.8,1412281.9,1111029.8,1040260.4,896531.1,888553.4,NA,NA,NA,NA,NA,6690,NA,NA,NA
Oregon,1990,2112350,1749330,2832819,1445339,1387480,1090790,1021560,878786,870544,NA,NA,NA,NA,NA,6170,NA,NA,NA
Oregon,1989,2091977,1736937,2813499.1,1435185.1,1378314,1080433,1011544,873293.4,863643.6,NA,NA,NA,NA,NA,5493,NA,NA,5167
Oregon,1988,2071604,1724544,2794179.2,1425031.2,1369148,1070076,1001528,867800.8,856743.2,NA,NA,2746,NA,NA,4722,NA,NA,4077
Oregon,1987,2051231,1712151,2774859.3,1414877.3,1359982,1059719,991512,862308.2,849842.8,NA,NA,2815,NA,NA,4309,NA,NA,4201
Oregon,1986,2030858,1699758,2755539.4,1404723.4,1350816,1049362,981496,856815.6,842942.4,NA,NA,2815,NA,NA,4057,NA,NA,NA
Oregon,1985,2010485,1687365,2736219.5,1394569.5,1341650,1039005,971480,851323,836042,NA,NA,2739,NA,NA,3688,NA,NA,2459
Oregon,1984,1990112,1674972,2716899.6,1384415.6,1332484,1028648,961464,845830.4,829141.6,NA,NA,2699,NA,NA,3510,NA,NA,2333
Oregon,1983,1969739,1662579,2697579.7,1374261.7,1323318,1018291,951448,840337.8,822241.2,NA,NA,2699,NA,NA,3494,NA,NA,2333
