state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Iowa,1998,NA,NA,NA,NA,NA,NA
Iowa,1999,NA,NA,NA,NA,NA,NA
Iowa,2e3,NA,NA,NA,0,28,28
Iowa,2001,NA,NA,NA,1,18,19
Iowa,2002,NA,NA,NA,1,12,13
Iowa,2003,NA,NA,NA,3,15,18
Iowa,2004,NA,NA,NA,1,11,12
Iowa,2005,7,162,169,0,15,15
Iowa,2006,3,186,189,0,17,17
Iowa,2007,5,195,200,0,15,15
Iowa,2008,3,183,186,0,16,16
Iowa,2009,3,148,151,0,13,13
Iowa,2010,4,175,179,0,13,13
Iowa,2011,6,298,304,1,12,13
Iowa,2012,6,257,263,0,8,8
Iowa,2013,3,227,230,0,15,15
Iowa,2014,2,150,152,1,4,5
Iowa,2015,3,183,186,0,5,5
Iowa,2016,4,132,136,0,7,7
