state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Arkansas,2016,2282468,1831610,2988248,1517509,1470739,1177218,1105250,925184,906426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2015,2271414,1827973,2978204,1517455,1460749,1174261,1097153,926094,901879,5,81,86,1,41,42,0,0,0,6,122,128
Arkansas,2014,2259516,1825937,2966369,1512141,1454228,1166047,1093469,923302,902635,3,79,82,2,36,38,0,0,0,5,115,120
Arkansas,2013,2249166,1831045,2959373,1498176,1461197,1158142,1091024,924608,906437,10,71,81,3,31,34,0,0,0,13,102,115
Arkansas,2012,2238946,1828899,2949131,1501450,1447681,1156973,1081973,923513,905386,5,62,67,3,35,38,NA,NA,NA,8,97,105
Arkansas,2011,2226659,1824848,2937979,1484798,1453181,1144173,1082486,917622,907226,2,60,62,3,45,48,0,0,0,5,105,110
Arkansas,2010,2212082,1817710,2921606,1490353,1431253,1140908,1071174,919210,898500,4,80,84,3,41,44,0,0,0,7,121,128
Arkansas,2009,2181681,1793355,2889450,1478480,1410970,1130711,1050970,907891,885464,6,60,66,5,41,46,0,0,0,11,101,112
Arkansas,2008,2156214,1773950,2855390,1456831,1398559,1111613,1044601,891985,881965,9,69,78,3,37,40,0,0,0,12,106,118
Arkansas,2007,2135054,1760542,2834797,1447346,1387451,1106521,1028533,891266,869276,NA,NA,80,NA,NA,41,NA,NA,NA,11,110,121
Arkansas,2006,2118675,1751944,2810872,1433812,1377060,1098641,1020034,883108,868836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Arkansas,2005,2025759,169e4,2694665,1373735,1320930,1049419,976340,854863,835137,9,61,70,0,24,24,0,0,0,9,85,94
Arkansas,2004,2001494,1667193,2668372,1362433,1305939,1039884,961610,847438,819755,5,65,70,0,13,13,1,18,19,6,96,102
Arkansas,2003,1975063,1635204,2650703,1357688,1293015,1027216,947847,833607,801597,8,48,56,2,21,23,2,13,15,12,82,94
Arkansas,2002,1961923,1631366,2638797,1355424,1283373,1031555,930368,838552,792814,5,54,59,3,17,20,3,18,21,11,89,100
Arkansas,2001,1930416,1598218,2618888,1350372,1268516,1007703,922713,814512,783706,5,47,52,3,20,23,1,32,33,9,99,108
Arkansas,2000,1891385,1566855,2581195,1322703,1258492,986023,905362,803352,763503,3,49,52,2,26,28,2,19,21,7,94,101
Arkansas,1999,1874918.9,1550333.2,2557496,1311410.4,1246085.6,978665.9,896253,795054.6,755278.6,1,54,55,1,22,23,0,21,21,2,97,99
Arkansas,1998,1858452.8,1533811.4,2533797,1300117.8,1233679.2,971308.8,887144,786757.2,747054.2,0,40,40,0,19,19,0,35,35,0,94,94
Arkansas,1997,1841986.7,1517289.6,2510098,1288825.2,1221272.8,963951.7,878035,778459.8,738829.8,NA,NA,46,NA,NA,14,NA,NA,26,5,81,86
Arkansas,1996,1825520.6,1500767.8,2486399,1277532.6,1208866.4,956594.6,868926,770162.4,730605.4,NA,NA,20,NA,NA,20,NA,NA,37,5,72,77
Arkansas,1995,1809054.5,1484246,2462700,1266240,1196460,949237.5,859817,761865,722381,NA,NA,40,NA,NA,23,NA,NA,20,4,79,83
Arkansas,1994,1792588.4,1467724.2,2439001,1254947.4,1184053.6,941880.4,850708,753567.6,714156.6,NA,NA,37,NA,NA,29,NA,NA,15,2,79,81
Arkansas,1993,1776122.3,1451202.4,2415302,1243654.8,1171647.2,934523.3,841599,745270.2,705932.2,NA,NA,17,NA,NA,29,NA,NA,34,3,77,80
Arkansas,1992,1759656.2,1434680.6,2391603,1232362.2,1159240.8,927166.2,832490,736972.8,697707.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
Arkansas,1991,1743190.1,1418158.8,2367904,1221069.6,1146834.4,919809.1,823381,728675.4,689483.4,NA,NA,59,NA,NA,4,NA,NA,5,NA,NA,68
