state,year,population,population_adult,population_adult_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
District of Columbia,2016,681170,560717,486873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2015,672228,554182,485241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2014,658893,544698,475459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2013,646449,534956,466773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2012,632323,522969,456589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2011,617996,512925,449204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2010,604453,503673,438416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2009,599657,486030,421039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2008,591833,479848,414039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,588292,474261,408986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2006,581530,469505,402006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2005,508572,394069,336281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2004,518074,409773,351029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2003,528759,421268,361795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2002,535632,424834,363847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2001,536260,422830,363437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2000,523809,418674,355440,356,5771,295,2047,2342,61,3724,3785,47,1341,1388,61,3724,3785
District of Columbia,1999,532415,426021.3999999998,362008.1999999999,276,8376,201,3823,4024,75,4553,4628,46,1146,1192,75,4553,4628
District of Columbia,1998,541020,433368.7999999998,368576.3999999999,NA,NA,NA,NA,NA,NA,NA,NA,35,228,263,287,6721,7008
District of Columbia,1997,549626,440716.19999999984,375144.5999999999,NA,NA,NA,NA,NA,NA,NA,NA,57,261,318,397,6651,7048
District of Columbia,1996,558232,448063.59999999986,381712.79999999993,NA,NA,NA,NA,NA,NA,NA,NA,66,351,417,454,8365,8819
District of Columbia,1995,566838,455410.9999999999,388280.99999999994,NA,NA,NA,NA,NA,NA,NA,NA,71,373,444,487,8790,9277
District of Columbia,1994,575443,462758.3999999999,394849.19999999995,NA,NA,NA,NA,NA,NA,NA,NA,101,416,517,680,9917,10597
District of Columbia,1993,584049,470105.79999999993,401417.39999999997,NA,NA,NA,NA,NA,NA,NA,NA,86,1181,1267,497,9845,10342
District of Columbia,1992,592655,477453.19999999995,407985.6,NA,NA,NA,NA,NA,NA,NA,NA,232,1506,1738,578,9665,10243
District of Columbia,1991,601260,484800.6,414553.8,NA,NA,NA,NA,NA,NA,NA,NA,195,1627,1822,521,8082,8603
District of Columbia,1990,609866,492148,421122,NA,NA,NA,NA,NA,NA,NA,NA,173,1610,1783,529,8108,8637
District of Columbia,1989,613011,492303.1999999999,421491.8000000001,NA,NA,NA,NA,NA,NA,NA,NA,175,1588,1763,588,8630,9218
District of Columbia,1988,616157,492458.3999999999,421861.6000000001,NA,NA,NA,NA,NA,NA,NA,NA,163,1484,1647,372,8009,8381
District of Columbia,1987,619302,492613.5999999999,422231.4000000001,NA,NA,NA,NA,NA,NA,NA,NA,98,1034,1132,350,7295,7645
District of Columbia,1986,622448,492768.79999999993,422601.20000000007,NA,NA,NA,NA,NA,NA,NA,NA,116,1031,1147,228,6369,6597
District of Columbia,1985,625593,492923.99999999994,422971.00000000006,NA,NA,NA,NA,NA,NA,NA,NA,116,1125,1241,228,6176,6404
District of Columbia,1984,628738,493079.19999999995,423340.80000000005,NA,NA,NA,NA,NA,NA,NA,NA,69,101,170,206,4315,4521
District of Columbia,1983,631884,493234.39999999997,423710.60000000003,NA,NA,NA,NA,NA,NA,NA,NA,56,63,119,227,4117,4344
District of Columbia,1982,635029,493389.6,424080.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,4081
District of Columbia,1981,638175,493544.8,424450.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,3479
District of Columbia,1980,641320,493700,424820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,3145
District of Columbia,1979,652608,497380,429038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,2973
District of Columbia,1978,663896,501060,433256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,2864
