state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Hawaii,2016,1121758,896686,1428557,709046,719511,561907,559851,436865,459821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2015,1119532,900769,1431603,709902,721701,554442,565090,433594,467175,2,6,8,NA,NA,NA,3,7,10,5,13,18
Hawaii,2014,1112169,902764,1419561,703657,715904,553477,558692,433942,468822,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,14
Hawaii,2013,1097385,893685,1404054,694578,709476,546085,551300,432692,460993,NA,NA,NA,NA,NA,NA,1,15,16,1,15,16
Hawaii,2012,1090738,895103,1392313,687795,704518,543414,547324,434717,460386,1,12,13,NA,NA,NA,NA,NA,NA,1,12,13
Hawaii,2011,1070445,881517,1374810,687674,687136,538404,532041,432737,448780,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,21
Hawaii,2010,1061148,877239,1363621,680003,683618,533142,528006,430732,446507,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,18
Hawaii,2009,1007001,831136,1295178,637932,657246,500861,506140,399645,431491,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,24
Hawaii,2008,1002360,824737,1288198,638663,649535,500434,501926,399032,425705,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,23
Hawaii,2007,1003521,833325,1283388,637636,645752,502493,501028,406056,427269,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,26
Hawaii,2006,986139,816614,1285498,641788,643710,499935,486204,402829,413785,0,0,0,0,2,2,3,10,13,3,12,15
Hawaii,2005,948756,785155,1258528,639622,618906,490860,457896,394120,391035,0,0,0,0,2,2,0,21,21,0,23,23
Hawaii,2004,930178,767908,1227008,620276,606732,477513,452665,382957,384951,3,4,7,0,2,2,0,6,6,3,12,15
Hawaii,2003,926971,772541,1221885,614713,607172,471135,455836,384857,387684,3,7,10,0,4,4,0,13,13,3,24,27
Hawaii,2002,915388,762887,1208537,609679,598858,466965,448423,381232,381655,0,16,16,1,0,1,0,5,5,1,21,22
Hawaii,2001,886445,737459,1188615,597621,590994,450505,435940,367137,370322,0,13,13,0,0,0,0,0,0,0,13,13
Hawaii,2000,890920,746577,1198101,590966,607135,449071,441849,369583,376994,0,17,17,0,1,1,0,1,1,0,19,19
Hawaii,1999,884337,742969.3,1188757.7,585938,602819.7,444861.6,439475.4,367317.3,375652,0,21,21,0,7,7,0,2,2,0,30,30
Hawaii,1998,877754,739361.6,1179414.4,580910,598504.4,440652.2,437101.8,365051.6,374310,1,17,18,0,2,2,0,0,0,1,19,20
Hawaii,1997,871171,735753.9,1170071.1,575882,594189.1,436442.8,434728.2,362785.9,372968,NA,NA,3,NA,NA,4,NA,NA,9,0,16,16
Hawaii,1996,864588,732146.2,1160727.8,570854,589873.8,432233.4,432354.6,360520.2,371626,NA,NA,17,NA,NA,2,NA,NA,4,0,23,23
Hawaii,1995,858005,728538.5,1151384.5,565826,585558.5,428024,429981,358254.5,370284,NA,NA,11,NA,NA,1,NA,NA,0,0,12,12
Hawaii,1994,851422,724930.8,1142041.2,560798,581243.2,423814.6,427607.4,355988.8,368942,NA,NA,10,NA,NA,1,NA,NA,3,0,14,14
Hawaii,1993,844839,721323.1,1132697.9,555770,576927.9,419605.2,425233.8,353723.1,367600,NA,NA,17,NA,NA,2,NA,NA,2,2,19,21
Hawaii,1992,838256,717715.4,1123354.6,550742,572612.6,415395.8,422860.2,351457.4,366258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
Hawaii,1991,831673,714107.7,1114011.3,545714,568297.3,411186.4,420486.6,349191.7,364916,NA,NA,17,NA,NA,1,NA,NA,1,NA,NA,19
