state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Oregon,2016,3227513,2595600,4093465,2060907,2032558,1645267,1582246,1298787,1296813,0,0,0,0,0,0
Oregon,2015,3168517,2557992,4028977,2037692,1991285,1617428,1551089,1285380,1272612,0,0,0,0,0,0
Oregon,2014,3111019,2525972,3970239,2008834,1961405,1590387,1520632,1270617,1255355,0,0,0,0,0,0
Oregon,2013,3071614,2516056,3930065,1984979,1945086,1566023,1505591,1261178,1254878,25,1138,1163,0,0,0
Oregon,2012,3039087,2511144,3899353,1961714,1937639,1548910,1490177,1256387,1254757,21,1212,1233,0,0,0
Oregon,2011,3011055,2498166,3871859,1956121,1915738,1536143,1474912,1251317,1246849,50,1615,1665,0,1,1
Oregon,2010,2973400,2476140,3838957,1935332,1903625,1518512,1454888,1241550,1234590,74,1678,1752,2,6,8
Oregon,2009,2952353,2471936,3825657,1929037,1896620,1504114,1448239,1235774,1236162,79,1625,1704,4,9,13
Oregon,2008,2915435,2452617,3790060,1905321,1884739,1479831,1435604,1220502,1232115,103,1643,1746,0,8,8
Oregon,2007,2886599,2429736,3747455,1891125,1856330,1470548,1416051,1212421,1217315,NA,NA,NA,NA,NA,NA
Oregon,2006,2842900,2399676,3700758,1866650,1834108,1449258,1393642,1197922,1201754,48,1244,1292,0,6,6
Oregon,2005,2717351,2294969,3560922,1794779,1766143,1383677,1333674,1146315,1148654,31,846,877,0,6,6
Oregon,2004,2665461,2246180,3506284,1757704,1748580,1355132,1310329,1116558,1129622,13,715,728,0,6,6
Oregon,2003,2645505,2230439,3488398,1774041,1714357,1356856,1288649,1121244,1109195,15,666,681,0,6,6
Oregon,2002,2582718,2187726,3434797,1730784,1704013,1320157,1262561,1095676,1092050,6,478,484,1,23,24
Oregon,2001,2537863,2137881,3387279,1705949,1681330,1286254,1251609,1059543,1078338,1,420,421,0,11,11
Oregon,2000,2501752,2106875,3355436,1719937,1635499,1293188,1208564,1056237,1050638,2,360,362,0,14,14
