state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
New Hampshire,1998,5,37,42,NA,NA,NA
New Hampshire,1999,5,36,41,NA,NA,NA
New Hampshire,2e3,9,35,44,0,0,0
New Hampshire,2001,2,31,33,2,2,4
New Hampshire,2002,4,28,32,0,2,2
New Hampshire,2003,6,34,40,0,2,2
New Hampshire,2004,4,46,50,0,1,1
New Hampshire,2005,4,51,55,0,1,1
New Hampshire,2006,4,51,55,1,0,1
New Hampshire,2007,3,49,52,0,0,0
New Hampshire,2008,NA,NA,NA,0,0,0
New Hampshire,2009,3,79,82,0,0,0
New Hampshire,2010,2,65,67,0,0,0
New Hampshire,2011,4,68,72,0,0,0
New Hampshire,2012,8,110,118,0,0,0
New Hampshire,2013,8,110,118,0,0,0
New Hampshire,2014,6,90,96,0,0,0
New Hampshire,2015,8,125,133,0,0,0
New Hampshire,2016,0,0,0,0,0,0
