state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
State prison total,1978,NA,NA,NA,156,6618,6774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,3081,3459,10918,266555,277473
State prison total,1979,NA,NA,NA,179,6318,6497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,3472,3764,11459,276627,288086
State prison total,1980,NA,NA,NA,131,6229,6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,3313,3686,12021,293437,305458
State prison total,1981,NA,NA,NA,207,6693,6900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,3729,4088,13978,327819,341797
State prison total,1982,NA,NA,NA,339,8350,8689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,3878,4256,16158,367975,384133
State prison total,1983,NA,NA,NA,442,8692,9134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,3370,3865,17266,387663,404929
State prison total,1984,NA,NA,NA,622,10872,11494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,3830,4323,18798,408941,427739
State prison total,1985,NA,NA,NA,576,9714,10290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721,5290,6011,20744,441540,462284
State prison total,1986,NA,NA,NA,609,11423,12032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,5563,6257,23698,476866,500564
State prison total,1987,NA,NA,NA,583,11778,12361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817,6284,7101,26096,510688,536784
State prison total,1988,NA,NA,NA,665,13543,14208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,7551,8582,29362,548310,577672
State prison total,1989,NA,NA,NA,982,16171,17153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,8163,9325,36177,617016,653193
State prison total,1990,NA,NA,NA,1160,15588,16748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264,8207,9471,39068,669325,708393
State prison total,1991,NA,NA,NA,1158,17146,18304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321,8424,9745,41997,711954,753951
State prison total,1992,NA,NA,NA,1419,17009,18428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1476,8974,10450,44008,758233,802241
State prison total,1993,NA,NA,NA,1665,51051,52716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413,9091,10504,51366,828348,879714
State prison total,1994,NA,NA,NA,5098,40520,45618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532,10142,11674,57256,902412,959668
State prison total,1995,NA,NA,NA,2028,25830,27858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492,10645,12137,61070,964554,1025624
State prison total,1996,NA,NA,NA,2168,28573,30741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,10177,11641,67110,1009265,1076375
State prison total,1997,NA,NA,NA,1552,23971,25523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,10271,11735,70885,1056801,1127686
State prison total,1998,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,10209,11611,75695,1108418,1184113
