state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Wisconsin,1998,NA,NA,NA,NA,NA,NA
Wisconsin,1999,NA,NA,NA,NA,NA,NA
Wisconsin,2e3,NA,NA,NA,8,88,96
Wisconsin,2001,NA,NA,NA,7,85,92
Wisconsin,2002,NA,NA,NA,5,82,87
Wisconsin,2003,NA,NA,NA,5,75,80
Wisconsin,2004,NA,NA,NA,4,59,63
Wisconsin,2005,NA,NA,NA,2,64,66
Wisconsin,2006,NA,NA,NA,3,50,53
Wisconsin,2007,NA,NA,NA,5,49,54
Wisconsin,2008,NA,NA,NA,7,40,47
Wisconsin,2009,NA,NA,NA,0,37,37
Wisconsin,2010,0,0,0,1,29,30
Wisconsin,2011,0,0,0,1,27,28
Wisconsin,2012,12,601,613,0,13,13
Wisconsin,2013,8,496,504,1,26,27
Wisconsin,2014,10,490,500,1,17,18
Wisconsin,2015,13,459,472,3,34,37
Wisconsin,2016,13,438,451,4,33,37
