state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Minnesota,2016,4236521,3467457,5519952,2776831,2743121,2151984,2084537,1727847,1739610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2015,4208742,3468203,5489594,2759489,2730105,2135853,2072889,1725528,1742675,5,37,42,1,5,6,0,0,0,6,42,48
Minnesota,2014,4181144,3463225,5457173,2750651,2706522,2124581,2056563,1723920,1739305,4,46,50,0,17,17,0,1,1,4,64,68
Minnesota,2013,4146028,3445541,5420380,2747152,2673228,2113374,2032654,1723353,1722188,7,93,100,0,2,2,0,0,0,7,95,102
Minnesota,2012,4104420,3437697,5379139,2706619,2672520,2084198,2020222,1707174,1730523,7,40,47,0,23,23,0,0,0,7,63,70
Minnesota,2011,4065715,3410073,5344861,2692488,2652373,2070032,1995683,1697111,1712962,3,27,30,0,20,20,0,0,0,3,47,50
Minnesota,2010,4027588,3389211,5310584,2672794,2637790,2050291,1977297,1688395,1700816,1,26,27,3,17,20,0,0,0,4,43,47
Minnesota,2009,4008244,3382159,5266215,2657192,2609023,2039761,1968483,1682770,1699389,1,29,30,2,16,18,0,0,0,3,45,48
Minnesota,2008,3966043,3368484,5220393,2624060,2596333,2003426,1962617,1657378,1711106,1,25,26,2,16,18,0,0,0,3,41,44
Minnesota,2007,3936036,3343268,5197621,2608076,2589545,1994521,1941515,1653199,1690069,3,24,27,0,18,18,0,0,0,3,42,45
Minnesota,2006,3915729,3324271,5167101,2598805,2568296,1987674,1928055,1646345,1677926,0,27,27,1,19,20,0,0,0,1,46,47
Minnesota,2005,3732482,3197058,4969152,2501040,2468112,1897309,1835173,1593986,1603072,0,20,20,1,20,21,0,0,0,1,40,41
Minnesota,2004,3722060,3185624,4958748,2498800,2459948,1897193,1824867,1593933,1591691,2,24,26,0,18,18,0,0,0,2,42,44
Minnesota,2003,3677177,3148010,4919584,2484582,2435002,1874367,1802810,1571511,1576499,0,29,29,0,11,11,0,0,0,0,40,40
Minnesota,2002,3634196,3111914,4882303,2459611,2422692,1855568,1778628,1556887,1555027,0,33,33,0,4,4,NA,NA,NA,0,37,37
Minnesota,2001,3637692,3120740,4836367,2443178,2393189,1858524,1779168,1561798,1558942,4,28,32,0,1,1,0,0,0,4,29,33
Minnesota,2000,3549788,3025178,4850802,2438317,2412485,1798963,1750825,1495249,1529929,4,36,40,0,2,2,0,0,0,4,38,42
Minnesota,1999,3515225.1,2992208.2,4802378.6,2416758.9,2385619.7,1784918,1730307.1,1480958.7,1511249.5,2,28,30,0,2,2,0,0,0,2,30,32
Minnesota,1998,3480662.2,2959238.4,4753955.2,2395200.8,2358754.4,1770873,1709789.2,1466668.4,1492570,0,24,24,0,2,2,0,0,0,0,26,26
Minnesota,1997,3446099.3,2926268.6,4705531.8,2373642.7,2331889.1,1756828,1689271.3,1452378.1,1473890.5,NA,NA,26,NA,NA,5,NA,NA,0,0,31,31
Minnesota,1996,3411536.4,2893298.8,4657108.4,2352084.6,2305023.8,1742783,1668753.4,1438087.8,1455211,NA,NA,9,NA,NA,8,NA,NA,7,1,23,24
Minnesota,1995,3376973.5,2860329,4608685,2330526.5,2278158.5,1728738,1648235.5,1423797.5,1436531.5,NA,NA,34,NA,NA,6,NA,NA,6,5,41,46
Minnesota,1994,3342410.6,2827359.2,4560261.6,2308968.4,2251293.2,1714693,1627717.6,1409507.2,1417852,NA,NA,28,NA,NA,3,NA,NA,4,4,31,35
Minnesota,1993,3307847.7,2794389.4,4511838.2,2287410.3,2224427.9,1700648,1607199.7,1395216.9,1399172.5,NA,NA,29,NA,NA,1,NA,NA,0,0,30,30
Minnesota,1992,3273284.8,2761419.6,4463414.8,2265852.2,2197562.6,1686603,1586681.8,1380926.6,1380493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Minnesota,1991,3238721.9,2728449.8,4414991.4,2244294.1,2170697.3,1672558,1566163.9,1366636.3,1361813.5,NA,NA,13,NA,NA,0,NA,NA,1,NA,NA,14
