state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
State prison total,1998,1329,48088,49417,NA,NA,NA
State prison total,1999,1606,53440,55046,NA,NA,NA
State prison total,2e3,1380,52206,53586,175,3717,3892
State prison total,2001,1465,52566,54031,137,2992,3129
State prison total,2002,1498,53306,54804,111,2927,3038
State prison total,2003,1501,54611,56112,113,2627,2740
State prison total,2004,1560,55807,57367,108,2369,2477
State prison total,2005,1409,54423,55832,90,2118,2208
State prison total,2006,1555,55797,57352,105,2259,2364
State prison total,2007,1448,54318,55766,91,2192,2283
State prison total,2008,1849,60063,61912,91,2626,2717
State prison total,2009,1882,62031,63913,98,2645,2743
State prison total,2010,1826,62768,64594,78,2217,2295
State prison total,2011,2276,69989,72265,68,1722,1790
State prison total,2012,1826,62107,63933,49,1276,1325
State prison total,2013,1468,46393,47861,48,1140,1188
State prison total,2014,1407,42898,44305,30,1005,1035
State prison total,2015,1265,42363,43628,33,960,993
State prison total,2016,1297,42320,43617,33,923,956
