state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
District of Columbia,2016,560717,486873,681170,358010,323160,297785,262932,254002,232871,NA,NA,NA,NA,NA,NA
District of Columbia,2015,554182,485241,672228,351509,320719,293839,260343,252159,233082,NA,NA,NA,NA,NA,NA
District of Columbia,2014,544698,475459,658893,345789,313104,290319,254379,248975,226484,NA,NA,NA,NA,NA,NA
District of Columbia,2013,534956,466773,646449,341690,304759,285091,249865,243857,222916,NA,NA,NA,NA,NA,NA
District of Columbia,2012,522969,456589,632323,334071,298252,279313,243656,239743,216846,NA,NA,NA,NA,NA,NA
District of Columbia,2011,512925,449204,617996,325336,292660,274154,238771,236150,213054,NA,NA,NA,NA,NA,NA
District of Columbia,2010,503673,438416,604453,319306,285147,269243,234430,229075,209341,NA,NA,NA,NA,NA,NA
District of Columbia,2009,486030,421039,599657,317955,281702,261761,224269,221755,199284,NA,NA,NA,NA,NA,NA
District of Columbia,2008,479848,414039,591833,311997,279836,257984,221864,218189,195850,NA,NA,NA,NA,NA,NA
District of Columbia,2007,474261,408986,588292,311294,276998,255209,219052,214438,194548,NA,NA,NA,NA,NA,NA
District of Columbia,2006,469505,402006,581530,309259,272271,253185,216320,210877,191129,NA,NA,NA,NA,NA,NA
District of Columbia,2005,394069,336281,508572,269839,238733,212633,181436,177350,158931,NA,NA,NA,NA,NA,NA
District of Columbia,2004,409773,351029,518074,274807,243267,220847,188926,184776,166253,NA,NA,NA,NA,NA,NA
District of Columbia,2003,421268,361795,528759,280851,247908,227875,193393,190656,171139,NA,NA,NA,NA,NA,NA
District of Columbia,2002,424834,363847,535632,284606,251026,229497,195337,191240,172607,NA,NA,NA,NA,NA,NA
District of Columbia,2001,422830,363437,536260,284320,251940,228421,194409,190560,172877,NA,NA,NA,NA,NA,NA
District of Columbia,2000,418674,355440,523809,284937,238872,232265,186409,189312,166128,NA,NA,NA,NA,NA,NA
