state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Maine,2016,1074700,838495,1331479,682023,649456,556093,518607,424483,414012,3,53,56,0,0,0
Maine,2015,1076844,842264,1329328,676767,652561,556010,520834,426668,415596,4,42,46,0,0,0
Maine,2014,1070523,845718,1330089,686226,643863,556146,514377,433209,412509,0,0,0,0,0,0
Maine,2013,1069180,854033,1328302,677009,651293,550732,518448,431783,422250,1,19,20,0,0,0
Maine,2012,1062129,856296,1329192,676731,652461,547786,514343,433457,422839,1,22,23,0,1,1
Maine,2011,1058912,853642,1328188,678273,649915,547126,511786,432762,420880,0,0,0,0,0,0
Maine,2010,1053562,856244,1327567,679910,647657,547702,505860,436483,419761,1,20,21,0,0,0
Maine,2009,1043838,853607,1318301,677770,640531,542269,501569,434234,419373,1,20,21,0,0,0
Maine,2008,1040736,852606,1316456,675825,640631,544537,496199,436227,416379,0,16,16,0,0,0
Maine,2007,1032387,850070,1317207,675555,641652,542305,490082,437369,412701,1,14,15,0,0,0
Maine,2006,1045344,868110,1321574,675894,645680,540265,505079,437035,431075,0,10,10,0,0,0
Maine,2005,1015555,843359,1282474,659699,622775,527683,487872,431432,411927,0,10,10,0,0,0
Maine,2004,995714,828660,1278725,656259,622466,518143,477571,423297,405363,0,6,6,0,0,0
Maine,2003,985646,820008,1270602,651560,619042,511934,473712,416838,403170,1,8,9,0,0,0
Maine,2002,981538,818457,1259547,648733,610814,513353,468185,418198,400259,1,6,7,0,1,1
Maine,2001,979193,815811,1251745,641534,610211,507634,471559,412931,402880,1,9,10,0,0,0
Maine,2000,919688,754528,1225962,641845,584117,487918,431770,393475,361053,1,8,9,0,1,1
