state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Tennessee,1991,NA,NA,0,NA,NA,8,NA,NA,20,NA,NA,28
Tennessee,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
Tennessee,1993,NA,NA,56,NA,NA,32,NA,NA,NA,4,84,88
Tennessee,1994,NA,NA,NA,NA,NA,30,NA,NA,59,5,84,89
Tennessee,1995,NA,NA,NA,NA,NA,34,NA,NA,86,2,118,120
Tennessee,1996,NA,NA,NA,NA,NA,37,NA,NA,94,2,129,131
Tennessee,1997,NA,NA,NA,NA,NA,42,NA,NA,89,4,127,131
Tennessee,1998,NA,NA,NA,2,64,66,4,98,102,6,162,168
Tennessee,1999,NA,NA,NA,2,71,73,9,103,112,11,174,185
Tennessee,2e3,NA,NA,NA,5,43,48,14,153,167,19,196,215
Tennessee,2001,NA,NA,NA,1,65,66,22,143,165,23,208,231
Tennessee,2002,24,134,158,0,60,60,NA,NA,NA,24,194,218
Tennessee,2003,21,132,153,1,54,55,NA,NA,NA,22,186,208
Tennessee,2004,14,135,149,2,64,66,NA,NA,NA,16,199,215
Tennessee,2005,7,158,165,0,45,45,NA,NA,NA,7,203,210
Tennessee,2006,16,137,153,1,36,37,NA,NA,NA,17,173,190
Tennessee,2007,9,148,157,0,30,30,0,0,0,9,178,187
Tennessee,2008,NA,NA,NA,0,31,31,16,141,157,16,172,188
Tennessee,2009,NA,NA,NA,2,40,42,12,141,153,14,181,195
Tennessee,2010,NA,NA,NA,4,36,40,16,163,179,20,199,219
Tennessee,2011,0,18,18,0,26,26,17,152,169,17,196,213
Tennessee,2012,0,13,13,1,43,44,18,151,169,19,207,226
Tennessee,2013,2,23,25,0,23,23,8,153,161,10,199,209
Tennessee,2014,8,203,211,0,30,30,0,8,8,8,241,249
Tennessee,2015,13,173,186,7,24,31,0,0,0,20,197,217
Tennessee,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
