state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Georgia,2016,7798957,6546036,10310371,5295521,5014850,4068101,3730856,3356054,3189982,102,2366,2468,3,64,67
Georgia,2015,7712805,6517028,10214860,5237746,4977114,4017116,3695689,3335293,3181735,104,2291,2395,5,75,80
Georgia,2014,7607044,6460153,10097343,5173573,4923770,3961007,3646037,3306918,3153235,115,2335,2450,2,94,96
Georgia,2013,7504789,6410870,9992167,5113796,4878371,3898341,3606448,3273170,3137700,126,2451,2577,5,87,92
Georgia,2012,7429713,6396154,9919945,5068718,4851227,3851053,3578660,3256039,3140115,124,2596,2720,1,92,93
Georgia,2011,7327051,6333123,9815210,5008348,4806862,3798787,3528264,3224498,3108625,141,2816,2957,3,87,90
Georgia,2010,7219911,6267819,9712587,4969897,4742690,3755208,3464703,3201946,3065873,35,1687,1722,2,94,96
Georgia,2009,7246007,6312570,9829211,5000171,4829040,3740303,3505704,3189592,3122978,31,1780,1811,5,94,99
Georgia,2008,7137004,6239554,9685744,4918070,4767674,3674362,3462642,3140753,3098801,28,1738,1766,5,113,118
Georgia,2007,7015513,6149840,9544750,4846718,4698032,3620356,3395157,3101158,3048682,57,1849,1906,5,60,65
Georgia,2006,6910518,6071969,9363941,4749676,4614265,3551372,3359146,3051233,3020736,16,872,888,4,57,61
Georgia,2005,6468912,5720615,8811648,4484200,4327448,3342251,3126661,2906350,2814265,NA,NA,NA,4,71,75
Georgia,2004,6279787,5555067,8580307,4370848,4209459,3236126,3043661,2818080,2736987,17,1187,1204,5,77,82
Georgia,2003,6155477,5434852,8438710,4300894,4137816,3189135,2966342,2760583,2674269,13,1017,1030,2,63,65
Georgia,2002,6068492,5359670,8328862,4273763,4055099,3163391,2905101,2741355,2618315,35,736,771,2,37,39
Georgia,2001,5900735,5203896,8158938,4174762,3984176,3075813,2824922,2661873,2542023,24,744,768,2,57,59
Georgia,2000,5778754,5047399,7951518,4087125,3864393,3031583,2747171,2599311,2448088,18,647,665,3,126,129
