state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,deaths_caused_by_another_person_female,deaths_caused_by_another_person_male,deaths_caused_by_another_person_total,deaths_from_accidental_injury_to_self_female,deaths_from_accidental_injury_to_self_male,deaths_from_accidental_injury_to_self_total,deaths_from_aids_female,deaths_from_aids_male,deaths_from_aids_total,deaths_from_execution_female,deaths_from_execution_male,deaths_from_execution_total,deaths_from_homicide_by_other_inmates_female,deaths_from_homicide_by_other_inmates_male,deaths_from_homicide_by_other_inmates_total,deaths_from_illness_or_natural_cause_female,deaths_from_illness_or_natural_cause_male,deaths_from_illness_or_natural_cause_total,deaths_from_other_homicide_female,deaths_from_other_homicide_male,deaths_from_other_homicide_total,deaths_from_suicide_female,deaths_from_suicide_male,deaths_from_suicide_total,total_deaths_female,total_deaths_male,total_deaths_total
Illinois,2016,9881135,8142022,12801539,6517472,6284067,5084387,4796748,4093545,4048477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2015,9904659,8209729,12859995,6558660,6301335,5102943,4801716,4132700,4077029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2014,9899818,8250437,12880580,6565618,6314962,5102668,4797150,4157752,4092685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2013,9861196,8251659,12882135,6560187,6321948,5085608,4775588,4156721,4094938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2012,9815754,8253846,12875255,6566528,6308727,5062116,4753638,4161965,4091881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2011,9776465,8247105,12869259,6562541,6306718,5043816,4732649,4155076,4092029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2010,9719409,8204134,12843166,6544230,6298936,5022427,4696982,4139515,4064619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2009,9740592,8252433,12910409,6550654,6359755,5004066,4736526,4126529,4125904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2008,9721792,8252264,12901564,6547874,6353690,5000451,4721341,4129705,4122559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2007,9649702,8195532,12852548,6518927,6333621,4948708,4700994,4087392,4108140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2006,9605280,8177418,12831970,6517276,6314694,4948594,4656686,4098613,4078805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA
Illinois,2005,9203751,7858352,12441864,6346707,6095157,4765472,4438279,3977198,3881154,NA,NA,NA,0,2,2,0,5,5,0,0,0,0,0,0,2,57,59,0,0,0,0,5,5,2,72,74
Illinois,2004,9145046,7802115,12368348,6320929,6047419,4743960,4401086,3950102,3852013,NA,NA,NA,0,2,2,0,4,4,0,0,0,0,2,2,6,72,78,0,1,1,0,10,10,6,94,100
Illinois,2003,9106372,7784845,12338235,6290182,6048053,4718727,4387645,3945903,3838942,NA,NA,NA,0,0,0,2,10,12,0,0,0,0,1,1,1,62,63,0,0,0,1,1,2,4,77,81
Illinois,2002,9047270,7728908,12307e3,6297212,6009788,4704974,4342296,3926709,3802199,NA,NA,NA,0,2,2,0,5,5,0,0,0,0,0,0,1,57,58,0,1,1,0,7,7,1,73,74
Illinois,2001,9052944,7757582,12174337,6242572,5931765,4708328,4344616,3943326,3814256,NA,NA,NA,0,1,1,0,11,11,0,0,0,0,2,2,1,57,58,0,1,1,2,8,10,3,83,86
Illinois,2000,8875143,7542703,12123016,6145319,5977697,4588499,4286644,3808899,3733804,NA,NA,NA,0,1,1,0,6,6,0,0,0,0,0,0,0,55,55,0,0,0,0,9,9,3,78,81
Illinois,1999,8833346.7,7500989.1,12050094,6117930.3,5932163.7,4573220.4,4260126.3,3789594,3711395.1,NA,NA,NA,0,2,2,0,5,5,0,1,1,0,1,1,1,67,68,0,0,0,0,10,10,1,92,93
Illinois,1998,8791550.4,7459275.2,11977172,6090541.6,5886630.4,4557941.8,4233608.6,3770289,3688986.2,0,4,4,0,3,3,0,14,14,0,1,1,NA,NA,NA,4,59,63,NA,NA,NA,0,12,12,NA,NA,NA
Illinois,1997,8749754.1,7417561.3,11904250,6063152.9,5841097.1,4542663.2,4207090.9,3750984,3666577.3,0,2,2,1,2,3,2,14,16,0,2,2,NA,NA,NA,1,66,67,NA,NA,NA,1,10,11,NA,NA,NA
Illinois,1996,8707957.8,7375847.4,11831328,6035764.2,5795563.8,4527384.6,4180573.2,3731679,3644168.4,0,4,4,0,2,2,2,30,32,0,1,1,NA,NA,NA,5,45,50,NA,NA,NA,0,6,6,NA,NA,NA
Illinois,1995,8666161.5,7334133.5,11758406,6008375.5,5750030.5,4512106,4154055.5,3712374,3621759.5,0,4,4,0,2,2,1,30,31,0,5,5,NA,NA,NA,2,53,55,NA,NA,NA,0,6,6,NA,NA,NA
Illinois,1994,8624365.2,7292419.6,11685484,5980986.8,5704497.2,4496827.4,4127537.8,3693069,3599350.6,0,3,3,0,1,1,1,34,35,0,1,1,NA,NA,NA,3,34,37,NA,NA,NA,0,8,8,NA,NA,NA
Illinois,1993,8582568.9,7250705.7,11612562,5953598.1,5658963.9,4481548.8,4101020.1,3673764,3576941.7,1,8,9,0,3,3,1,22,23,0,0,0,NA,NA,NA,4,59,63,NA,NA,NA,1,3,4,NA,NA,NA
Illinois,1992,8540772.6,7208991.8,11539640,5926209.4,5613430.6,4466270.2,4074502.4,3654459,3554532.8,0,5,5,0,1,1,0,14,14,0,0,0,NA,NA,NA,0,33,33,NA,NA,NA,0,3,3,NA,NA,NA
Illinois,1991,8498976.3,7167277.9,11466718,5898820.7,5567897.3,4450991.6,4047984.7,3635154,3532123.9,0,5,5,0,1,1,0,10,10,0,0,0,NA,NA,NA,1,34,35,NA,NA,NA,0,2,2,NA,NA,NA
Illinois,1990,8457180,7125564,11393796,5871432,5522364,4435713,4021467,3615849,3509715,0,6,6,0,1,1,NA,NA,NA,0,1,1,NA,NA,NA,2,46,48,NA,NA,NA,0,4,4,NA,NA,NA
Illinois,1989,8427712,7113659.6,11399822.4,5876192.8,5523629.6,4422727.7,4004984.3,3614138.1,3499521.5,0,3,3,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,26,27,NA,NA,NA,0,3,3,NA,NA,NA
Illinois,1988,8398244,7101755.2,11405848.8,5880953.6,5524895.2,4409742.4,3988501.6,3612427.2,3489328,0,5,5,0,3,3,NA,NA,NA,0,0,0,NA,NA,NA,0,30,30,NA,NA,NA,0,4,4,NA,NA,NA
Illinois,1987,8368776,7089850.8,11411875.2,5885714.4,5526160.8,4396757.1,3972018.9,3610716.3,3479134.5,0,3,3,0,3,3,NA,NA,NA,0,0,0,NA,NA,NA,3,26,29,NA,NA,NA,0,3,3,NA,NA,NA
Illinois,1986,8339308,7077946.4,11417901.6,5890475.2,5527426.4,4383771.8,3955536.2,3609005.4,3468941,0,3,3,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,29,30,NA,NA,NA,0,4,4,NA,NA,NA
