state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Mississippi,2016,2266009,1854304,2988726,1548961,1439765,1190833,1075176,955778,898526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2015,2263210,1854997,2992333,1545520,1446813,1184452,1078758,950440,904557,0,0,0,2,42,44,12,156,168,14,198,212
Mississippi,2014,2262018,1866896,2994079,1535297,1458782,1181829,1080189,954836,912060,1,18,19,5,52,57,17,175,192,23,245,268
Mississippi,2013,2255085,1874672,2991207,1540005,1451202,1179436,1075649,959433,915239,1,18,19,5,52,57,17,175,192,23,245,268
Mississippi,2012,2237499,1872898,2984926,1543407,1441519,1174754,1062745,964306,908592,7,26,33,8,52,60,25,169,194,40,247,287
Mississippi,2011,2226732,1866434,2978512,1529416,1449096,1163599,1063133,955544,910890,4,75,79,5,48,53,14,109,123,23,232,255
Mississippi,2010,2216967,1859102,2970036,1529348,1440688,1159524,1057443,950830,908272,14,75,89,10,45,55,9,101,110,33,221,254
Mississippi,2009,2187529,1837819,2951996,1516807,1435189,1146501,1041028,937377,900442,5,82,87,5,45,50,16,69,85,26,196,222
Mississippi,2008,2176235,1834136,2938618,1510775,1427843,1143846,1032389,939889,894247,21,113,134,6,42,48,7,57,64,34,212,246
Mississippi,2007,2158909,1822318,2918785,1504875,1413910,1134121,1024788,930963,891355,75,112,187,9,26,35,4,20,24,88,158,246
Mississippi,2006,2143688,1803877,2910540,1498459,1412081,1126318,1017370,923351,880526,46,180,226,0,53,53,0,0,0,46,233,279
Mississippi,2005,2083984,1769966,2830388,1471475,1358913,1102491,981493,919106,850860,40,174,214,0,46,46,0,42,42,40,262,302
Mississippi,2004,2062992,1756059,2807064,1460216,1346848,1090578,972414,912136,843923,39,164,203,0,51,51,NA,NA,NA,39,215,254
Mississippi,2003,2028803,1719007,2783594,1446938,1336656,1076018,952785,893285,825722,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,176,200
Mississippi,2002,2020645,1718803,2774882,1445722,1329160,1072096,948549,892839,825964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224
Mississippi,2001,1989223,1684403,2765210,1439855,1325355,1061710,927513,878368,806035,149,25,174,58,2,60,0,0,0,27,207,234
Mississippi,2000,1963690,1673954,2714473,1437874,1276599,1047001,916689,869550,804404,29,181,210,0,20,20,NA,NA,NA,29,201,230
Mississippi,1999,1949112.6,1658581.2,2699045.1,1427870.4,1271174.7,1039578.6,909534,861743.4,796837.8,10,132,142,1,49,50,NA,NA,NA,11,181,192
Mississippi,1998,1934535.2,1643208.4,2683617.2,1417866.8,1265750.4,1032156.2,902379,853936.8,789271.6,15,119,134,0,38,38,NA,NA,NA,15,157,172
Mississippi,1997,1919957.8,1627835.6,2668189.3,1407863.2,1260326.1,1024733.8,895224,846130.2,781705.4,NA,NA,151,NA,NA,38,NA,NA,NA,18,171,189
Mississippi,1996,1905380.4,1612462.8,2652761.4,1397859.6,1254901.8,1017311.4,888069,838323.6,774139.2,NA,NA,111,NA,NA,24,NA,NA,NA,5,130,135
Mississippi,1995,1890803,1597090,2637333.5,1387856,1249477.5,1009889,880914,830517,766573,NA,NA,110,NA,NA,28,NA,NA,NA,2,136,138
Mississippi,1994,1876225.6,1581717.2,2621905.6,1377852.4,1244053.2,1002466.6,873759,822710.4,759006.8,NA,NA,96,NA,NA,23,NA,NA,NA,4,115,119
Mississippi,1993,1861648.2,1566344.4,2606477.7,1367848.8,1238628.9,995044.2,866604,814903.8,751440.6,NA,NA,99,NA,NA,19,NA,NA,NA,1,117,118
Mississippi,1992,1847070.8,1550971.6,2591049.8,1357845.2,1233204.6,987621.8,859449,807097.2,743874.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,1991,1832493.4,1535598.8,2575621.9,1347841.6,1227780.3,980199.4,852294,799290.6,736308.2,NA,NA,106,NA,NA,0,NA,NA,0,NA,NA,106
