state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Washington,2016,5663243,4662065,7288e3,3651901,3636099,2857203,2806040,2308182,2353883,16,753,769,0,0,0
Washington,2015,5558571,4603853,7170351,3587267,3583084,2798430,2760141,2276053,2327800,16,753,769,0,0,0
Washington,2014,5460989,4551069,7061530,3529518,3532012,2753219,2707770,2253081,2297988,15,760,775,0,1,1
Washington,2013,5378895,4508105,6971406,3487837,3483569,2708948,2669947,2229008,2279097,25,857,882,1,23,24
Washington,2012,5316558,4488323,6897012,3458480,3438532,2686241,2630317,2233072,2255251,26,890,916,0,24,24
Washington,2011,5252763,4455487,6830038,3424895,3405143,2653627,2599136,2213952,2241535,78,2314,2392,0,1,1
Washington,2010,5162367,4392734,6744496,3385247,3359249,2615256,2547111,2184628,2208106,27,877,904,0,1,1
Washington,2009,5093031,4352845,6664195,3339270,3324925,2574991,2518040,2159660,2193185,24,774,798,0,2,2
Washington,2008,5001714,4279436,6549224,3281759,3267465,2518254,2483460,2111050,2168386,46,1029,1075,0,3,3
Washington,2007,4930120,4231658,6468424,3240820,3227604,2494650,2435470,2101864,2129794,27,918,945,0,3,3
Washington,2006,4859395,4171816,6395798,3210390,3185408,2459251,2400144,2069892,2101924,13,938,951,0,0,0
Washington,2005,4676603,4030546,6157786,3095414,3062372,2375133,2301470,2015873,2014673,12,974,986,0,3,3
Washington,2004,4581637,3957796,6071325,3062840,3008485,2336404,2245233,1983637,1974159,16,1060,1076,1,15,16
Washington,2003,4501566,3882202,5988638,3021529,2967109,2296410,2205156,1944825,1937377,30,1232,1262,0,47,47
Washington,2002,4426673,3825364,5937852,2985345,2952507,2252514,2174159,1911251,1914113,28,1448,1476,2,54,56
Washington,2001,4331354,3732001,5852281,2956139,2896142,2213585,2117769,1873388,1858613,23,1347,1370,0,66,66
Washington,2000,4249005,3667693,5776726,2901145,2875581,2161191,2087814,1836278,1831415,16,1614,1630,4,78,82
