state,year,population,population_adult,population_adult_aged_18_65,population_american_indian,population_asian,population_black,population_hispanic,population_other_or_unknown,population_white,population_adult_american_indian,population_adult_asian,population_adult_black,population_adult_hispanic,population_adult_other_or_unknown,population_adult_white,population_aged_18_65_american_indian,population_aged_18_65_asian,population_aged_18_65_black,population_aged_18_65_hispanic,population_aged_18_65_other_or_unknown,population_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
State Prison Total,2016,323127515,249576134,203914570,2116655,17806080,39808784,57389751,8519550,197486695,1554563,14272570,29890104,39091193,4768364,159999340,1348874,12310903,25881798,35483336,4341165,124548494,2604,16600,19204,975,10112,11087,23623,502856,526479,10474,201790,212264,510,8228,8738,60184,474783,534967
State Prison Total,2015,321418821,247876467,203658037,2065003,17500206,39650251,56476777,8172629,197553955,1525381,14002244,29654620,38380691,4547692,159765839,1329737,12158076,25836183,34962384,4147303,125224354,2515,16869,19384,952,9885,10837,24504,512531,537035,10393,194127,204520,483,8308,8791,59402,486651,546053
State Prison Total,2014,318857056,245365242,202656261,2084675,16916208,39302196,55250517,7862050,197441410,1521716,13484095,29276944,37371173,4327122,159384192,1338609,11771551,25635452,34158087,3945637,125806925,2537,16535,19072,906,9485,10391,25293,525633,550926,10086,196117,206203,509,9070,9579,59243,491612,550855
State Prison Total,2013,316128839,242627222,201472079,2081234,16220790,38851242,53964235,7619580,197391758,1507559,12838265,28790820,36276429,4221402,158992747,1328628,11258383,25305257,33257265,3865362,126457184,2169,14133,16302,907,9244,10151,25968,535070,561038,9765,196521,206286,445,9113,9558,56710,487229,543939
State Prison Total,2012,313914040,240281843,200704482,2096025,15809685,38535707,52932483,7264406,197275734,1527213,12463976,28398251,35387657,3994396,158510350,1361860,10987156,25062449,32529515,3658641,127104861,2179,15035,17214,937,9386,10323,26478,540302,566780,9527,196512,206039,321,7167,7488,54820,486445,541265
State Prison Total,2011,311591919,237741224,199183795,2076934,15318031,38203e3,51927158,6968133,197098663,1495966,12016952,28001559,34540915,3770761,157915071,1335292,10630295,24753507,31842155,3452791,127169755,2140,15344,17484,1056,9497,10553,28435,552998,581433,10334,204376,214710,293,7501,7794,54929,490763,545692
State Prison Total,2010,309349689,235217323,197483605,2075440,15019346,37936978,50729570,6656907,196931448,1500245,11712340,27532604,33548035,3629854,157294245,1347627,10403835,24394924,30965598,3316614,127055007,2264,15547,17811,1040,9270,10310,30006,558078,588084,10733,207808,218541,358,8063,8421,54433,491798,546231
State Prison Total,2009,307006556,232534305,195670932,1967833,14022191,37178119,48348144,6163024,199327245,1427958,10877175,26959071,31653925,3336764,158279412,1282925,9627430,23912129,29158583,3059371,128630494,2110,15201,17311,1066,9497,10563,31329,566994,598323,10867,207097,217964,387,8356,8743,53755,493017,546772
State Prison Total,2008,304059728,230169098,194129070,2001987,13626258,36774337,46822476,5871011,198963659,1458882,10626465,26525609,30820211,3177101,157560830,1310780,9419546,23569076,28395750,2924300,128509618,2001,15e3,17001,1065,9340,10405,32187,566362,598549,10699,201158,211857,424,9645,10069,52875,493336,546211
State Prison Total,2007,301621159,227708235,192389832,2021731,13505104,36624935,45378596,5496266,198594527,1463005,10514726,26059539,30046610,2985033,156639322,1316772,9366825,23161404,27749263,2750066,128045502,1986,14938,16924,1027,9356,10383,32965,562616,595581,10980,205474,216454,427,9318,9745,53192,487931,541123
State Prison Total,2006,299398485,225613367,190809190,2051510,13335040,36431992,44298975,5153906,198127062,1468270,10380504,25733718,29333930,2822269,155874676,1325061,9300223,22903666,27172458,2582552,127525230,1890,15057,16947,970,8902,9872,32946,551997,584943,10687,194639,205326,513,9500,10013,52046,489394,541440
State Prison Total,2005,288398819,215251252,182729336,2036121,12677007,34410656,41926302,4821781,192526952,1452659,9771897,23802468,27486810,2574836,150162582,1310865,8769140,21176933,25473601,2357815,123640982,1820,13809,15629,916,8983,9899,32535,541528,574063,10081,187631,197712,447,8908,9355,49615,480614,530229
State Prison Total,2004,285674993,212798888,180679298,1861771,12298846,34132250,40450920,4558646,192372560,1316567,9481736,23486413,26560513,2425892,149527767,1198960,8557716,20890376,24657136,2221046,123154064,1638,13744,15382,852,9204,10056,33851,540435,574286,9560,187868,197428,415,7998,8413,46273,460347,506620
