state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Georgia,1991,NA,NA,774,NA,NA,23,NA,NA,10,NA,NA,807
Georgia,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733
Georgia,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797
Georgia,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884
Georgia,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858
Georgia,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,734,814
Georgia,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,765,861
Georgia,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,765,870
Georgia,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846
Georgia,2e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938
Georgia,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,1004,1150
Georgia,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1023,1123
Georgia,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,991,1095
Georgia,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1009,1109
Georgia,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,949,1042
Georgia,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,874,944
Georgia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,882,970
Georgia,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,871,961
Georgia,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,864,951
Georgia,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,832,912
Georgia,2011,NA,NA,NA,76,827,903,NA,NA,NA,76,827,903
Georgia,2012,70,821,891,NA,NA,NA,NA,NA,NA,70,821,891
Georgia,2013,60,811,871,NA,NA,NA,NA,NA,NA,60,811,871
Georgia,2014,55,787,842,NA,NA,NA,NA,NA,NA,55,787,842
Georgia,2015,64,699,763,NA,NA,NA,NA,NA,NA,64,699,763
Georgia,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
