state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Tennessee,2016,5148517,4183750,6651194,3407234,3243960,2677859,2470658,2136097,2047653,1801,19738,0,7433,7433,1801,12305,14106,8,53,61,1801,12305,14106
Tennessee,2015,5107242,4167751,6600299,3384403,3215896,2653185,2454057,2125461,2042290,1508,18292,0,5172,5172,1508,13120,14628,5,44,49,1508,13120,14628
Tennessee,2014,5055916,4148978,6549352,3358123,3191229,2628449,2427467,2120344,2028634,1466,19349,0,5116,5116,1466,14233,15699,4,29,33,1466,14233,15699
Tennessee,2013,5003829,4130937,6495978,3319592,3176386,2595951,2407878,2103298,2027639,1463,19295,0,5103,5103,1463,14192,15655,2,25,27,1463,14192,15655
Tennessee,2012,4964231,4120756,6456243,3310883,3145360,2581330,2382901,2099108,2021648,1176,18641,0,5165,5165,1176,13476,14652,2,28,30,1176,13476,14652
Tennessee,2011,4913801,4096470,6403353,3283234,3120119,2554260,2359541,2084724,2011746,1178,18653,0,5147,5147,1178,13506,14684,1,16,17,1178,13506,14684
Tennessee,2010,4857780,4052305,6356897,3264746,3092151,2530442,2327338,2067100,1985205,1180,18857,0,5120,5120,1180,13737,14917,2,16,18,1180,13737,14917
Tennessee,2009,4806513,4029150,6296254,3221660,3074594,2500155,2306358,2049940,1979210,1172,18760,0,5108,5108,1172,13652,14824,1,13,14,1172,13652,14824
Tennessee,2008,4746414,3993007,6214888,3188226,3026662,2470444,2275970,2026138,1966869,1150,18229,0,5155,5155,1150,13074,14224,0,11,11,1150,13074,14224
Tennessee,2007,4692049,3957214,6156719,3149566,3007153,2439462,2252587,2008003,1949211,1137,18131,0,5121,5121,1137,13010,14147,3,17,20,1137,13010,14147
