state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Idaho,2016,1246229,1010005,1683140,844378,838762,630499,615730,504933,505072,12,291,303,0,0,0
Idaho,2015,1223903,997142,1654930,828210,826720,616624,607279,496399,500743,10,223,233,0,1,1
Idaho,2014,1203127,988767,1634464,817767,816697,605966,597161,491214,497553,6,210,216,0,0,0
Idaho,2013,1185459,979046,1612136,805049,807087,597699,587760,486677,492369,23,397,420,0,17,17
Idaho,2012,1171205,980348,1595728,799183,796545,590860,580345,488333,492015,0,0,0,0,0,0
Idaho,2011,1156880,967687,1584985,788285,796700,581729,575151,478587,489100,0,0,0,0,0,0
Idaho,2010,1142553,959325,1571450,782752,788698,576221,566332,477192,482133,13,150,163,0,1,1
Idaho,2009,1127e3,954946,1545801,769112,776689,566695,560305,473413,481533,13,275,288,0,0,0
Idaho,2008,1110275,944999,1523816,757494,766322,555476,554799,465494,479505,12,312,324,0,0,0
Idaho,2007,1086868,923832,1499402,747002,752400,546312,540556,457242,466590,10,282,292,0,1,1
Idaho,2006,1073063,916276,1466465,730425,736040,537294,535769,450245,466031,16,217,233,1,2,3
Idaho,2005,1028287,882529,1408650,707457,701193,519797,508490,440221,442308,2,291,293,0,3,3
Idaho,2004,989067,847303,1360152,683077,677075,502110,486957,423262,424041,0,154,154,0,0,0
Idaho,2003,963572,824794,1333165,670396,662769,491981,471591,415933,408861,0,278,278,0,2,2
Idaho,2002,945405,811531,1308320,650116,658204,475438,469967,400627,410904,0,250,250,0,5,5
Idaho,2001,915983,784558,1289492,651033,638459,464525,451458,390260,394298,NA,NA,NA,0,8,8
Idaho,2000,913964,774152,1272112,650131,621981,467940,446024,390452,383700,2,126,128,1,3,4
