state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
US Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,102784,1323562,8897,128637,137534,93887,1194925,1288812,1896,20958,22854,94271,1207524,1301795
US Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,103150,1345145,8762,126663,135425,94388,1218482,1312870,1987,20258,22245,94882,1228171,1323053
US Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,105364,1373836,8658,132545,141203,96706,1241291,1337997,2029,21354,23383,97175,1252823,1349998
US Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,104204,1394755,8147,134471,142618,96057,1260284,1356341,2046,21897,23943,96141,1262271,1358412
US Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,101453,1391392,9096,137056,146152,92357,1254336,1346693,2243,23284,25527,92404,1254943,1347347
US Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,102824,1402162,7863,123109,130972,94961,1279053,1374014,2123,21909,24032,95058,1279683,1374741
US Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,104846,1416567,8384,119561,127945,96462,1297006,1393468,2129,23106,25235,96979,1298867,1395846
US Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,105385,1419265,8687,120646,129333,96698,1298619,1395317,2164,23184,25348,97267,1303505,1400772
US Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,106888,1416065,8840,120642,129482,98048,1295423,1393471,2265,23497,25762,98585,1307051,1405636
US Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,106639,1406751,8535,115615,124150,98104,1291136,1389240,2499,25916,28415,98669,1302997,1401666
US Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,104817,1383563,7842,105855,113697,96975,1277708,1374683,2816,25884,28700,97452,1289485,1386937
US Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,100482,1346953,8240,99193,107433,92242,1247760,1340002,2799,26787,29586,94248,1263775,1358023
US Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,97917,1323899,6658,85911,92569,91259,1237988,1329247,2758,25788,28546,92932,1252092,1345024
US Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,93926,1300189,6307,83816,90123,87619,1216373,1303992,2529,25389,27918,89301,1230427,1319728
US Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,90908,1276453,7022,81348,88370,83886,1195105,1278991,2392,24291,26683,85328,1212138,1297466
US Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,84972,1244834,5970,80451,86421,79002,1164383,1243385,2406,24333,26739,80543,1182530,1263073
US Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,85645,1231659,7351,84228,91579,78294,1147431,1225725,2369,24762,27131,80429,1165437,1245866
US Prison Total,1999,199841353.79999998,169008280.3,271079171.3,138745496.7,132333674.60000001,104067422.6,95773931.2,86046434.9,82961845.4,82692,1198868,5519,63441,68960,77173,1135427,1212600,2146,23327,25473,79371,1154542,1233913
US Prison Total,1998,198157800.6,167535786.6,268526777.6,137464026.4,131062751.2,103206016.2,94951784.4,85249808.8,82285977.8,NA,NA,NA,NA,NA,NA,NA,NA,2145,21177,23322,77897,1144823,1222720
US Prison Total,1997,196474247.4,166063292.9,265974383.9,136182556.1,129791827.8,102344609.8,94129637.6,84453182.7,81610110.2,NA,NA,NA,NA,NA,NA,NA,NA,2178,20852,23030,73586,1102978,1176564
US Prison Total,1996,194790694.20000002,164590799.2,263421990.2,134901085.8,128520904.39999999,101483203.4,93307490.8,83656556.6,80934242.6,NA,NA,NA,NA,NA,NA,NA,NA,2116,20067,22183,70009,1057755,1127764
US Prison Total,1995,193107141,163118305.5,260869596.5,133619615.5,127249981,100621797,92485344,82859930.5,80258375,NA,NA,NA,NA,NA,NA,NA,NA,2102,19908,22010,64002,1014540,1078542
US Prison Total,1994,191423587.79999998,161645811.8,258317202.8,132338145.2,125979057.60000001,99760390.6,91663197.2,82063304.4,79582507.4,NA,NA,NA,NA,NA,NA,NA,NA,1929,18524,20453,56891,933256,990147
US Prison Total,1993,189740034.6,160173318.1,255764809.1,131056674.9,124708134.2,98898984.2,90841050.4,81266678.3,78906639.8,NA,NA,NA,NA,NA,NA,NA,NA,1813,17208,19021,51289,858092,909381
US Prison Total,1992,188056481.4,158700824.4,253212415.4,129775204.6,123437210.8,98037577.8,90018903.6,80470052.2,78230772.2,NA,NA,NA,NA,NA,NA,NA,NA,1857,17080,18937,47008,803558,850566
US Prison Total,1991,186372928.20000002,157228330.7,250660021.7,128493734.3,122166287.39999999,97176171.4,89196756.8,79673426.1,77554904.6,NA,NA,NA,NA,NA,NA,NA,NA,1698,16958,18656,44673,747862,792535
US Prison Total,1990,184689375,155755837,248107628,127212264,120895364,96314765,88374610,78876800,76879037,NA,NA,NA,NA,NA,NA,NA,NA,1693,16839,18532,41305,702077,743382
US Prison Total,1989,182464019.5,154062039.3,245983105.20000002,126180925.6,119802179.6,95222236.5,87241783,78107908,75954131.3,NA,NA,NA,NA,NA,NA,NA,NA,1640,15521,17161,38193,645189,683382
US Prison Total,1988,180238664,152368241.6,243858582.4,125149587.2,118708995.2,94129708,86108956,77339016,75029225.6,NA,NA,NA,NA,NA,NA,NA,NA,1393,12538,13931,31140,575670,606810
US Prison Total,1987,178013308.5,150674443.9,241734059.6,124118248.8,117615810.8,93037179.5,84976129,76570124,74104319.9,NA,NA,NA,NA,NA,NA,NA,NA,1056,11934,12990,27801,535013,562814
US Prison Total,1986,175787953,148980646.2,239609536.79999998,123086910.4,116522626.4,91944651,83843302,75801232,73179414.2,NA,NA,NA,NA,NA,NA,NA,NA,895,10132,11027,22105,518441,540546
US Prison Total,1985,173562597.5,147286848.5,237485014,122055572,115429442,90852122.5,82710475,75032340,72254508.5,NA,NA,NA,NA,NA,NA,NA,NA,895,10158,11053,22105,465488,487593
US Prison Total,1984,171337242,145593050.8,235360491.20000002,121024233.6,114336257.6,89759594,81577648,74263448,71329602.8,NA,NA,NA,NA,NA,NA,NA,NA,655,8039,8694,19773,428491,448264
