state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Colorado,2016,4280618,3594974,5540545,2750477,2790068,2137926,2142692,1764528,1830446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2015,4199053,3550797,5456574,2713952,2742622,2100768,2098285,1747545,1803252,12,121,133,0,8,8,0,16,16,12,145,157
Colorado,2014,4108534,3488581,5355866,2664744,2691122,2061256,2047278,1722475,1766106,13,135,148,0,8,8,0,15,15,13,158,171
Colorado,2013,4027780,3444514,5268367,2616599,2651768,2017621,2010159,1694605,1749909,14,124,138,0,7,7,0,14,14,14,145,159
Colorado,2012,3956423,3405027,5187582,2582695,2604887,1981592,1974831,1676679,1728348,17,146,163,1,10,11,1,26,27,19,182,201
Colorado,2011,3890434,3356506,5116796,2548745,2568051,1954486,1935948,1656763,1699743,15,143,158,1,12,13,1,26,27,17,181,198
Colorado,2010,3820050,3309314,5049071,2514593,2534478,1921492,1898558,1636743,1672571,18,124,142,3,17,20,1,18,19,22,159,181
Colorado,2009,3797239,3303684,5024748,2496186,2528562,1896008,1901231,1617218,1686466,20,121,141,4,17,21,1,22,23,25,160,185
Colorado,2008,3733023,3260695,4939456,2451628,2487828,1865840,1867183,1599383,1661312,14,97,111,4,17,21,6,35,41,24,149,173
Colorado,2007,3671619,3217074,4861515,2409823,2451692,1825429,1846190,1566941,1650133,12,71,83,4,31,35,5,27,32,21,129,150
Colorado,2006,3585699,3145647,4753377,2360934,2392443,1794196,1791503,1545274,1600373,6,74,80,3,44,47,4,34,38,13,152,165
Colorado,2005,3372564,2963293,4540639,2264462,2276177,1693374,1679190,1465322,1497971,5,72,77,3,30,33,5,33,38,13,135,148
Colorado,2004,3325951,2920097,4498611,2240875,2257736,1672841,1653110,1443154,1476943,13,81,94,4,34,38,2,51,53,19,166,185
Colorado,2003,3301536,2906682,4447892,2212333,2235559,1658402,1643134,1434500,1472182,18,89,107,3,32,35,0,20,20,21,141,162
Colorado,2002,3260358,2880256,4403659,2202416,2201243,1642939,1617419,1426258,1453998,20,76,96,4,42,46,2,38,40,26,156,182
Colorado,2001,3164594,2790285,4314724,2162634,2152090,1599739,1564855,1385021,1405264,12,105,117,4,35,39,3,14,17,19,154,173
Colorado,2000,3126471,2756861,4247729,2108803,2138926,1565190,1561281,1355536,1401325,7,98,105,3,20,23,3,15,18,13,133,146
Colorado,1999,3056479.2,2693606.1,4151231.7,2063662.2,2087569.5,1532728.2,1523751,1326063.9,1367542.2,9,102,111,1,7,8,0,12,12,10,121,131
Colorado,1998,2986487.4,2630351.2,4054734.4,2018521.4,2036213,1500266.4,1486221,1296591.8,1333759.4,2,56,58,3,25,28,4,34,38,9,115,124
Colorado,1997,2916495.6,2567096.3,3958237.1,1973380.6,1984856.5,1467804.6,1448691,1267119.7,1299976.6,NA,NA,37,NA,NA,31,NA,NA,42,8,102,110
Colorado,1996,2846503.8,2503841.4,3861739.8,1928239.8,1933500,1435342.8,1411161,1237647.6,1266193.8,NA,NA,77,NA,NA,17,NA,NA,NA,8,86,94
Colorado,1995,2776512,2440586.5,3765242.5,1883099,1882143.5,1402881,1373631,1208175.5,1232411,NA,NA,28,NA,NA,19,NA,NA,46,6,87,93
Colorado,1994,2706520.2,2377331.6,3668745.2,1837958.2,1830787,1370419.2,1336101,1178703.4,1198628.2,NA,NA,23,NA,NA,12,NA,NA,44,2,77,79
Colorado,1993,2636528.4,2314076.7,3572247.9,1792817.4,1779430.5,1337957.4,1298571,1149231.3,1164845.4,NA,NA,50,NA,NA,7,NA,NA,17,7,67,74
Colorado,1992,2566536.6,2250821.8,3475750.6,1747676.6,1728074,1305495.6,1261041,1119759.2,1131062.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
Colorado,1991,2496544.8,2187566.9,3379253.3,1702535.8,1676717.5,1273033.8,1223511,1090287.1,1097279.8,NA,NA,37,NA,NA,4,NA,NA,41,NA,NA,82
