state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Oregon,2016,3227513,2595600,4093465,2060907,2032558,1645267,1582246,1298787,1296813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1304,13862,15166
Oregon,2015,3168517,2557992,4028977,2037692,1991285,1617428,1551089,1285380,1272612,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1307,13938,15245,0,0,0,1307,13938,15245
Oregon,2014,3111019,2525972,3970239,2008834,1961405,1590387,1520632,1270617,1255355,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1276,13799,15075,0,0,0,1276,13799,15075
Oregon,2013,3071614,2516056,3930065,1984979,1945086,1566023,1505591,1261178,1254878,0,5,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,1305,14212,15517,0,0,0,1305,14212,15517
Oregon,2012,3039087,2511144,3899353,1961714,1937639,1548910,1490177,1256387,1254757,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1231,13609,14840,0,0,0,1231,13609,14840
Oregon,2011,3011055,2498166,3871859,1956121,1915738,1536143,1474912,1251317,1246849,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1123,13387,14510,0,0,0,1123,13387,14510
Oregon,2010,2973400,2476140,3838957,1935332,1903625,1518512,1454888,1241550,1234590,0,9,9,NA,NA,NA,0,0,0,0,0,0,0,0,0,1131,13745,14876,0,0,0,1131,13745,14876
Oregon,2009,2952353,2471936,3825657,1929037,1896620,1504114,1448239,1235774,1236162,0,14,14,NA,NA,NA,0,0,0,0,0,0,0,0,0,1125,13278,14403,0,0,0,1125,13278,14403
Oregon,2008,2915435,2452617,3790060,1905321,1884739,1479831,1435604,1220502,1232115,0,20,20,NA,NA,NA,0,0,0,0,0,0,0,0,0,1109,13058,14167,0,0,0,1109,13058,14167
Oregon,2007,2886599,2429736,3747455,1891125,1856330,1470548,1416051,1212421,1217315,0,23,23,NA,NA,NA,0,0,0,0,0,0,0,0,0,1060,12888,13948,0,0,0,1060,12888,13948
