state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
District of Columbia,2016,560717,486873,681170,358010,323160,297785,262932,254002,232871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2015,554182,485241,672228,351509,320719,293839,260343,252159,233082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2014,544698,475459,658893,345789,313104,290319,254379,248975,226484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2013,534956,466773,646449,341690,304759,285091,249865,243857,222916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2012,522969,456589,632323,334071,298252,279313,243656,239743,216846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2011,512925,449204,617996,325336,292660,274154,238771,236150,213054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2010,503673,438416,604453,319306,285147,269243,234430,229075,209341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2009,486030,421039,599657,317955,281702,261761,224269,221755,199284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2008,479848,414039,591833,311997,279836,257984,221864,218189,195850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,474261,408986,588292,311294,276998,255209,219052,214438,194548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2006,469505,402006,581530,309259,272271,253185,216320,210877,191129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2005,394069,336281,508572,269839,238733,212633,181436,177350,158931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2004,409773,351029,518074,274807,243267,220847,188926,184776,166253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2003,421268,361795,528759,280851,247908,227875,193393,190656,171139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2002,424834,363847,535632,284606,251026,229497,195337,191240,172607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2001,422830,363437,536260,284320,251940,228421,194409,190560,172877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2000,418674,355440,523809,284937,238872,232265,186409,189312,166128,20,39,59,2,12,14,3,50,53,25,101,126
District of Columbia,1999,426021.4,362008.2,532414.7,288833.1,243581.6,235638.5,190382.9,192442.7,169565.5,8,254,262,3,79,82,2,13,15,13,346,359
District of Columbia,1998,433368.8,368576.4,541020.4,292729.2,248291.2,239012,194356.8,195573.4,173003,NA,NA,185,NA,NA,55,NA,NA,28,33,235,268
District of Columbia,1997,440716.2,375144.6,549626.1,296625.3,253000.8,242385.5,198330.7,198704.1,176440.5,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,175
District of Columbia,1996,448063.6,381712.8,558231.8,300521.4,257710.4,245759,202304.6,201834.8,179878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125
District of Columbia,1995,455411,388281,566837.5,304417.5,262420,249132.5,206278.5,204965.5,183315.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,1994,462758.4,394849.2,575443.2,308313.6,267129.6,252506,210252.4,208096.2,186753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,1993,470105.8,401417.4,584048.9,312209.7,271839.2,255879.5,214226.3,211226.9,190190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,1992,477453.2,407985.6,592654.6,316105.8,276548.8,259253,218200.2,214357.6,193628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,1991,484800.6,414553.8,601260.3,320001.9,281258.4,262626.5,222174.1,217488.3,197065.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
