state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
North Dakota,2016,584891,480919,757953,367311,390642,284469,300422,227303,253616,0,23,23,0,0,0
North Dakota,2015,584774,482817,756928,368326,388602,284233,300541,227159,255658,1,22,23,0,0,0
North Dakota,2014,572255,474147,739482,362327,377155,281476,290779,227326,246821,3,15,18,0,0,0
North Dakota,2013,563342,470064,723393,354742,368651,276354,286988,224507,245557,1,16,17,0,0,0
North Dakota,2012,546266,452599,699628,340386,359242,265616,280650,212354,240245,1,11,12,0,0,0
North Dakota,2011,532740,438520,683932,338937,344995,264562,268178,212106,226414,0,7,7,0,0,0
North Dakota,2010,524634,433967,674499,331184,343315,259417,265217,208430,225537,0,7,7,0,0,0
North Dakota,2009,504757,415578,646844,325534,321310,255336,249421,204131,211447,1,13,14,0,0,0
North Dakota,2008,504597,419055,641481,318526,322955,255384,249213,204956,214099,1,11,12,0,0,0
North Dakota,2007,497018,412734,639715,317330,322385,247684,249334,198765,213969,1,15,16,0,0,0
North Dakota,2006,493893,405285,635867,318440,317427,251386,242507,200585,204700,1,6,7,0,1,1
North Dakota,2005,477908,397941,621063,315374,305689,243875,234033,196980,200961,1,8,9,0,4,4
North Dakota,2004,472176,390994,609691,306842,302849,239698,232478,192567,198427,1,14,15,0,1,1
North Dakota,2003,463605,383112,609236,305790,303446,234417,229188,188330,194782,1,8,9,0,2,2
North Dakota,2002,463533,382827,610245,307685,302560,234859,228674,188632,194195,2,10,12,0,1,1
North Dakota,2001,471608,391036,610793,306740,304053,238313,233295,192681,198355,0,10,10,0,2,2
North Dakota,2000,455157,372544,609909,303685,306224,226381,228776,180457,192087,1,11,12,0,7,7
