state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
West Virginia,2016,1454578,1136439,1831102,925805,905297,742573,712005,565430,571009,0,25,25,0,0,0
West Virginia,2015,1464966,1154097,1844128,935217,908911,748250,716716,576685,577412,1,17,18,0,0,0
West Virginia,2014,1467316,1164664,1850326,936005,914321,749665,717651,581219,583445,1,22,23,0,0,0
West Virginia,2013,1471764,1178908,1854304,936667,917637,750484,721280,587191,591717,2,20,22,0,0,0
West Virginia,2012,1470340,1188320,1855413,942344,913069,753699,716641,595759,592561,1,17,18,0,0,0
West Virginia,2011,1469390,1192811,1855364,941008,914356,752939,716451,596420,596391,1,16,17,0,0,0
West Virginia,2010,1467669,1188550,1853973,941315,912658,753322,714347,594994,593556,0,8,8,0,0,0
West Virginia,2009,1435182,1166477,1819777,925985,893792,739187,695995,583781,582696,0,6,6,0,0,0
West Virginia,2008,1435959,1173396,1814468,926300,888168,741592,694367,589258,584138,0,8,8,0,0,0
West Virginia,2007,1419562,1153085,1812035,922977,889058,732067,687495,578451,574634,0,2,2,0,0,0
West Virginia,2006,1428728,1164212,1818470,927833,890637,737806,690922,584605,579607,2,16,18,0,0,0
West Virginia,2005,1396212,1146453,1781817,906603,875214,721008,675204,578620,567833,0,9,9,0,0,0
West Virginia,2004,1387973,1140089,1771784,907959,863825,723574,664399,580722,559367,0,14,14,0,0,0
West Virginia,2003,1378583,1131390,1767580,906693,860887,720228,658355,576390,555e3,0,12,12,0,0,0
West Virginia,2002,1373614,1126911,1761291,910684,850607,716730,656884,571859,555052,0,13,13,0,0,0
West Virginia,2001,1361659,1115905,1758405,904323,854082,711497,650162,566993,548912,0,10,10,NA,NA,NA
West Virginia,2000,1376793,1115609,1770413,905382,865031,706516,670277,562725,552884,0,8,8,NA,NA,NA
