state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Alabama,2016,3764841,3037574,4863300,2502802,2360498,1976894,1787947,1561951,1475623,3,173,176,0,27,27
Alabama,2015,3751787,3041803,4858979,2508497,2350482,1966748,1785039,1559466,1482337,4,165,169,0,14,14
Alabama,2014,3743355,3051977,4849377,2498961,2350416,1961551,1781804,1568039,1483938,3,77,80,0,0,0
Alabama,2013,3723333,3058166,4833722,2492548,2341174,1946337,1776996,1562843,1495323,3,203,206,2,39,41
Alabama,2012,3696370,3057134,4822023,2489964,2332059,1938393,1757977,1567915,1489219,2,197,199,1,87,88
Alabama,2011,3679096,3054392,4802740,2486530,2316210,1929412,1749684,1567729,1486663,2,182,184,0,21,21
Alabama,2010,3649882,3033805,4785298,2461913,2323385,1909749,1740133,1553525,1480280,2,175,177,0,29,29
Alabama,2009,3583043,2975424,4708708,2425474,2283234,1876818,1706225,1517971,1457453,3,147,150,4,114,118
Alabama,2008,3538230,2948913,4661900,2402969,2258931,1851861,1686369,1503825,1445088,4,113,117,0,123,123
Alabama,2007,3505909,2926834,4627851,2389504,2238347,1835152,1670757,1493340,1433494,3,105,108,2,106,108
Alabama,2006,3479514,2912653,4599030,2368281,2230749,1827557,1651957,1491481,1421172,0,52,52,3,67,70
Alabama,2005,3366418,2826299,4448075,2300418,2147657,1776246,1590172,1460745,1365554,0,65,65,1,33,34
Alabama,2004,3325616,2803953,4414559,2292525,2122034,1753802,1571814,1445210,1358743,0,71,71,0,25,25
Alabama,2003,3285012,2758898,4385446,2278215,2107231,1737882,1547130,1426140,1332758,0,73,73,0,50,50
Alabama,2002,3266513,2747647,4370221,2262994,2107227,1732415,1534098,1422822,1324825,0,72,72,1,56,57
Alabama,2001,3223010,2716855,4349601,2254779,2094822,1706680,1516330,1403650,1313205,0,76,76,1,76,77
Alabama,2000,3191816,2658473,4346948,2268640,2078308,1698345,1493471,1386053,1272420,0,64,64,1,116,117
