state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Alaska,2016,553924,484883,741894,351695,390199,264297,289627,228742,256141,5,108,113,0,4,4
Alaska,2015,552184,487785,738432,349630,388802,262051,290133,228763,259022,0,0,0,0,0,0
Alaska,2014,551031,492709,736732,348497,388235,260180,290851,230475,262234,0,0,0,0,0,0
Alaska,2013,546440,487008,735132,350128,385004,259222,287218,229032,257976,0,0,0,0,0,0
Alaska,2012,546885,493456,731449,348002,383447,260423,286462,233304,260152,0,0,0,0,0,0
Alaska,2011,534893,481549,722718,348501,374217,257048,277845,229779,251770,3,32,35,0,0,0
Alaska,2010,525152,475489,713985,341905,372080,251901,273251,225240,250249,0,21,21,0,7,7
Alaska,2009,514949,466569,698473,335914,362559,248584,266365,223293,243276,0,11,11,0,7,7
Alaska,2008,507059,464470,686293,328739,357554,243113,263946,220447,244023,1,13,14,1,9,10
Alaska,2007,500861,457959,683478,326249,357229,239463,261398,216183,241776,0,14,14,0,10,10
Alaska,2006,493947,451968,670053,325587,344466,241369,252578,219786,232182,0,11,11,0,4,4
Alaska,2005,465089,427770,658002,323203,334799,230881,234208,211645,216125,0,12,12,2,8,10
Alaska,2004,448242,412375,635963,312916,323047,222554,225688,203715,208660,0,17,17,0,13,13
Alaska,2003,441735,405161,629832,308071,321761,216406,225329,198023,207138,1,15,16,0,18,18
Alaska,2002,433463,398812,624252,305164,319088,212864,220599,194410,204402,1,13,14,0,8,8
Alaska,2001,424576,394247,615531,300465,315066,208455,216121,193241,201006,0,18,18,3,13,16
Alaska,2000,406721,373955,609687,296257,313430,196913,209808,180006,193949,1,19,20,0,9,9
