state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Vermont,2016,504595,400859,624594,316422,308172,259493,245102,202139,198720,0,2,2,0,0,0
Vermont,2015,508307,408879,626042,316023,310019,259259,249048,203587,205292,1,17,18,0,0,0
Vermont,2014,504488,406248,626562,319919,306643,260641,243847,208182,198066,1,17,18,0,0,0
Vermont,2013,502138,409070,626630,318348,308282,258317,243821,206198,202872,2,20,22,0,2,2
Vermont,2012,503523,410764,626011,316237,309774,256288,247235,205254,205510,1,25,26,0,2,2
Vermont,2011,499643,411179,626431,317140,309291,254641,245002,204766,206413,3,18,21,0,1,1
Vermont,2010,495926,410786,625960,317714,308246,254861,241065,207335,203451,3,16,19,0,3,3
Vermont,2009,494463,409865,621760,316137,305623,252305,242158,204419,205446,2,17,19,0,4,4
Vermont,2008,493216,413134,621270,315989,305281,254338,238878,208567,204567,4,18,22,0,8,8
Vermont,2007,490336,413187,621254,316458,304796,251789,238547,206790,206397,3,16,19,1,5,6
Vermont,2006,491886,417975,623908,317359,306549,251873,240013,210362,207613,1,15,16,1,4,5
Vermont,2005,474663,403020,609857,307641,302216,240853,233810,202497,200523,1,13,14,1,4,5
Vermont,2004,465374,395443,600632,304876,295756,239172,226202,199689,195754,4,19,23,2,5,7
Vermont,2003,462404,390664,598352,304012,294340,237846,224558,197157,193507,2,20,22,0,7,7
Vermont,2002,457129,387325,595826,304232,291594,235521,221608,195811,191514,1,3,4,0,1,1
Vermont,2001,458909,389473,592321,301942,290379,237327,221582,197095,192378,0,6,6,0,8,8
Vermont,2000,439633,365471,593200,299167,294033,229574,210059,187629,177842,3,11,14,0,12,12
