state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Federal Prison Total,2016,249576134,203914570,323127515,164066655,159060860,128188410,121387724,102604539,101310031,81,751,832,NA,NA,NA,1718,0,0,0,32441,1718,32441,34159,34159,10979,144054,155033,692,10952,11644,12697,176495,189192
Federal Prison Total,2015,247876467,203658037,321418821,163284489,158134332,127341903,120534564,102493471,101164566,86,683,769,NA,NA,NA,1581,0,0,0,33353,1581,33353,34934,34934,11372,150149,161521,765,10743,11508,12953,183502,196455
Federal Prison Total,2014,245365242,202656261,318857056,161968654,156888402,126104758,119260484,102044462,100611799,120,819,939,NA,NA,NA,NA,NA,NA,NA,NA,1766,38251,40017,NA,NA,NA,NA,796,11428,12224,13999,196568,210567
Federal Prison Total,2013,242627222,201472079,316128839,160536555,155592284,124662628,117964594,101413903,100058176,110,678,788,NA,NA,NA,1697,0,0,0,39462,1697,39462,41159,41159,12472,162235,174707,797,12267,13064,14169,201697,215866
Federal Prison Total,2012,240281843,200704482,313914040,159499122,154414918,123537171,116744672,101062584,99641898,118,677,795,NA,NA,NA,1515,0,0,0,38931,1515,38931,40446,40446,12534,164835,177369,1009,14116,15125,14049,203766,217815
Federal Prison Total,2011,237741224,199183795,311591919,158343931,153247988,122292155,115449069,100294192,98889603,184,1255,1439,NA,NA,NA,1566,0,0,0,36980,1566,36980,38546,38546,12334,165482,177816,972,12864,13836,13900,202462,216362
Federal Prison Total,2010,235217323,197483605,309349689,157294247,152055442,121118991,114098332,99534753,97948852,213,2448,2661,NA,NA,NA,1564,0,0,0,32266,1564,32266,33830,33830,11985,163956,175941,979,13681,14660,13549,196222,209771
Federal Prison Total,2009,232534305,195670932,307006556,155633206,151373350,119308257,113226048,97987630,97683302,296,2600,2896,NA,NA,NA,1429,0,0,0,32658,1429,32658,34087,34087,12196,161835,174031,1014,13905,14919,13625,194493,208118
Federal Prison Total,2008,230169098,194129070,304059728,154196371,149863357,118134588,112034510,97219551,96909519,325,2413,2738,NA,NA,NA,1296,0,0,0,31866,1296,31866,33162,33162,11977,156141,168118,989,13317,14306,13273,188007,201280
Federal Prison Total,2007,227708235,192389832,301621159,152982213,148638946,116919183,110789052,96365402,96024430,283,1861,2144,NA,NA,NA,1270,0,0,0,30040,1270,30040,31310,31310,12068,156240,168308,1101,14899,16e3,13338,186280,199618
Federal Prison Total,2006,225613367,190809190,299398485,151975109,147423376,115962321,109651046,95649390,95159800,244,1766,2010,NA,NA,NA,1134,0,0,0,26592,1134,26592,27726,27726,11841,153479,165320,1106,13829,14935,12975,180071,193046
Federal Prison Total,2005,215251252,182729336,288398819,147035008,141363811,111348154,103903098,92631664,90097672,186,858,1044,NA,NA,NA,1236,0,0,0,25810,1236,25810,27046,27046,11186,149386,160572,980,15498,16478,12422,175196,187618
Federal Prison Total,2004,212798888,180679298,285674993,145878559,139796434,110231619,102567269,91700074,88979224,205,994,1199,NA,NA,NA,1006,0,0,0,17703,1006,17703,18709,18709,11158,150461,161619,1103,15140,16243,12164,168164,180328
Federal Prison Total,2003,210291625,178569728,283051379,144585379,138466e3,109026540,101265085,90678974,87890754,120,3158,3278,NA,NA,NA,887,0,0,0,15394,887,15394,16281,16281,10748,146030,156778,965,15396,16361,11635,161424,173059
Federal Prison Total,2002,208144701,176648656,280717370,143638102,137079268,108156956,99987745,89878457,86770199,125,3252,3377,NA,NA,NA,1056,0,0,0,13676,1056,13676,14732,14732,10178,138618,148796,980,14555,15535,11234,152294,163528
Federal Prison Total,2001,204943608,173760985,277075792,141869552,135206240,106626023,98317585,88468452,85292533,135,2786,2921,NA,NA,NA,0,0,0,0,12736,0,12736,12736,12736,10973,133284,144257,1020,14434,15454,10973,146020,156993
Federal Prison Total,2000,201524907,170480774,273631565,140026967,133604598,104928829,96596078,86843061,83637713,95,2343,2438,NA,NA,NA,0,0,0,0,15524,0,15524,15524,15524,10245,119647,129892,939,14371,15310,10245,135171,145416
Federal Prison Total,1999,199841353.79999998,169008280.3,271079171.3,138745496.7,132333674.60000001,104067422.6,95773931.2,86046434.9,82961845.4,0,0,0,NA,NA,NA,0,0,0,0,3828,0,3828,3828,3828,9913,121505,131418,1089,14515,15604,9913,125333,135246
Federal Prison Total,1998,198157800.6,167535786.6,268526777.6,137464026.4,131062751.2,103206016.2,94951784.4,85249808.8,82285977.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1062,13121,14183,9186,113855,123041
Federal Prison Total,1997,196474247.4,166063292.9,265974383.9,136182556.1,129791827.8,102344609.8,94129637.6,84453182.7,81610110.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055,12255,13310,8306,104667,112973
Federal Prison Total,1996,194790694.20000002,164590799.2,263421990.2,134901085.8,128520904.39999999,101483203.4,93307490.8,83656556.6,80934242.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998,11509,12507,7700,97844,105544
Federal Prison Total,1995,193107141,163118305.5,260869596.5,133619615.5,127249981,100621797,92485344,82859930.5,80258375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932,11112,12044,7398,92852,100250
Federal Prison Total,1994,191423587.79999998,161645811.8,258317202.8,132338145.2,125979057.60000001,99760390.6,91663197.2,82063304.4,79582507.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,9833,10505,7140,87894,95034
Federal Prison Total,1993,189740034.6,160173318.1,255764809.1,131056674.9,124708134.2,98898984.2,90841050.4,81266678.3,78906639.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,9347,10020,6891,82696,89587
Federal Prison Total,1992,188056481.4,158700824.4,253212415.4,129775204.6,123437210.8,98037577.8,90018903.6,80470052.2,78230772.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559,8821,9380,6399,73860,80259
Federal Prison Total,1991,186372928.20000002,157228330.7,250660021.7,128493734.3,122166287.39999999,97176171.4,89196756.8,79673426.1,77554904.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,8740,9325,5654,65954,71608
Federal Prison Total,1990,184689375,155755837,248107628,127212264,120895364,96314765,88374610,78876800,76879037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,8092,8473,5011,60515,65526
Federal Prison Total,1989,182464019.5,154062039.3,245983105.20000002,126180925.6,119802179.6,95222236.5,87241783,78107908,75954131.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,6812,7162,4435,54736,59171
Federal Prison Total,1988,180238664,152368241.6,243858582.4,125149587.2,118708995.2,94129708,86108956,77339016,75029225.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,4242,4488,3242,46686,49928
Federal Prison Total,1987,178013308.5,150674443.9,241734059.6,124118248.8,117615810.8,93037179.5,84976129,76570124,74104319.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,4926,5087,3027,45273,48300
Federal Prison Total,1986,175787953,148980646.2,239609536.79999998,123086910.4,116522626.4,91944651,83843302,75801232,73179414.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,4569,4736,2833,41575,44408
Federal Prison Total,1985,173562597.5,147286848.5,237485014,122055572,115429442,90852122.5,82710475,75032340,72254508.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,4552,4668,2404,37819,40223
Federal Prison Total,1984,171337242,145593050.8,235360491.20000002,121024233.6,114336257.6,89759594,81577648,74263448,71329602.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,3846,3957,1996,32267,34263
Federal Prison Total,1983,169111886.5,143899253.1,233235968.4,119992895.2,113243073.2,88667065.5,80444821,73494556,70404697.1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,2768,2838,1754,30172,31926
Federal Prison Total,1982,166886531,142205455.4,231111445.6,118961556.8,112149888.8,87574537,79311994,72725664,69479791.4,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,3041,3149,1627,28046,29673
Federal Prison Total,1981,164661175.5,140511657.7,228986922.79999998,117930218.4,111056704.4,86482008.5,78179167,71956772,68554885.7,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,3080,3209,1559,26574,28133
Federal Prison Total,1980,162435820,138817860,226862400,116898880,109963520,85389480,77046340,71187880,67629980,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,956,1033,1399,22964,24363
Federal Prison Total,1979,159483668,136350164,224480020,115655862,108824158,83850252,75633416,69979402,66370762,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,820,859,1536,24835,26371
Federal Prison Total,1978,156531516,133882468,222097640,114412844,107684796,82311024,74220492,68770924,65111544,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,899,997,1828,27975,29803
