state,year,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
New Jersey,1991,NA,NA,0,NA,NA,62,NA,NA,694,NA,NA,756
New Jersey,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1326
New Jersey,1993,NA,NA,774,NA,NA,107,NA,NA,NA,72,809,881
New Jersey,1994,NA,NA,563,NA,NA,207,NA,NA,NA,75,695,770
New Jersey,1995,NA,NA,504,NA,NA,343,NA,NA,NA,99,748,847
New Jersey,1996,NA,NA,445,NA,NA,260,NA,NA,NA,91,614,705
New Jersey,1997,NA,NA,565,NA,NA,302,NA,NA,NA,71,796,867
New Jersey,1998,NA,NA,NA,25,231,256,99,569,668,124,800,924
New Jersey,1999,NA,NA,NA,29,186,215,93,561,654,122,747,869
New Jersey,2e3,38,79,117,15,146,161,37,456,493,90,681,771
New Jersey,2001,NA,NA,NA,26,157,183,65,556,621,91,713,804
New Jersey,2002,0,0,0,14,153,167,51,538,589,65,691,756
New Jersey,2003,NA,NA,NA,17,151,168,71,418,489,88,569,657
New Jersey,2004,NA,NA,NA,21,181,202,60,393,453,81,574,655
New Jersey,2005,0,0,0,19,99,118,58,364,422,77,463,540
New Jersey,2006,0,0,0,17,122,139,61,412,473,78,534,612
New Jersey,2007,0,0,0,6,128,134,57,359,416,63,487,550
New Jersey,2008,0,0,0,6,101,107,46,367,413,52,468,520
New Jersey,2009,0,0,0,3,73,76,29,312,341,32,385,417
New Jersey,2010,0,0,0,4,69,73,27,320,347,31,389,420
New Jersey,2011,NA,NA,NA,4,56,60,20,292,312,24,348,372
New Jersey,2012,0,0,0,2,24,26,19,258,277,21,282,303
New Jersey,2013,0,0,0,2,22,24,22,219,241,24,241,265
New Jersey,2014,0,0,0,0,17,17,19,202,221,19,219,238
New Jersey,2015,0,0,0,2,12,14,17,183,200,19,195,214
New Jersey,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
