state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
State prison total,1978,139,1990,2129,30,613,643,5509,126469,131978,415,11020,11435,NA,NA,NA,0,0,0,NA,NA,NA,267,1412,1679,4947,135423,140370
State prison total,1979,156,2295,2451,25,645,670,5829,130011,135840,699,18727,19426,NA,NA,NA,0,0,0,NA,NA,NA,229,2189,2418,5151,141105,146256
State prison total,1980,147,2479,2626,17,714,731,5882,135997,141879,640,21150,21790,NA,NA,NA,0,0,0,NA,NA,NA,262,3999,4261,5551,149284,154835
State prison total,1981,174,2693,2867,37,1030,1067,7018,152313,159331,679,24311,24990,NA,NA,NA,0,0,0,NA,NA,NA,83,2371,2454,6566,168354,174920
State prison total,1982,198,3063,3261,41,1310,1351,8055,171561,179616,834,29564,30398,NA,NA,NA,0,0,0,NA,NA,NA,311,4438,4749,7691,188021,195712
State prison total,1983,232,3199,3431,58,1322,1380,8435,181335,189770,1053,32563,33616,NA,NA,NA,0,0,0,NA,NA,NA,251,5206,5457,8424,196850,205274
State prison total,1984,263,3511,3774,95,1868,1963,9133,189754,198887,1422,38220,39642,NA,NA,NA,0,0,0,NA,NA,NA,328,6359,6687,9003,207865,216868
State prison total,1985,281,3799,4080,83,1497,1580,9791,204280,214071,1765,42854,44619,NA,NA,NA,0,0,0,NA,NA,NA,463,7235,7698,10077,224647,234724
State prison total,1986,318,4138,4456,71,1465,1536,11261,221708,232969,2155,49099,51254,NA,NA,NA,0,0,0,NA,NA,NA,752,15706,16458,11420,233886,245306
State prison total,1987,328,4291,4619,76,1592,1668,12078,236239,248317,2381,54512,56893,NA,NA,NA,0,0,0,NA,NA,NA,839,18159,18998,12539,246579,259118
State prison total,1988,278,4200,4478,122,1662,1784,13582,260564,274146,2848,60646,63494,NA,NA,NA,0,0,0,NA,NA,NA,1083,20816,21899,14297,261068,275365
State prison total,1989,340,4589,4929,129,1887,2016,17573,299287,316860,3588,71103,74691,NA,NA,NA,0,0,0,NA,NA,NA,1356,24164,25520,16813,287254,304067
