state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Virginia,2016,6547604,5404922,8411808,4275793,4136015,3365097,3182507,2725776,2679146,21,828,849,0,5,5
Virginia,2015,6513104,5420396,8382993,4264266,4118727,3348381,3164723,2735866,2684530,16,680,696,0,6,6
Virginia,2014,6459130,5407290,8326289,4231186,4095103,3319412,3139718,2725121,2682169,19,582,601,0,9,9
Virginia,2013,6397091,5383242,8260405,4204129,4056276,3287903,3109188,2713685,2669557,15,466,481,0,9,9
Virginia,2012,6330863,5357455,8185867,4176369,4009498,3269204,3061659,2712426,2645029,16,603,619,0,3,3
Virginia,2011,6243412,5304359,8096604,4113099,3983505,3214010,3029402,2678680,2625679,20,499,519,0,2,2
Virginia,2010,6171111,5261338,8024617,4081919,3942698,3181831,2989280,2659944,2601394,48,1342,1390,0,11,11
Virginia,2009,6036341,5149897,7882590,4010193,3872397,3110591,2925750,2596542,2553355,37,1172,1209,0,16,16
Virginia,2008,5941173,5074881,7769089,3946834,3822255,3060577,2880596,2556667,2518214,44,1179,1223,0,45,45
Virginia,2007,5878890,5034717,7712091,3922991,3789100,3031326,2847564,2534696,2500021,52,1135,1187,0,30,30
Virginia,2006,5835933,5007717,7642884,3885258,3757626,3008633,2827300,2522824,2484893,NA,NA,NA,0,31,31
Virginia,2005,5510784,4743193,7320848,3760650,3560198,2867617,2643167,2424948,2318245,0,0,0,0,27,27
Virginia,2004,5430699,4678974,7219758,3694086,3525672,2822851,2607848,2386256,2292718,41,370,411,5,28,33
Virginia,2003,5360674,4629289,7150715,3662527,3488188,2789582,2571092,2364268,2265021,31,282,313,1,39,40
Virginia,2002,5293745,4573830,7063475,3632993,3430482,2765154,2528591,2344174,2229656,NA,NA,NA,1,41,42
Virginia,2001,5163018,4444425,6955099,3578222,3376877,2699527,2463491,2274998,2169427,NA,NA,NA,3,28,31
Virginia,2000,5034454,4363762,6761816,3469341,3292475,2637040,2397414,2239802,2123960,NA,NA,NA,4,34,38
