state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Kentucky,2016,3425666,2792106,4436974,2257420,2179554,1763045,1662621,1410850,1381256,2,152,154,0,0,0
Kentucky,2015,3415817,2792936,4425092,2246706,2178386,1753718,1662099,1402011,1390925,4,141,145,0,0,0
Kentucky,2014,3399427,2801983,4413457,2233621,2179836,1745872,1653555,1409035,1392948,18,237,255,0,0,0
Kentucky,2013,3384076,2800393,4395295,2232200,2163095,1738344,1645732,1407381,1393012,16,228,244,0,14,14
Kentucky,2012,3364861,2803410,4380415,2225586,2154829,1731481,1633380,1409665,1393745,18,229,247,0,0,0
Kentucky,2011,3347482,2797635,4369356,2223648,2145708,1723771,1623711,1406533,1391102,77,584,661,0,0,0
Kentucky,2010,3328494,2787617,4346266,2207080,2139186,1715175,1613319,1403742,1383875,7,152,159,0,0,0
Kentucky,2009,3296134,2761750,4314113,2201670,2112443,1703275,1592859,1392226,1369524,4,164,168,0,0,0
Kentucky,2008,3264786,2743445,4269245,2182463,2086782,1687215,1577571,1386040,1357405,3,131,134,0,0,0
Kentucky,2007,3224873,2718786,4241474,2166059,2075415,1674750,1550123,1376157,1342629,1,43,44,0,0,0
Kentucky,2006,3215998,2716606,4206074,2147910,2058164,1661794,1554204,1368264,1348342,NA,NA,NA,0,0,0
Kentucky,2005,3089485,2627495,4065635,2077708,1987927,1602611,1486874,1334689,1292806,NA,NA,NA,0,0,0
Kentucky,2004,3057341,2603381,4031134,2068573,1962561,1590904,1466437,1326755,1276626,NA,NA,NA,0,0,0
Kentucky,2003,3013737,2565499,4003036,2046711,1956325,1568461,1445276,1305839,1259660,NA,NA,NA,0,0,0
Kentucky,2002,3049835,2606380,3978103,2043188,1934915,1594560,1455275,1335326,1271054,NA,NA,NA,0,0,0
Kentucky,2001,2956198,2509806,3950704,2029683,1921021,1542861,1413337,1281351,1228455,NA,NA,NA,0,0,0
Kentucky,2000,2940381,2509732,3922149,2022654,1899495,1539550,1400831,1275233,1234499,0,52,52,0,0,0
