state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Rhode Island,2016,847732,684839,1056426,545646,510780,443374,404358,349997,334842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,2015,845049,687412,1056298,545057,511241,441539,403510,350044,337368,3,22,25,NA,NA,NA,NA,NA,NA,3,22,25
Rhode Island,2014,843518,686837,1055173,543280,511893,440730,402788,350135,336702,3,29,32,0,0,0,0,0,0,3,29,32
Rhode Island,2013,839109,690023,1051511,537532,513979,436824,402285,349196,340827,5,26,31,0,1,1,0,0,0,5,27,32
Rhode Island,2012,833140,687475,1050292,543705,506587,437008,396132,351157,336318,NA,NA,NA,2,33,35,NA,NA,NA,2,33,35
Rhode Island,2011,832575,690472,1051302,543269,508033,436188,396387,352304,338168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,32,32
Rhode Island,2010,829198,686642,1052886,543765,509121,436089,393109,351457,335185,6,26,32,1,14,15,NA,NA,NA,7,40,47
Rhode Island,2009,826575,685163,1053209,543751,509458,432411,394164,347004,338159,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,40,48
Rhode Island,2008,826653,686714,1050788,543938,506850,432715,393938,348779,337935,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,48,54
Rhode Island,2007,821741,686164,1057832,546706,511126,429602,392139,348291,337873,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,59,67
Rhode Island,2006,831897,692664,1067610,552479,515131,438400,393497,354802,337862,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,58
Rhode Island,2005,784136,652537,1033284,535221,498063,413799,370337,336044,316493,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,58
Rhode Island,2004,793335,659846,1037002,537536,499466,418646,374689,338997,320849,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,46,51
Rhode Island,2003,794634,661036,1037196,537760,499436,418489,376145,339003,322033,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,56,65
Rhode Island,2002,792559,658145,1030762,536076,494686,419312,373247,339720,318425,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,60,67
Rhode Island,2001,775322,641751,1020102,529475,490627,409901,365421,329817,311934,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,66,74
Rhode Island,2000,755888,622299,1000802,525420,475382,406161,349727,326529,295770,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,73,80
Rhode Island,1999,757764.5,623463,1000955.2,525066.3,475888.9,406772.4,350992.1,326380,297083,4,56,60,2,30,32,3,108,111,9,194,203
Rhode Island,1998,759641,624627,1001108.4,524712.6,476395.8,407383.8,352257.2,326231,298396,0,0,0,5,78,83,10,47,57,15,125,140
Rhode Island,1997,761517.5,625791,1001261.6,524358.9,476902.7,407995.2,353522.3,326082,299709,NA,NA,11,NA,NA,46,NA,NA,50,12,95,107
Rhode Island,1996,763394,626955,1001414.8,524005.2,477409.6,408606.6,354787.4,325933,301022,NA,NA,56,NA,NA,40,NA,NA,29,25,100,125
Rhode Island,1995,765270.5,628119,1001568,523651.5,477916.5,409218,356052.5,325784,302335,NA,NA,9,NA,NA,42,NA,NA,75,21,105,126
Rhode Island,1994,767147,629283,1001721.2,523297.8,478423.4,409829.4,357317.6,325635,303648,NA,NA,21,NA,NA,64,NA,NA,28,12,101,113
Rhode Island,1993,769023.5,630447,1001874.4,522944.1,478930.3,410440.8,358582.7,325486,304961,NA,NA,57,NA,NA,22,NA,NA,10,12,77,89
Rhode Island,1992,770900,631611,1002027.6,522590.4,479437.2,411052.2,359847.8,325337,306274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
Rhode Island,1991,772776.5,632775,1002180.8,522236.7,479944.1,411663.6,361112.9,325188,307587,NA,NA,0,NA,NA,10,NA,NA,88,NA,NA,98
