state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Arizona,2016,5302751,4213082,6931071,3485977,3445094,2692704,2610047,2105715,2107367,125,4537,4662,2,74,76
Arizona,2015,5207988,4168956,6828065,3443088,3384977,2650327,2557661,2089687,2079269,124,4446,4570,2,79,81
Arizona,2014,5110238,4116568,6731484,3394063,3337421,2597140,2513098,2058224,2058344,134,4609,4743,1,55,56
Arizona,2013,5012262,4076719,6626624,3325355,3301269,2537010,2475252,2032479,2044240,121,4846,4967,3,55,58
Arizona,2012,4933281,4039033,6553255,3293148,3260107,2501312,2431969,2011781,2027252,123,4769,4892,8,61,69
Arizona,2011,4859763,3998261,6482505,3255616,3226889,2463272,2396491,1995526,2002735,141,5195,5336,11,83,94
Arizona,2010,4780890,3949826,6413737,3225572,3188165,2428720,2352170,1977479,1972347,152,4610,4762,8,123,131
Arizona,2009,4864637,4055964,6595778,3289459,3306319,2444189,2420448,2000403,2055561,143,3116,3259,8,149,157
Arizona,2008,4776565,3977732,6500180,3241482,3258698,2405053,2371512,1963887,2013845,108,2654,2762,2,154,156
Arizona,2007,4679389,3904469,6338755,3165953,3172802,2356012,2323377,1927419,1977050,77,4797,4874,4,125,129
Arizona,2006,4548321,3799731,6166318,3081023,3085295,2287613,2260708,1871504,1928227,80,4352,4432,1,111,112
Arizona,2005,4245954,3569299,5806266,2903676,2902590,2150254,2095700,1775404,1793895,62,4117,4179,1,77,78
Arizona,2004,4093437,3425995,5638345,2840404,2797941,2082464,2010973,1717003,1708992,49,3875,3924,1,97,98
Arizona,2003,3962399,3321332,5490147,2750873,2739274,2010097,1952302,1654384,1666948,65,3605,3670,4,112,116
Arizona,2002,3870515,3248475,5349497,2704518,2644979,1976045,1894470,1630220,1618255,65,3347,3412,1,146,147
Arizona,2001,3711360,3081267,5183424,2632194,2551230,1905869,1805491,1554141,1527126,49,2981,3030,4,138,142
Arizona,2000,3639273,3062022,4943392,2490017,2453375,1846771,1792502,1522163,1539859,43,2840,2883,2,150,152
