state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
District of Columbia,2016,560717,486873,681170,358010,323160,297785,262932,254002,232871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2015,554182,485241,672228,351509,320719,293839,260343,252159,233082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2014,544698,475459,658893,345789,313104,290319,254379,248975,226484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2013,534956,466773,646449,341690,304759,285091,249865,243857,222916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2012,522969,456589,632323,334071,298252,279313,243656,239743,216846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2011,512925,449204,617996,325336,292660,274154,238771,236150,213054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2010,503673,438416,604453,319306,285147,269243,234430,229075,209341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2009,486030,421039,599657,317955,281702,261761,224269,221755,199284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2008,479848,414039,591833,311997,279836,257984,221864,218189,195850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,474261,408986,588292,311294,276998,255209,219052,214438,194548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2006,469505,402006,581530,309259,272271,253185,216320,210877,191129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2005,394069,336281,508572,269839,238733,212633,181436,177350,158931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2004,409773,351029,518074,274807,243267,220847,188926,184776,166253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2003,421268,361795,528759,280851,247908,227875,193393,190656,171139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2002,424834,363847,535632,284606,251026,229497,195337,191240,172607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2001,422830,363437,536260,284320,251940,228421,194409,190560,172877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2000,418674,355440,523809,284937,238872,232265,186409,189312,166128,0,0,0,11,131,142,86,782,868,45,1608,1653,0,0,0,0,0,0,77,558,635,0,0,0,0,0,0,219,3079,3298,0,0,0
District of Columbia,1999,426021.4,362008.2,532414.7,288833.1,243581.6,235638.5,190382.9,192442.7,169565.5,NA,NA,NA,13,222,235,89,926,1015,29,3656,3685,NA,NA,NA,NA,NA,NA,63,970,1033,NA,NA,NA,NA,NA,NA,194,5774,5968,NA,NA,NA
District of Columbia,1998,433368.8,368576.4,541020.4,292729.2,248291.2,239012,194356.8,195573.4,173003,NA,NA,NA,NA,NA,NA,138,2961,3099,0,4,4,NA,NA,NA,54,110,164,47,2074,2121,NA,NA,NA,0,0,0,307,7306,7613,29,1849,1878
District of Columbia,1997,440716.2,375144.6,549626.1,296625.3,253000.8,242385.5,198330.7,198704.1,176440.5,NA,NA,NA,NA,NA,NA,332,3097,3429,0,24,24,NA,NA,NA,8,60,68,138,1928,2066,NA,NA,NA,0,0,0,571,6455,7026,23,600,623
District of Columbia,1996,448063.6,381712.8,558231.8,300521.4,257710.4,245759,202304.6,201834.8,179878,NA,NA,NA,NA,NA,NA,283,3021,3304,14,201,215,NA,NA,NA,5,62,67,106,1776,1882,NA,NA,NA,0,1,1,483,6223,6706,31,600,631
District of Columbia,1995,455411,388281,566837.5,304417.5,262420,249132.5,206278.5,204965.5,183315.5,NA,NA,NA,NA,NA,NA,237,3143,3380,3,38,41,NA,NA,NA,NA,NA,NA,16,676,692,NA,NA,NA,3,54,57,277,4436,4713,2,153,155
District of Columbia,1994,462758.4,394849.2,575443.2,308313.6,267129.6,252506,210252.4,208096.2,186753,NA,NA,NA,NA,NA,NA,60,803,863,0,2002,2002,NA,216,NA,NA,72,NA,85,1400,1485,NA,597,NA,NA,NA,NA,305,8341,8646,114,1645,1759
District of Columbia,1993,470105.8,401417.4,584048.9,312209.7,271839.2,255879.5,214226.3,211226.9,190190.5,NA,NA,NA,NA,NA,NA,70,581,651,0,1884,1884,NA,159,NA,NA,53,NA,93,1011,1104,NA,429,NA,NA,NA,NA,283,7176,7459,84,1535,1619
District of Columbia,1992,477453.2,407985.6,592654.6,316105.8,276548.8,259253,218200.2,214357.6,193628,NA,NA,NA,NA,NA,NA,72,828,900,0,0,0,NA,215,NA,NA,55,NA,100,1387,1487,NA,588,NA,NA,NA,NA,303,7279,7582,90,2108,2198
District of Columbia,1991,484800.6,414553.8,601260.3,320001.9,281258.4,262626.5,222174.1,217488.3,197065.5,NA,NA,NA,NA,NA,NA,85,976,1061,0,0,0,NA,238,NA,NA,61,NA,98,1363,1461,NA,577,NA,NA,NA,NA,261,6214,6475,36,844,880
District of Columbia,1990,492148,421122,609866,323898,285968,266e3,226148,220619,200503,NA,NA,NA,NA,NA,NA,91,1046,1137,0,0,0,NA,241,NA,0,62,62,99,1381,1480,0,585,585,NA,NA,NA,258,5848,6106,34,787,821
District of Columbia,1989,492303.2,421491.8,613011.4,326100.2,286911.2,266660,225643.2,221395.1,200096.7,NA,NA,NA,NA,NA,NA,136,1565,1701,0,0,0,NA,248,NA,NA,70,NA,74,1032,1106,NA,437,NA,NA,NA,NA,267,5271,5538,35,805,840
District of Columbia,1988,492458.4,421861.6,616156.8,328302.4,287854.4,267320,225138.4,222171.2,199690.4,NA,NA,NA,NA,NA,NA,127,1749,1876,0,0,0,NA,239,NA,NA,68,NA,71,992,1063,NA,410,NA,NA,NA,NA,251,5227,5478,34,816,850
